id,oriented,tetrahedra
fLLQcacedeejkeusf,1,5
gLLAQbdedffftvqgxgr,1,6
gLLAQbcedeffmsxfmsj,-1,6
gLLAQcedcfffhqvrqjs,1,6
gLvQQadfeeffjaqmksv,1,6
gLLPQacefeffjkqjbkw,1,6
gLLAQbddeeffevnmhvj,1,6
hLLAPkceddgfggdhvjjcvr,-1,7
hLLLQkcdegfgfghsilebko,-1,7
hLLLQkbcfeggfgdfpxxofv,1,7
hLLLQkbdfeggfgxviumbbk,-1,7
hLLLQkbdefeggglvmltkko,1,7
hvLAQkcdegfgfgfjnamdmf,-1,7
hLLLQkbdfgegfglvmmtksk,1,7
hLvMQkbeffeggglatqexos,-1,7
hLLAPkccdefgggawvhorsf,-1,7
hLLLQkbddfggfgajfpsows,-1,7
hLLAAkbcedffgghohsavuk,-1,7
hLLAPkbddegfggxvrxnfvk,-1,7
hLLMMkbceefgggdftmagsk,-1,7
hLLMAkbdedffggpcavprhn,-1,7
hLvAQkafdefgggnqqcvjbn,-1,7
hLLMAkbcdeffggmsntafdn,-1,7
hLLAAkbddeffggmkcdafun,-1,7
hLLAAkbddeffggmvndafun,-1,7
hLLLQkacefggfgnrwbrjbo,-1,7
hLLLQkbedeffggalfmpwsw,-1,7
hLLLQkcdffgeggavqadnwn,-1,7
hLLAAkbcedffgghohfavmk,-1,7
hLALMkbccefgggdmgghxfs,-1,7
hLLPAkbddeefggevsaevqj,1,7
hLLLQkcedfgegghqcahjcs,-1,7
hLLAAkbdeefeggevtiaehw,-1,7
hLLAAkbcedefgglsajlsqj,1,7
hLLAMkacedfgggjkemaxfs,-1,7
hLALPkbcbefggghawotdwb,-1,7
hLLLQkbcfgegfgdfpxdgcv,-1,7
hLLLQkacfeggfgjkgckccr,-1,7
hLvAQkafefegggnidocbjb,1,7
hLLAMkcedeffgghqvtpkws,1,7
hLwLQkacfegfggjgbvwkwb,-1,7
hLvAQkaefegfggjeqsosjb,1,7
hLvMQkbefefgfgpamtmpck,1,7
hLLLQkcdffgeggashaasrk,-1,7
hLLAMkcedeffgghavtpcgj,-1,7
hLLwQkaedgffggjaaojkjw,-1,7
hLLPAkcdfeefgguoiiixen,1,7
hLLPMkcdefffggdvalarbs,1,7
hLLMMkbceeffggasxaawnj,-1,7
hLLLQkcdfgeeggacplhrwb,-1,7
hLLzQkacefefggjkqjvkxk,1,7
hLvAQkaefegfggjeqsofog,-1,7
hLLAAkbdedffgglkawxrqj,-1,7
hLLMAkccdfefgganviqnpn,-1,7
hLLLQkcdefgggfarmaeojj,-1,7
hLLMAkacdeffggjkankgaj,1,7
gLLPQcdeffefukuhppk,1,6
gLLMQbcdeffferwhuwn,1,6
gLLPQceeffefhqteaxl,1,6
hLLLQkcdfgefgghsehufgn,-1,7
hvLAQkcdefggfgbgntatdc,1,7
hLLLQkccegffggqfmaqgso,-1,7
hLLzQkcdfgegfghfqlmjnf,1,7
hvLAQkcdegffggvwrpxmar,1,7
hLLLQkbcefgfggtsmixgbv,1,7
hLLzQkcdefggfgtkatufsv,-1,7
hLvAQkbefefgggedeutxsg,-1,7
hLLLQkcdfefggguglmujok,1,7
hLvMQkbfegefggeqilhxkf,-1,7
hLLAPkceddgfggtqvnjbns,-1,7
hLLAPkbcdefgggerwissvc,-1,7
hLLAPkbcedgfggtsxfvgsn,1,7
hvLAQkcdegffggjrnaiemb,-1,7
hLLLQkbdfegfggdwqtqgnc,-1,7
hLLAAkbcedffggtsajhvpk,1,7
hLLLQkbceefggghgtxtjjv,1,7
hLLAPkbdeefgggevhqijfv,1,7
hLLAMkcdeefgggukhutosr,1,7
hLLLQkbcegefgghgtxircv,1,7
gLLMQbcefefftsamlxo,1,6
hLvAQkbfefegggeqeahann,-1,7
hLLLQkbcfgefggtsmhtgnb,1,7
hLLMPkbcdegfggtsgaosgr,-1,7
hLLLQkbddfgfggdrbubfcb,1,7
hLLAPkbdedfgggdwasfnbr,-1,7
hLLAMkbcedffggtsajhvpk,1,7
hLLLQkcefefgggtdtqtlgb,-1,7
hvLPQkcdefggfgjgfaqaxk,0,7
hLLAPkbcedgfggtsxfbcjn,1,7
hLLAPkceddgfggtqvnwfnj,-1,7
hLLMMkbdedffggtnavpwxk,-1,7
gLLAQcdceeffuosxdoj,1,6
hLLAPkacdegfggjkaxdmkn,-1,7
hLLLQkcdffggegdvlaegnw,1,7
hLLMMkacdeffggjkankgaj,1,7
hLLLQkacfegfggjkgbknnn,-1,7
hLLPAkbddeefggdroedwhr,1,7
