id,oriented,tetrahedra
fLLQcbecdeehhwsmu,1,5
gLLQPcdcdeffhssnphr,-1,6
gLLMQbcefdfflsahwos,-1,6
gLLAQbcdefffdfbihbg,1,6
gLLAQbdeefefevtixek,-1,6
gLLMQacdefffjkxwgkg,1,6
gLLAQbcedefflsajlor,1,6
hLLPAkbdedefggeveblnhw,-1,7
hLLAAkbcedefggmsxfmjxk,-1,7
hLLAAkbddeefggevnmhkxk,-1,7
hLvPQkccgfefgghralqksv,-1,7
hLALPkbccefgggdmggqegr,-1,7
hLALMkbcbefggghawohhwr,-1,7
hLLAAkcddeffggarbxqclk,-1,7
hLLMPkbceefggglsautkrk,-1,7
hLLAPkbdedgfgglvarjkjs,-1,7
hLLAPkbdcegfggevwufggk,-1,7
hLLAMkcdceffggiokmpoxn,-1,7
hLLLQkbdfggefgevdpdsro,-1,7
hLLLQkadfeggfgjmmwswvo,-1,7
hLvPQkafeefgggjqpwcwff,-1,7
hLLAPkceddgggfahvkfswj,-1,7
hLLAPkcddeffggacvxgwwk,-1,7
hLLLQkbddffeggxrfxskor,-1,7
hLLAAkbcedffggasxfhgpk,-1,7
hLLLQkbdfgegfgevepebcf,1,7
hLLPPkcdeffggghsdmlskv,-1,7
hLLLQkbdegefggevipegog,1,7
hLLLQkcdegfgfghshmlgrs,0,7
hLLLQkbdfeggfgtvdmmbco,-1,7
hLLLQkcdegfgfghsillbnr,-1,7
hLLLQkbdfgefggdwhhdgjw,1,7
hLLLQkbeefefggxxmxpxok,-1,7
hLLAMkccdefgggawvhqhei,-1,7
hLLAMkbddefgggxvrxxqpe,-1,7
hLLLQkbefegfggxxauqxvk,-1,7
hLLLQkbcffgfggebpexksb,-1,7
hLLAPkbdeeffggevuquwsn,-1,7
hLLLQkacfeggfgjkonkjbv,-1,7
hLvAQkaefegfggjhqwkbjw,-1,7
hLLMAkbcdeffggebbpukxn,-1,7
hLLAAkbcedffggajhfxvmw,-1,7
hLLAPkceddffggahvkfsrs,-1,7
hLLAPkbdeeggfghgmuabkj,-1,7
hLLAAkadedffggnxihgjej,-1,7
hLLLQkbdffefggtvmxtgjk,-1,7
hLLAAkcddeffggacvxxfhk,-1,7
hLLMMkacdfefggjkxcckqw,1,7
hLLMAkbcdeffggebbhuwij,-1,7
hLLAMkcddeffggacvxxfhn,-1,7
hLLPMkacefefggjkxkccqw,1,7
gLLAQadedeffjmllwok,1,6
gLLAQacdeeffnkairhr,1,6
hLLMMkbddeffggtvklmjlr,1,7
hLLLQkadefegggjmxgcwjv,1,7
hLLAPkccdegffgifveccrk,-1,7
hLLLQkaceeffggjkvcfnkk,1,7
hLLMMkaceefgfgnktfftjw,1,7
hLLAAkaddeefggjmepcoqw,-1,7
hLLMMkbcdeffggebbmiwij,1,7
hLLMAkbcdeffggebbmxsaj,-1,7
hLLQzkacedefggnkemshxj,1,7
hLLPAkacefefggjkxscftj,-1,7
hLLPMkacefefggjsxgccqw,-1,7
hLLAAkacedefggnktlrqqw,-1,7
gLLAQacdefefjsaaxkr,1,6
gLLAQcecdfefhhrwqnn,1,6
hLLAAkcddefeggugvdxnxr,1,7
hLALPkcbcefgfgudbsaanj,-1,7
hLALPkcbbegffghhkoharw,-1,7
hLAPzkcbceefggudbknaqw,-1,7
hLAPzkcbceefggudbjsaqw,-1,7
hLALAkbcbeefggxxjsbxxj,-1,7
hLALAkbcbeefgghxjsbxhs,-1,7
