id,oriented,tetrahedra
fLLQcbecdeehhwvei,1,5
gLLMQbddeeffxnradkj,1,6
gLLMQbcefdfflsadwgw,-1,6
gLLAQbcdefffdfjixoj,1,6
gLLAQcdeeeffhspxpxw,-1,6
gLLMQacdefffjbxwgkg,1,6
gLLAQbcedefflsajaor,1,6
hLLPAkccdfefggtnciioxk,1,7
hLvAQkadfeggfgjeqcnfwg,1,7
hLLLQkbdeggfgfevmpivkj,1,7
hLwLQkacegffggjncnnsfw,1,7
hLLAPkcddefgggpfvascfs,1,7
hLLAMkaddefgggnapebqxh,-1,7
hLLwQkbdeffgfghrdhhrrr,-1,7
hLLMPkbceefggglsauxksv,-1,7
hLLAPkbdedgfgglvarbkjs,-1,7
hLLLQkcbgefgfgljdhlsoc,-1,7
hLLLQkbdfggefgevdphsro,-1,7
hLLAPkbdcegfggevwufkfn,-1,7
hLLLQkadfeggfgjimwswvo,-1,7
hLvPQkafeefgggjepwgwfn,-1,7
hLLAPkceddgggfahvkgbcj,-1,7
hLLAPkcddeffggacvxosfk,-1,7
hLLLQkbddffeggxjfxskor,-1,7
hLLAAkbcedffggasxfhkpk,-1,7
hLLLQkbddggffgtvsubjbr,1,7
hLLLQkcefefggguhtdiunk,-1,7
hLLLQkbdegefggevipejog,1,7
hLLLQkcdegfgfghsdmlgrs,0,7
hLLLQkbdfgefggdkhhdgjw,1,7
hLLLQkcdeefggghsdaljrb,1,7
hLLLQkcddegfggukfdwksc,-1,7
hLLLQkbeefefggxxixpxok,-1,7
hLLAMkccdefgggawvuqhei,-1,7
hLLAMkbddefgggxvrdxxhq,-1,7
hLLLQkbefegfggxxatqxvk,-1,7
hLLLQkbcffgfggebpexjsb,-1,7
hLvAQkafdgegfgjhhbcjjv,-1,7
hLLLQkaceefgggnkscbkjv,-1,7
hLvAQkaefegfggjhewkjjf,-1,7
hLLLQkbdefefggtvietjjj,-1,7
hLLAAkbcedffggajhfxwmw,-1,7
hLLAPkceddffggahvkrwvs,-1,7
hLLAPkcddeggfgacvxfjno,-1,7
hLLAMkadedffggnxxhgbhn,-1,7
hLLLQkbdffefggtvixtgjk,-1,7
hLLAAkcddeffggacvxxbhk,-1,7
hLLMMkacdfefggjbxcckqw,1,7
hLLMAkbcdeffggebbtuwij,-1,7
hLLAMkcddeffggacvxxghn,-1,7
hLLPMkacefefggjbxkccqw,1,7
gLLAQadedeffjillwok,1,6
gLLAQacdeeffnkadodr,1,6
hLLAMkbdedffggtverxker,1,7
hLLLQkadefegggjmxgcwjr,1,7
hLLAAkbdecffggxvhjtchk,1,7
hLLMMkaceefgfgnktfftjj,1,7
hLLAPkbcedfgfgtjhfjjjk,-1,7
hLLAAkaddeefggjiepcoqw,-1,7
hLLLQkbdefefggtvietkjj,1,7
hLLMAkbcdeffggebbtxsaj,-1,7
hLvAQkaefefgfgnhqbrrsw,1,7
hLLPMkacefefggjbxgccqw,-1,7
hLLQzkacedefggnktefthn,1,7
hLLAAkacedefggnktxrqqw,-1,7
gLLAQacdefefnsaaxkr,1,6
gLLAQcecdfeflhccqnn,1,6
hLLAAkcddefeggugvdxrxr,1,7
hLALPkcbcefgfgudbsaank,-1,7
hLALPkcbbegffghhkoharj,1,7
hLAPzkcbceefggudbgnaqw,-1,7
hLAPzkcbceefggudbgsaqw,-1,7
hLvQAkcdcfeeggqjnqhnqw,-1,7
hLALAkbcbeefggxxjgbxxj,1,7
