id,oriented,tetrahedra
fLLQccceddehwhwjs,1,5
gLLPQcdcfeffhsndqvf,1,6
gLLAQccedfeftnhkhwj,1,6
gLALQbcbeeffxhjrvqn,1,6
gLLAQcbdeefftnbmtbn,1,6
gLALQbcceefftugncpj,-1,6
hLLMAkbddeffggtvkumvqk,1,7
hLALPkcbcefgggudbsqibo,-1,7
hLLMAkbdedffgglnarxolw,-1,7
hLALPkcbbegfgghhkodxwn,-1,7
hLvPQkccefggfghnxhxbcs,-1,7
hLLAAkbcdeefggpfreeshn,1,7
hLLAAkccdeefggakveikqn,-1,7
hLLAAkccdeefggawvhqcxj,-1,7
hLLAAkcdecffgghsanhrtr,-1,7
hLLAAkbddeefggxvrxlbqn,-1,7
hLLMAkccdefeggtjvmdjqj,1,7
hLALAkbcceefggtugsrthw,-1,7
hLALAkbcceefggluggsths,-1,7
hLLMAkccdefegganvmdnqn,-1,7
hLALAkbcbeefggxanofhqn,-1,7
hLLPAkcdcfeegghcnhasxn,1,7
hLLAPkaceegggfnktxlakn,-1,7
hLAwAkbccdffggtugegnqw,-1,7
hLALPkbcbefggghxjndabv,1,7
hLLAAkcbdeefggannmdvhn,-1,7
hLAwAkbcbdffgghxjagbqj,-1,7
hLALPkbcbefgfghxjsaxjr,1,7
hLLLQkacedgfggjkkngkcv,1,7
hLvPQkaefegffgjhhjsfcn,-1,7
hLLPMkacefdfggnkxgjkmn,1,7
hLLLQkbceggfgftbxatgwn,-1,7
hLLAPkbdedffgglvagfnrs,-1,7
hLLLQkcddfegggtgfawjov,1,7
hLLAAkbedcefgglanjdkxr,-1,7
hLLLQkaeefdgggjaxgnrkn,-1,7
hLLMPkacdffgfgjkxcnqnj,-1,7
hLLPPkcdefefgglwaplskr,-1,7
hLAwAkbccdffggaajhrwhj,-1,7
hLLAAkbdddffgghgkkkvin,-1,7
hLLLQkbdedffggxnirkkor,-1,7
