target,source,label
gLLPQcdcfeffhsndqgf,fLLQccceddehwhwws,Face: 10
gLLAQccedfeftnhkhsj,fLLQccceddehwhwws,Face: 9
gLALQbcbeeffxhjrvqj,fLLQccceddehwhwws,Face: 8
gLLAQcbdeefftjbmtbn,fLLQccceddehwhwws,Face: 7
gLALQbcceefftugncpw,fLLQccceddehwhwws,Face: 5
hLLMAkbddeffgglvkumvqk,gLLPQcdcfeffhsndqgf,Face: 12
hLALPkcbcefgggudbsqivo,gLLPQcdcfeffhsndqgf,Face: 11
hLLMAkbdedffggtnarxolw,gLLPQcdcfeffhsndqgf,Face: 9
hLALPkcbbegfgghhkodxwf,gLLPQcdcfeffhsndqgf,Face: 8
hLvPQkccefggfghnxhxbck,gLLPQcdcfeffhsndqgf,Face: 7
hLLAAkbcdeefgghfreeshn,gLLPQcdcfeffhsndqgf,Face: 6
hLLAAkccdeefggawveikqn,gLLPQcdcfeffhsndqgf,Face: 4
hLLAAkccdeefggakvhqcxj,gLLPQcdcfeffhsndqgf,Face: 3
hLLAAkcdecffgghsanhrtk,gLLPQcdcfeffhsndqgf,Face: 2
hLLAAkbddeefgghgcuekqn,gLLPQcdcfeffhsndqgf,Face: 1
hLLMAkccdefeggtjvmdjqn,gLLAQccedfeftnhkhsj,Face: 12
hLALAkbcceefggtugsrths,gLLAQccedfeftnhkhsj,Face: 11
hLALAkbcceefggtuggsths,gLLAQccedfeftnhkhsj,Face: 7
hLLMAkccdefegganvmdjqn,gLLAQccedfeftnhkhsj,Face: 4
hLALAkbcbeefggxajofhqn,gLLAQccedfeftnhkhsj,Face: 3
hLLPAkcdcfeegghcnhasxj,gLLAQccedfeftnhkhsj,Face: 2
hLLAPkaceegggfnktxlakj,gLALQbcbeeffxhjrvqj,Face: 12
hLAwAkbccdffggtugegnqj,gLALQbcbeeffxhjrvqj,Face: 11
hLALPkbcbefggghxjndaov,gLALQbcbeeffxhjrvqj,Face: 7
hLLAAkcbdeefggajnmdvhn,gLALQbcbeeffxhjrvqj,Face: 4
hLAwAkbcbdffgghxjagbqw,gLALQbcbeeffxhjrvqj,Face: 2
hLALPkbcbefgfghxjsaxnr,gLALQbcbeeffxhjrvqj,Face: 1
hLLMAkbddeffgglvkumvqk,gLLAQcbdeefftjbmtbn,Face: 12
hLLLQkacedgfggnkknfkos,gLLAQcbdeefftjbmtbn,Face: 11
hLvPQkaefegffgnhhjsfcn,gLLAQcbdeefftjbmtbn,Face: 10
hLLPMkacefdfggnkxgnkmn,gLLAQcbdeefftjbmtbn,Face: 9
hLLLQkbceggfgftbxalgwn,gLLAQcbdeefftjbmtbn,Face: 7
hLLAPkbdedffgglvagfnrw,gLLAQcbdeefftjbmtbn,Face: 5
hLLLQkcddfegggtgfasjov,gLLAQcbdeefftjbmtbn,Face: 4
hLLAAkbedcefgglanndkxr,gLLAQcbdeefftjbmtbn,Face: 3
hLLLQkaeefdgggjaxgjrkn,gLLAQcbdeefftjbmtbn,Face: 2
hLLMPkacdffgfgnkxcnqnj,gLLAQcbdeefftjbmtbn,Face: 1
hLALPkcbcefgggudbsqivo,gLALQbcceefftugncpw,Face: 12
hLALAkbcceefggtugsrths,gLALQbcceefftugncpw,Face: 11
hLAwAkbccdffggtugegnqj,gLALQbcceefftugncpw,Face: 10
hLLPPkcdefefgglwaplskn,gLALQbcceefftugncpw,Face: 9
hLALPkcbcefgggudbsqivo,gLALQbcceefftugncpw,Face: 8
hLAwAkbccdffggaajhrwhw,gLALQbcceefftugncpw,Face: 5
hLLAAkbdddffgghgkkkvir,gLALQbcceefftugncpw,Face: 4
hLLLQkbdedffggxninkkor,gLALQbcceefftugncpw,Face: 3
gLLAQcbdeefftjbmtbn,hLLMAkbddeffgglvkumvqk,Edge: 11
gLALQbcceefftugncpw,hLALPkcbcefgggudbsqivo,Edge: 10
gLALQbcbefffxxjnhah,hLALPkcbbegfgghhkodxwf,Edge: 9
gLALQbcbefffxxjnhah,hLLAAkbddeefgghgcuekqn,Edge: 10
gLALQbcceefftugncpw,hLALAkbcceefggtugsrths,Edge: 11
gLALQbcceefftugncpw,hLAwAkbccdffggtugegnqj,Edge: 11
hLALAkcbceffggqqgolxos,gLALQbcbefffxxjnhah,Face: 12
hLAwMkbccdfgggtugpwxxa,gLALQbcbefffxxjnhah,Face: 11
hLLAAkbddeefgghgcuekqn,gLALQbcbefffxxjnhah,Face: 7
hLLAAkbddeefgghgcuekqn,gLALQbcbefffxxjnhah,Face: 6
hLALPkbcbffgggxxjpttls,gLALQbcbefffxxjnhah,Face: 4
hLAMzkbccdefggmejmqhhj,gLALQbcbefffxxjnhah,Face: 3
