id,oriented,tetrahedra
fLLQccceddehwxwwj,1,5
gLLPQcdcfeffqsndqgf,0,6
gLLAQccedfeftnhkxsj,-1,6
gLALQbcbeeffhhjrvqj,-1,6
gLLAQcbdeefftjbmtwn,1,6
gLALQbcceeffdigsfur,-1,6
hLLMAkbddeffgglvkumvhn,0,7
hLAvQkbccegfggtugcdpwj,-1,7
hLLMAkbdedffggtnarxodr,-1,7
hLALPkcbbegfgghqnodxwf,0,7
hLvPQkccefggfgqnxhxbck,-1,7
hLLAAkbcdeefgghfreesqn,-1,7
hLLAAkccdeefggawveikhk,-1,7
hLLAAkccdeefggakvhqchj,0,7
hLLAAkcdecffggqsanhrtk,-1,7
hLLAAkbddeefgghgcuekhn,-1,7
hLLMAkaceeefggnktjkkxr,-1,7
hLALAkbcceefggdignwmhn,-1,7
hLALAkbcceefggtuggstxj,-1,7
hLLMAkccdefegganvmdjhn,-1,7
hLALAkbcbeefggxajofhhk,-1,7
hLLPAkcdcfeeggqcnhasxj,-1,7
hLLAPkacddffggnkamapkr,-1,7
hLAwAkcbcdffgglegegnqj,-1,7
hLALPkbcbefgggxxjndaov,-1,7
hLLAAkcbdeefggajnmdvqn,-1,7
hLAwAkbcbdffggxxjagbqw,-1,7
hLALPkbcbefgfgxxjsaxnr,-1,7
hLLLQkacdegfggnknngkcv,-1,7
hLvAQkadfefgfgnaqwnbbn,-1,7
hLLMPkacdefgfgnkanjink,1,7
hLLLQkbceggfgftbxalrwk,-1,7
hLLAPkadedgfggnmllunil,-1,7
hLLLQkadfeggfgnmdbsssc,-1,7
hLLAAkbedcefgglanndkqw,-1,7
hLLLQkaegdfgfgjaqsrswj,-1,7
hLLAPkaedeffggnaaqrwhr,-1,7
hLLzQkcdegeggflwaaljoj,-1,7
hLAwAkbccdffggaasxrwhw,-1,7
hLLMAkccddffgganvjknxn,-1,7
hLLAMkbdddffggxvrrnvds,-1,7
gLALQbcbefffhxjnhah,1,6
hLALAkcbceffggqqgolxfj,-1,7
hLAwMkbccdfgggdigurqaq,-1,7
hLALPkbcbffggghxjpttls,0,7
hLAMzkbccdefggmejmqhxj,-1,7
