target,source,label
gLLPQcdcfeffhsndugf,fLLQccceddelnhcws,Face: 10
gLLAQccedfefqfhfhsj,fLLQccceddelnhcws,Face: 9
gLLPQcdcfeefhrnqasj,fLLQccceddelnhcws,Face: 8
gLLAQbdceeffdwwqljn,fLLQccceddelnhcws,Face: 7
gLALQbcceefftugnspw,fLLQccceddelnhcws,Face: 5
hLLMAkccdfefggubsedwun,gLLPQcdcfeffhsndugf,Face: 12
hLALPkcbcefgggudbseivo,gLLPQcdcfeffhsndugf,Face: 11
hLLMAkbdedffggtwarxolw,gLLPQcdcfeffhsndugf,Face: 9
hLvPQkccefggfghnxhxcck,gLLPQcdcfeffhsndugf,Face: 8
hLLAAkcedeefgghtvaeqxj,gLLPQcdcfeffhsndugf,Face: 7
hLALPkcbbegfgghhkodpwf,gLLPQcdcfeffhsndugf,Face: 6
hLLAAkbddeefgganrtunqw,gLLPQcdcfeffhsndugf,Face: 4
hLLAAkccdeefggakvhucxj,gLLPQcdcfeffhsndugf,Face: 3
hLLAAkcdecffgghsandrtk,gLLPQcdcfeffhsndugf,Face: 2
hLLAAkbddeefggxvrdhvxj,gLLPQcdcfeffhsndugf,Face: 1
hLLMAkccdefeggajvmdjqn,gLLAQccedfefqfhfhsj,Face: 12
hLALAkbcceefggtuggrths,gLLAQccedfefqfhfhsj,Face: 11
hLALAkbcbeefggxajowhqn,gLLAQccedfefqfhfhsj,Face: 3
hLLMPkacdefgfgjkacfpjw,gLLPQcdcfeefhrnqasj,Face: 12
hLALPkcbcefgfgudbnaqjs,gLLPQcdcfeefhrnqasj,Face: 11
hLLAAkaeddefggniadcjhj,gLLPQcdcfeefhrnqasj,Face: 7
hLLAMkacdefgfgjbqaqanj,gLLPQcdcfeefhrnqasj,Face: 4
hLLAAkaeddefggniddcoqw,gLLPQcdcfeefhrnqasj,Face: 3
hLLLQkacedgfggnkknkkcv,gLLAQbdceeffdwwqljn,Face: 12
hLLPMkacefdfggnklgnkmn,gLLAQbdceeffdwwqljn,Face: 11
hLLAPkbcedfgfgtsxjosww,gLLAQbdceeffdwwqljn,Face: 10
hLLMAkccdfefggubsedwun,gLLAQbdceeffdwwqljn,Face: 9
hLLLQkbceggfgftsxalgwn,gLLAQbdceeffdwwqljn,Face: 7
hLLAPkbdedffgglvagrjvw,gLLAQbdceeffdwwqljn,Face: 5
hLLLQkbdffegfgtvmitfwr,gLLAQbdceeffdwwqljn,Face: 4
hLLAAkbedcefgglabntrqn,gLLAQbdceeffdwwqljn,Face: 3
hLLAPkceddfgfgtavnckww,gLLAQbdceeffdwwqljn,Face: 2
hLLMPkacdfgffgnkxcubbj,gLLAQbdceeffdwwqljn,Face: 1
hLALPkcbcefgggudbseivo,gLALQbcceefftugnspw,Face: 12
hLALAkbcceefggtuggrths,gLALQbcceefftugnspw,Face: 11
hLALPkcbcefgfgudbnaqjs,gLALQbcceefftugnspw,Face: 10
hLLPPkcdefefgglwahlwsn,gLALQbcceefftugnspw,Face: 9
hLALPkcbcefgggudbseivo,gLALQbcceefftugnspw,Face: 7
hLAwAkbccdffggaajhkwhw,gLALQbcceefftugnspw,Face: 5
hLLAAkbdddffgghgkkgvir,gLALQbcceefftugnspw,Face: 4
hLLLQkbdedffggeninkkor,gLALQbcceefftugnspw,Face: 3
gLLAQbdceeffdwwqljn,hLLMAkccdfefggubsedwun,Edge: 11
gLALQbcceefftugnspw,hLALPkcbcefgggudbseivo,Edge: 10
gLALQbcbefffxxjshah,hLALPkcbbegfgghhkodpwf,Edge: 9
gLALQbcbefffxxjshah,hLLAAkbddeefggxvrdhvxj,Edge: 10
gLALQbcceefftugnspw,hLALAkbcceefggtuggrths,Edge: 11
gLALQbcceefftugnspw,hLALPkcbcefgfgudbnaqjs,Edge: 11
hLALAkcbceffggqqvolxos,gLALQbcbefffxxjshah,Face: 12
hLAwMkbccdfgggtugpsxxa,gLALQbcbefffxxjshah,Face: 11
hLLAAkbddeefggxvrdhvxj,gLALQbcbefffxxjshah,Face: 6
hLALPkbcbegfgghhjrqqsj,gLALQbcbefffxxjshah,Face: 5
hLALPkbcbffgggxxjuttls,gLALQbcbefffxxjshah,Face: 4
hLLAAkbddeefggxvrdhvxj,gLALQbcbefffxxjshah,Face: 3
