id,oriented,tetrahedra
fLLQccceddelnhcws,1,5
gLLPQcdcfeffhsndugf,0,6
gLLAQccedfefqfhfhsj,1,6
gLLPQcdcfeefhrnqasj,0,6
gLLAQbdceeffdwwqljn,1,6
gLALQbcceefftugnspw,-1,6
hLLMAkccdfefggubsedwun,0,7
hLALPkcbcefgggudbseivo,-1,7
hLLMAkbdedffggtwarxolw,0,7
hLvPQkccefggfghnxhxcck,-1,7
hLLAAkcedeefgghtvaeqxj,0,7
hLALPkcbbegfgghhkodpwf,-1,7
hLLAAkbddeefgganrtunqw,-1,7
hLLAAkccdeefggakvhucxj,0,7
hLLAAkcdecffgghsandrtk,-1,7
hLLAAkbddeefggxvrdhvxj,-1,7
hLLMAkccdefeggajvmdjqn,-1,7
hLALAkbcceefggtuggrths,-1,7
hLALAkbcbeefggxajowhqn,-1,7
hLLMPkacdefgfgjkacfpjw,0,7
hLALPkcbcefgfgudbnaqjs,-1,7
hLLAAkaeddefggniadcjhj,0,7
hLLAMkacdefgfgjbqaqanj,0,7
hLLAAkaeddefggniddcoqw,-1,7
hLLLQkacedgfggnkknkkcv,-1,7
hLLPMkacefdfggnklgnkmn,0,7
hLLAPkbcedfgfgtsxjosww,1,7
hLLLQkbceggfgftsxalgwn,0,7
hLLAPkbdedffgglvagrjvw,0,7
hLLLQkbdffegfgtvmitfwr,-1,7
hLLAAkbedcefgglabntrqn,-1,7
hLLAPkceddfgfgtavnckww,-1,7
hLLMPkacdfgffgnkxcubbj,-1,7
hLLPPkcdefefgglwahlwsn,-1,7
hLAwAkbccdffggaajhkwhw,-1,7
hLLAAkbdddffgghgkkgvir,-1,7
hLLLQkbdedffggeninkkor,-1,7
gLALQbcbefffxxjshah,-1,6
hLALAkcbceffggqqvolxos,-1,7
hLAwMkbccdfgggtugpsxxa,-1,7
hLALPkbcbegfgghhjrqqsj,-1,7
hLALPkbcbffgggxxjuttls,-1,7
