id,oriented,tetrahedra
fLLQccceddelnhcww,1,5
gLLPQcdcfeffhsrdugf,0,6
gLLAQccedfefqfhfhsw,1,6
gLLPQcdcfeefhrrqasj,1,6
gLLAQbdceeffdwwqljj,1,6
gLALQbcceefflugnspw,-1,6
hLLMAkccdfefggubsedwur,0,7
hLALPkbccegfggeikbaqnw,-1,7
hLALPkbccegfggeikbumvo,-1,7
hLLMAkbdedffggtwarxolj,0,7
hLvPQkccefggfghrxhxcck,-1,7
hLLAAkcedeefgghtvaeqxn,0,7
hLALPkcbbegfgghhrodpwf,-1,7
hLLAAkbddeefgganrtunqj,-1,7
hLLAAkccdeefggakvhucxn,0,7
hLLAAkcdecffgghsardrtk,-1,7
hLLAAkbddeefggxvrdhvxn,-1,7
fLLQccceddelnhcjs,1,5
hLLMAkccdefeggajvmdnqn,-1,7
hLALAkbcceefggluggrths,-1,7
hLALAkbcceefggtuggrthw,-1,7
hLLMAkccdefeggajvmdjqj,-1,7
hLALAkbcbeefggxajowhqj,-1,7
hLALAkbcbeefggxanowhqn,-1,7
hLLMPkacdefgfgjkacfpjj,1,7
hLALPkbccegffgeikoitjs,-1,7
hLLAAkaeddefggniadcjhw,1,7
hLLAMkacdefgfgjbqaqajj,-1,7
hLLAAkaeddefggniddcoqj,-1,7
hLLLQkacedgfggjkknkkcv,-1,7
hLLPMkacefdfggjklgnkmn,-1,7
hLLAPkbcedfgfgtsxjossw,1,7
hLLLQkbceggfgftsxalgwj,1,7
hLLAPkbdedffggtvagrjvw,-1,7
hLLLQkbdffegfglvmitfwr,1,7
hLLAAkbedcefgglabntrqj,-1,7
hLLAPkceddfgfgtavnckws,-1,7
hLLMPkacdfgffgnkxcubbk,-1,7
hLLPPkcdefefggtwahlwsn,-1,7
hLLPMkcdeffgfguwaxxvnk,-1,7
hLAwAkbccdffggapkmkwhw,-1,7
hLLAMkcceeffggqfahejjj,-1,7
hLLAMkbdcdffggdwnfgolw,-1,7
hLLLQkbdedffggeninkkok,-1,7
hLLAPkbccegfgglonajjcv,-1,7
gLALQbcbefffxxnshah,-1,6
gLALQbcceefftugnspj,-1,6
gLLPQcdcfeffhsnduvf,1,6
gLLAQbdceeffdwsqljn,1,6
gLLPQcdcfeefhrnqawj,1,6
hLALAkcbceffggqqvolxow,-1,7
hLAwMkbccdfggglugpsxxa,-1,7
hLALPkbcbegfgghhwrqqsj,-1,7
hLALPkbcbffgggxxnuttls,-1,7
hLALPkcbcefgggudbseibo,-1,7
hLLPPkcdefefgglwahlwsr,-1,7
hLALPkcbcefgfgudbnaqns,-1,7
hLLAAkbdddffgghgkkgvin,-1,7
hLAwAkbccdffggaajhkwhj,-1,7
hLLLQkbdedffggenirkkor,-1,7
hLLMAkccdfefggpvsxdnan,1,7
hLLMAkbdedffgglwarxolw,-1,7
hLvPQkccefggfghnxhxccs,-1,7
hLLAAkcedeefgghtvaqqxj,1,7
hLALPkcbbegfgghhkodpwn,-1,7
hLLAAkcdecffgghsandrtr,-1,7
hLLAAkbddeefggajkthnqw,-1,7
hLLAAkbddeefggxvrxqbqn,-1,7
hLLAAkccdeefggawvhucxj,-1,7
hLLLQkbdffegfgtvmitfwk,-1,7
hLLAPkbdedffgglvagrjvs,1,7
hLLLQkbceggfgftsxatgwn,-1,7
hLLPMkacefdfggnklgjkmn,-1,7
hLLAPkbcedfgfgtsxjosws,1,7
hLLMPkacdfgffgjkxcubbj,-1,7
hLLAAkbedcefgglabjtrqn,-1,7
hLLAPkceddfgfgtavnckjw,-1,7
hLLAAkaeddefggnmadcjhj,1,7
hLLMPkacdefgfgjkacfpww,1,7
hLLAAkaeddefggjiddcoqw,-1,7
hLLAMkacdefgfgnbqaqanj,-1,7
