target,source,label
gLLPQcdcfeffqsndugf,fLLQccceddelnxcwj,Face: 10
gLLAQccedfefqfhfxsj,fLLQccceddelnxcwj,Face: 9
gLLPQcdcfeefqrnqasj,fLLQccceddelnxcwj,Face: 8
gLLAQbdceeffdwwqlon,fLLQccceddelnxcwj,Face: 7
gLALQbcceeffdigsnur,fLLQccceddelnxcwj,Face: 5
hLLMAkccdfefggubsedwdk,gLLPQcdcfeffqsndugf,Face: 12
hLAvQkbccegfggtugcdlks,gLLPQcdcfeffqsndugf,Face: 11
hLLMAkbdedffggtwarxodr,gLLPQcdcfeffqsndugf,Face: 9
hLvPQkccefggfgqnxhxcck,gLLPQcdcfeffqsndugf,Face: 8
hLLAAkcedeefgghtvaeqhs,gLLPQcdcfeffqsndugf,Face: 7
hLALPkcbbegfgghqnodpwf,gLLPQcdcfeffqsndugf,Face: 6
hLLAAkbddeefgganrtunxr,gLLPQcdcfeffqsndugf,Face: 4
hLLAAkccdeefggakvhuchj,gLLPQcdcfeffqsndugf,Face: 3
hLLAAkcdecffggqsandrtk,gLLPQcdcfeffqsndugf,Face: 2
hLLAAkbddeefggxvrdhvhj,gLLPQcdcfeffqsndugf,Face: 1
fLAMcaccdeejnjaqw,gLLAQccedfefqfhfxsj,Edge: 9
hLLMAkaceeefggnktkkkxr,gLLAQccedfefqfhfxsj,Face: 12
hLALAkbcceefggdiggwmhn,gLLAQccedfefqfhfxsj,Face: 11
hLALAkbcceefggtuggrtxj,gLLAQccedfefqfhfxsj,Face: 7
hLLMAkccdefeggajvmdjhn,gLLAQccedfefqfhfxsj,Face: 4
hLALAkbcbeefggxajowhhk,gLLAQccedfefqfhfxsj,Face: 3
hLALAkbcbeefgghajowhqn,gLLAQccedfefqfhfxsj,Face: 2
hLLMAkacedffggnktnfntn,gLLPQcdcfeefqrnqasj,Face: 12
hLAvQkbccegffgtugsptrw,gLLPQcdcfeefqrnqasj,Face: 11
hLLAAkaeddefggniadcjxj,gLLPQcdcfeefqrnqasj,Face: 7
hLLAMkacdefgfgjbqahakj,gLLPQcdcfeefqrnqasj,Face: 4
hLLAAkaeddefggniddcoxr,gLLPQcdcfeefqrnqasj,Face: 3
hLLLQkacdegfggnknnkkcv,gLLAQbdceeffdwwqlon,Face: 12
hLLMPkacdefgfgnkusjhnr,gLLAQbdceeffdwwqlon,Face: 11
hLLAPkbcedfgfgtsxjssrw,gLLAQbdceeffdwwqlon,Face: 10
hLLMAkccdfefggubsedwdk,gLLAQbdceeffdwwqlon,Face: 9
hLLLQkbceggfgftsxalrwk,gLLAQbdceeffdwwqlon,Face: 7
hLLAPkadedfgggnmalbiil,gLLAQbdceeffdwwqlon,Face: 5
hLLLQkadfeggfgnmdssccc,gLLAQbdceeffdwwqlon,Face: 4
hLLAAkbedcefgglabntrhk,gLLAQbdceeffdwwqlon,Face: 3
hLLAPkceddfgfgtavnccwr,gLLAQbdceeffdwwqlon,Face: 2
hLLAPkaedeffggnauqkwlj,gLLAQbdceeffdwwqlon,Face: 1
hLAvQkbccegfggtugcdlks,gLALQbcceeffdigsnur,Face: 12
hLALAkbcceefggdiggwmhn,gLALQbcceeffdigsnur,Face: 11
hLAvQkbccegffgtugsptrw,gLALQbcceeffdigsnur,Face: 10
hLLzQkcdegeggflwauljoj,gLALQbcceeffdigsnur,Face: 9
hLAvQkbccegfggtugcdlks,gLALQbcceeffdigsnur,Face: 7
hLAwAkbccdffggaasxkwhw,gLALQbcceeffdigsnur,Face: 5
hLLAAkbcceffgglondajmk,gLALQbcceeffdigsnur,Face: 4
hLLAMkbdddffggxvrrrvds,gLALQbcceeffdigsnur,Face: 3
gLLAQbdceeffdwwqlon,hLLMAkccdfefggubsedwdk,Edge: 11
gLALQbcceeffdigsnur,hLAvQkbccegfggtugcdlks,Edge: 10
gLALQbcbefffhxjshah,hLALPkcbbegfgghqnodpwf,Edge: 9
