target,source,label
gLLPQcdcfeffhsreqvf,fLLQccceddepwhwjw,Face: 10
gLLPQcdcfeefhcrqawj,fLLQccceddepwhwjw,Face: 9
gLALQbcbeeffxhncvqn,fLLQccceddepwhwjw,Face: 8
gLLAQcbdeefflnbmtbj,fLLQccceddepwhwjw,Face: 7
gLALQbcceefflugscpj,fLLQccceddepwhwjw,Face: 5
hLLAAkbdedffggtvprxblj,gLLPQcdcfeffhsreqvf,Face: 12
hLALPkbccegfggeikblinj,gLLPQcdcfeffhsreqvf,Face: 11
hLALPkbccegfggeikbxibo,gLLPQcdcfeffhsreqvf,Face: 10
hLLMAkbcdfefggekkmejir,gLLPQcdcfeffhsreqvf,Face: 9
hLALPkcbbegfgghhromxrs,gLLPQcdcfeffhsreqvf,Face: 8
hLLAAkcedeefgghlvaexqj,gLLPQcdcfeffhsreqvf,Face: 7
hLLAAkbcdeefggxbraawhr,gLLPQcdcfeffhsreqvf,Face: 6
hLLAAkccdeefggakveukqj,gLLPQcdcfeffhsreqvf,Face: 4
hLLAAkbddeefgganrlukhw,gLLPQcdcfeffhsreqvf,Face: 3
hLLAAkcdecffgghsartjxr,gLLPQcdcfeffhsreqvf,Face: 2
hLLAAkbddeefggxvrdtnqj,gLLPQcdcfeffhsreqvf,Face: 1
hLLMPkacdefgfgjkecfpwj,gLLPQcdcfeefhcrqawj,Face: 12
hLALPkbccegffgeikvitns,gLLPQcdcfeefhcrqawj,Face: 11
hLLAAkaeddefggjiadcoqj,gLLPQcdcfeefhcrqawj,Face: 7
hLLAMkacdefgfgjbxaxann,gLLPQcdcfeefhcrqawj,Face: 4
hLLAAkaeddefggnmddcjhw,gLLPQcdcfeefhcrqawj,Face: 3
hLLAPkaceegggfjktxxakn,gLALQbcbeeffxhncvqn,Face: 12
hLAwAkbccdffggeikivchn,gLALQbcbeeffxhncvqn,Face: 11
hLALPkbcbefggghxwniabv,gLALQbcbeeffxhncvqn,Face: 7
hLLMMkccdefgfgajvdmqnj,gLALQbcbeeffxhncvqn,Face: 4
hLAwAkbcbdffgghxwagnqj,gLALQbcbeeffxhncvqn,Face: 2
hLALAkbcbeefggxhnrjhxj,gLALQbcbeeffxhncvqn,Face: 1
hLLAAkbdedffggtvprxblj,gLLAQcbdeefflnbmtbj,Face: 12
hLLAAkbdceffgghgsqpgxj,gLLAQcbdeefflnbmtbj,Face: 11
hLvPQkaefegffgjhhjsffj,gLLAQcbdeefflnbmtbj,Face: 10
hLLPMkacefdfggjkxgjkmr,gLLAQcbdeefflnbmtbj,Face: 9
hLLLQkbceggfgflbxatgwj,gLLAQcbdeefflnbmtbj,Face: 7
hLLAPkbdedffggtvagfwrs,gLLAQcbdeefflnbmtbj,Face: 5
hLLLQkcddfeggglgfawjbv,gLLAQcbdeefflnbmtbj,Face: 4
hLLAAkbedcefggtanjdkxk,gLLAQcbdeefflnbmtbj,Face: 3
hLLAPkceddfgfglavkcnww,gLLAQcbdeefflnbmtbj,Face: 2
hLLMPkacdffgfgjbxcnqnk,gLLAQcbdeefflnbmtbj,Face: 1
hLALPkbccegfggeikblinj,gLALQbcceefflugscpj,Face: 12
hLALPkbccegffgeikvitns,gLALQbcceefflugscpj,Face: 11
hLAwAkbccdffggeikivchn,gLALQbcceefflugscpj,Face: 10
hLLPPkcdefefggtwaplkkr,gLALQbcceefflugscpj,Face: 9
hLALPkbccegfggeikbxibo,gLALQbcceefflugscpj,Face: 8
hLLPMkcdefffgguwuxxroj,gLALQbcceefflugscpj,Face: 7
hLAwAkbccdffggapkmrkhj,gLALQbcceefflugscpj,Face: 5
hLLAMkcceeffggqfahurgk,gLALQbcceefflugscpj,Face: 4
hLLAMkbdcdffggdwnfjgls,gLALQbcceefflugscpj,Face: 3
hLLLQkbdedggfgdrunwwro,gLALQbcceefflugscpj,Face: 2
hLLAPkccddffggqfrfrjqn,gLALQbcceefflugscpj,Face: 1
gLLAQcbdeefflnbmtbj,hLLAAkbdedffggtvprxblj,Edge: 11
gLALQbcceefflugscpj,hLALPkbccegfggeikblinj,Edge: 10
gLALQbcceefflugscpj,hLALPkbccegfggeikbxibo,Edge: 10
gLALQbcceefflugscpj,hLALPkbccegffgeikvitns,Edge: 11
gLALQbcceefflugscpj,hLAwAkbccdffggeikivchn,Edge: 11
