id,oriented,tetrahedra
fLLQccceddepwxwjj,1,5
gLLPQcdcfeffqsneqvf,1,6
gLLPQcdcfeefqcnqawj,1,6
gLALQbcbeeffhhjcvqn,1,6
gLLAQcbdeefflnbmtwn,1,6
gLALQbcceeffdignfuk,-1,6
hLLAAkbdedffggtvprxbmn,1,7
hLAvQkbccegfggtugcqprk,-1,7
hLLMAkbcdfefggekkmejpk,-1,7
hLALPkcbbegfgghqnomxrs,-1,7
hLLAAkcedeefgghlvaexhk,1,7
hLLAAkbcdeefggxbraawqn,0,7
hLLAAkccdeefggakveukhk,-1,7
hLLAAkbddeefgganrlukxj,-1,7
hLLAAkcdecffggqsantjxr,-1,7
hLLAAkbddeefggxvrdtnhn,1,7
hLLMAkacedffggnktrkbqn,1,7
hLAvQkbccegffgtugrptkw,-1,7
hLLAAkaeddefggjiadcoxr,1,7
hLLAMkacdefgfgjbxahajn,-1,7
hLLAAkaeddefggnmddcjxj,-1,7
hLLAPkacddffggnkamaxkk,-1,7
hLAwAkcbcdffgglegegbqw,-1,7
hLALPkbcbefgggxxjniabv,0,7
hLLMMkccdefgfgajvdmhnk,-1,7
hLAwAkbcbdffggxxjagnqj,-1,7
hLALAkbcbeefgghhjrjhxj,-1,7
hLLAAkbdceffgghgsqpgqr,1,7
hLvAQkadfefgfgnaqwwbbr,-1,7
hLLMPkacdefgfgnkanjirj,1,7
hLLLQkbceggfgflbxatrwk,-1,7
hLLAPkadedgfggjillunil,-1,7
hLLLQkadfeggfgjidbsssc,-1,7
hLLAAkbedcefggtanjdkqw,-1,7
hLLAPkceddfgfglavkccwj,-1,7
hLLAPkaedeffggnaaqjwhk,-1,7
hLLzQkcdegeggflwaalrow,-1,7
hLAwAkbccdffggaasxrkhj,-1,7
hLLMAkbccfefggtonatsiw,-1,7
hLLAMkbdddffggxvrrnrdw,-1,7
