target,source,label
gLLPQcdcfeffqsjeqvf,fLLQccceddepwxwjn,Face: 10
gLLPQcdcfeefqcjqawj,fLLQccceddepwxwjn,Face: 9
gLALQbcbeeffhhwcvqn,fLLQccceddepwxwjn,Face: 8
gLLAQcbdeefflnbmtwr,fLLQccceddepwxwjn,Face: 7
gLALQbcceeffdmgnfuk,fLLQccceddepwxwjn,Face: 5
hLLAAkbdedffggtvprxbmr,gLLPQcdcfeffqsjeqvf,Face: 12
hLAvQkbccefgggtpksuerk,gLLPQcdcfeffqsjeqvf,Face: 11
hLAvQkbccefgggtpksuagf,gLLPQcdcfeffqsjeqvf,Face: 10
hLLMAkbcdfefggekkmejpj,gLLPQcdcfeffqsjeqvf,Face: 9
hLALPkcbbegfgghqjomxrs,gLLPQcdcfeffqsjeqvf,Face: 8
hLLAAkcedeefgghlvaexhr,gLLPQcdcfeffqsjeqvf,Face: 7
hLLAAkbcdeefggxbraawqj,gLLPQcdcfeffqsjeqvf,Face: 6
hLLAAkccdeefggakveukhr,gLLPQcdcfeffqsjeqvf,Face: 4
hLLAAkbddeefgganrlukxn,gLLPQcdcfeffqsjeqvf,Face: 3
hLLAAkcdecffggqsajtjxr,gLLPQcdcfeffqsjeqvf,Face: 2
hLLAAkbddeefggxvrdtnhr,gLLPQcdcfeffqsjeqvf,Face: 1
hLLMAkacedffggjktrkbqn,gLLPQcdcfeefqcjqawj,Face: 12
hLAvQkbccefgfgtpkcmukw,gLLPQcdcfeefqcjqawj,Face: 11
hLLAAkaeddefggjiadcoxk,gLLPQcdcfeefqcjqawj,Face: 7
hLLAMkacdefgfgjbxahawn,gLLPQcdcfeefqcjqawj,Face: 4
hLLAAkaeddefggnmddcjxn,gLLPQcdcfeefqcjqawj,Face: 3
hLLAPkacddffggjkamaxkk,gLALQbcbeeffhhwcvqn,Face: 12
hLAwAkbccdffggeikefohj,gLALQbcbeeffhhwcvqn,Face: 11
hLALPkbcbefgggxxnniabv,gLALQbcbeeffhhwcvqn,Face: 7
hLLMMkccdefgfgajvdmhnr,gLALQbcbeeffhhwcvqn,Face: 4
hLAwAkbcbdffggxxnagnqj,gLALQbcbeeffhhwcvqn,Face: 2
hLALAkbcbeefgghhwrjhxj,gLALQbcbeeffhhwcvqn,Face: 1
hLLAAkbdedffggtvprxbmr,gLLAQcbdeefflnbmtwr,Face: 12
hLLAAkbdceffgghgsqpgqn,gLLAQcbdeefflnbmtwr,Face: 11
hLvAQkadfefgfgjaqwwbbr,gLLAQcbdeefflnbmtwr,Face: 10
hLLMPkacdefgfgjkanjirj,gLLAQcbdeefflnbmtwr,Face: 9
hLLLQkbceggfgflbxatrwr,gLLAQcbdeefflnbmtwr,Face: 7
hLLAPkadedgfggjillunhl,gLLAQcbdeefflnbmtwr,Face: 5
hLLLQkadfegfggnumvgnnb,gLLAQcbdeefflnbmtwr,Face: 4
hLLAAkbedcefggtanjdkqs,gLLAQcbdeefflnbmtwr,Face: 3
hLLAPkceddfgfglavkccwk,gLLAQcbdeefflnbmtwr,Face: 2
hLLAPkaedeffggjaaqjwhk,gLLAQcbdeefflnbmtwr,Face: 1
hLAvQkbccefgggtpksuerk,gLALQbcceeffdmgnfuk,Face: 12
hLAvQkbccefgfgtpkcmukw,gLALQbcceeffdmgnfuk,Face: 11
hLAwAkbccdffggeikefohj,gLALQbcceeffdmgnfuk,Face: 10
hLLLQkcdffggeguwxxujnk,gLALQbcceeffdmgnfuk,Face: 9
hLAvQkbccefgggtpksuagf,gLALQbcceeffdmgnfuk,Face: 8
hLLzQkcdegeggftwaalrow,gLALQbcceeffdmgnfuk,Face: 7
hLAwAkbccdffggaurirkhj,gLALQbcceeffdmgnfuk,Face: 5
hLLMAkbccfefggtonatsij,gLALQbcceeffdmgnfuk,Face: 4
hLLAAkccddffggqfrfwshn,gLALQbcceeffdmgnfuk,Face: 3
hLLAPkcceeffggqfahtjon,gLALQbcceeffdmgnfuk,Face: 2
hLLAPkbdcdffggdwnfwouj,gLALQbcceeffdmgnfuk,Face: 1
gLLAQcbdeefflnbmtwr,hLLAAkbdedffggtvprxbmr,Edge: 11
gLALQbcceeffdmgnfuk,hLAvQkbccefgggtpksuerk,Edge: 10
gLALQbcceeffdmgnfuk,hLAvQkbccefgggtpksuagf,Edge: 10
gLALQbcceeffdmgnfuk,hLAvQkbccefgfgtpkcmukw,Edge: 11
gLALQbcceeffdmgnfuk,hLAwAkbccdffggeikefohj,Edge: 11
