target,source,label
gLLPQcdcfeffqsneqgf,fLLQccceddepwxwwj,Face: 10
gLLPQcdcfeefqcnqawk,fLLQccceddepwxwwj,Face: 9
gLALQbcbeeffhhjcvqj,fLLQccceddepwxwwj,Face: 8
gLLAQcbdeeffljbmtwn,fLLQccceddepwxwwj,Face: 7
gLALQbcceeffdignfur,fLLQccceddepwxwwj,Face: 5
hLLAAkbdedffgglvprxbmn,gLLPQcdcfeffqsneqgf,Face: 12
hLAvQkbccegfggtugcqpfk,gLLPQcdcfeffqsneqgf,Face: 11
hLLMAkbcdfefggdgkmdkls,gLLPQcdcfeffqsneqgf,Face: 9
hLALPkcbbegfgghqnomxcs,gLLPQcdcfeffqsneqgf,Face: 8
hLLAAkcedeefgghlvaqxhk,gLLPQcdcfeffqsneqgf,Face: 7
hLLAAkbcdeefggmbraawqn,gLLPQcdcfeffqsneqgf,Face: 6
hLLAAkccdeefggawveukhk,gLLPQcdcfeffqsneqgf,Face: 4
hLLAAkbddeefggajklhkxj,gLLPQcdcfeffqsneqgf,Face: 3
hLLAAkcdecffggqsantjxk,gLLPQcdcfeffqsneqgf,Face: 2
hLLAAkbddeefgghgfuekhn,gLLPQcdcfeffqsneqgf,Face: 1
hLLMAkacedffggnktrkbqr,gLLPQcdcfeefqcnqawk,Face: 12
hLAvQkbccegffgtugrptks,gLLPQcdcfeefqcnqawk,Face: 11
hLLAAkaeddefggjmadcoxr,gLLPQcdcfeefqcnqawk,Face: 7
hLLAMkacdefgfgnbxahajn,gLLPQcdcfeefqcnqawk,Face: 4
hLLAAkaeddefggjmddcjxj,gLLPQcdcfeefqcnqawk,Face: 3
hLLAPkacddffggnkamaxkr,gLALQbcbeeffhhjcvqj,Face: 12
hLAwAkcbcdffgglegegbqj,gLALQbcbeeffhhjcvqj,Face: 11
hLALPkbcbefgggxxjniaov,gLALQbcbeeffhhjcvqj,Face: 7
hLLMMkccdefgfgajvdmhjk,gLALQbcbeeffhhjcvqj,Face: 4
hLAwAkbcbdffggxxjagnqw,gLALQbcbeeffhhjcvqj,Face: 2
hLALAkbcbeefgghhjrjhxn,gLALQbcbeeffhhjcvqj,Face: 1
hLLAAkbdedffgglvprxbmn,gLLAQcbdeeffljbmtwn,Face: 12
hLLAAkbdceffgghgwqpgqr,gLLAQcbdeeffljbmtwn,Face: 11
hLvAQkadfefgfgnaqwwbbn,gLLAQcbdeeffljbmtwn,Face: 10
hLLMPkacdefgfgnkanjinj,gLLAQcbdeeffljbmtwn,Face: 9
hLLLQkbceggfgflbxalrwk,gLLAQcbdeeffljbmtwn,Face: 7
hLLAPkadedgfggnillunil,gLLAQcbdeeffljbmtwn,Face: 5
hLLLQkadfeggfgnidbsssc,gLLAQcbdeeffljbmtwn,Face: 4
hLLAAkbedcefggtanndkqw,gLLAQcbdeeffljbmtwn,Face: 3
hLLAPkceddfgfglavkccjj,gLLAQcbdeeffljbmtwn,Face: 2
hLLAPkaedeffggnaaqjwhr,gLLAQcbdeeffljbmtwn,Face: 1
hLAvQkbccegfggtugcqpfk,gLALQbcceeffdignfur,Face: 12
hLAvQkbccegffgtugrptks,gLALQbcceeffdignfur,Face: 11
hLAwAkcbcdffgglegegbqj,gLALQbcceeffdignfur,Face: 10
hLLzQkcdegeggflwaalroj,gLALQbcceeffdignfur,Face: 9
hLAvQkbccegfggtugcqpfk,gLALQbcceeffdignfur,Face: 8
hLAwAkbccdffggaasxrkhw,gLALQbcceeffdignfur,Face: 5
hLLMAkbccfefggtoratsiw,gLALQbcceeffdignfur,Face: 4
hLLAMkbdddffggxvrrnrds,gLALQbcceeffdignfur,Face: 3
gLLAQcbdeeffljbmtwn,hLLAAkbdedffgglvprxbmn,Edge: 11
gLALQbcceeffdignfur,hLAvQkbccegfggtugcqpfk,Edge: 10
gLALQbcceeffdignfur,hLAvQkbccegffgtugrptks,Edge: 11
gLALQbcceeffdignfur,hLAwAkcbcdffgglegegbqj,Edge: 11
