id,oriented,tetrahedra
fLLQccceddepwxwwj,1,5
gLLPQcdcfeffqsneqgf,1,6
gLLPQcdcfeefqcnqawk,1,6
gLALQbcbeeffhhjcvqj,1,6
gLLAQcbdeeffljbmtwn,1,6
gLALQbcceeffdignfur,-1,6
hLLAAkbdedffgglvprxbmn,1,7
hLAvQkbccegfggtugcqpfk,-1,7
hLLMAkbcdfefggdgkmdkls,-1,7
hLALPkcbbegfgghqnomxcs,-1,7
hLLAAkcedeefgghlvaqxhk,1,7
hLLAAkbcdeefggmbraawqn,1,7
hLLAAkccdeefggawveukhk,-1,7
hLLAAkbddeefggajklhkxj,-1,7
hLLAAkcdecffggqsantjxk,-1,7
hLLAAkbddeefgghgfuekhn,1,7
hLLMAkacedffggnktrkbqr,1,7
hLAvQkbccegffgtugrptks,-1,7
hLLAAkaeddefggjmadcoxr,1,7
hLLAMkacdefgfgnbxahajn,-1,7
hLLAAkaeddefggjmddcjxj,-1,7
hLLAPkacddffggnkamaxkr,-1,7
hLAwAkcbcdffgglegegbqj,-1,7
hLALPkbcbefgggxxjniaov,1,7
hLLMMkccdefgfgajvdmhjk,-1,7
hLAwAkbcbdffggxxjagnqw,-1,7
hLALAkbcbeefgghhjrjhxn,-1,7
hLLAAkbdceffgghgwqpgqr,1,7
hLvAQkadfefgfgnaqwwbbn,-1,7
hLLMPkacdefgfgnkanjinj,1,7
hLLLQkbceggfgflbxalrwk,-1,7
hLLAPkadedgfggnillunil,-1,7
hLLLQkadfeggfgnidbsssc,-1,7
hLLAAkbedcefggtanndkqw,-1,7
hLLAPkceddfgfglavkccjj,-1,7
hLLAPkaedeffggnaaqjwhr,-1,7
hLLzQkcdegeggflwaalroj,-1,7
hLAwAkbccdffggaasxrkhw,-1,7
hLLMAkbccfefggtoratsiw,-1,7
hLLAMkbdddffggxvrrnrds,-1,7
