target,source,label
gLLPQcdcfeffhsneivf,fLLQccceddeufhjjs,Face: 10
gLLPQcdcfeefhcnqasj,fLLQccceddeufhjjs,Face: 9
gLLAQccedfefhwhgqsw,fLLQccceddeufhjjs,Face: 8
gLLAQbdceeffessulcr,fLLQccceddeufhjjs,Face: 7
gLALQbcceefftugsrpj,fLLQccceddeufhjjs,Face: 5
hLLAMkbdedffggtvurxohj,gLLPQcdcfeffhsneivf,Face: 12
hLALPkcbcefgggudbsitkr,gLLPQcdcfeffhsneivf,Face: 11
hLLMAkbcdfefggeskmejin,gLLPQcdcfeffhsneivf,Face: 9
hLALPkcbbegfgghhkomenf,gLLPQcdcfeffhsneivf,Face: 8
hLvPQkccefggfghnxhxbrb,gLLPQcdcfeffhsneivf,Face: 7
hLLAAkcedeefgghtvaexqn,gLLPQcdcfeffhsneivf,Face: 6
hLLAAkccdeefggakvhukqn,gLLPQcdcfeffhsneivf,Face: 4
hLLAAkbddeefgganrtukhj,gLLPQcdcfeffhsneivf,Face: 3
hLLAAkcdecffgghsanljxr,gLLPQcdcfeffhsneivf,Face: 2
hLLAAkbddeefggxvrdhnqn,gLLPQcdcfeffhsneivf,Face: 1
hLLMPkacdefgfgjkecfpjw,gLLPQcdcfeefhcnqasj,Face: 12
hLALPkcbcefgfgudbgaqjs,gLLPQcdcfeefhcnqasj,Face: 11
hLLAAkaeddefggniadcoqw,gLLPQcdcfeefhcnqasj,Face: 7
hLLAMkacdefgfgjbxaxajj,gLLPQcdcfeefhcnqasj,Face: 4
hLLAAkaeddefggniddcjhj,gLLPQcdcfeefhcnqasj,Face: 3
hLLMAkccdefegglbvmljxj,gLLAQccedfefhwhgqsw,Face: 12
hLALAkbcceefggtugnceqw,gLLAQccedfefhwhgqsw,Face: 11
hLALAkbcceefggtuggreqw,gLLAQccedfefhwhgqsw,Face: 7
hLLMAkccdefeggajvmljxj,gLLAQccedfefhwhgqsw,Face: 4
hLALAkbcbeefggxajowaxj,gLLAQccedfefhwhgqsw,Face: 3
hLALAkbcbeefggxhjrvhxj,gLLAQccedfefhwhgqsw,Face: 2
hLLPMkacefdfggnkpgjkmr,gLLAQbdceeffessulcr,Face: 12
hLLAMkbdedffggtvurxohj,gLLAQbdceeffessulcr,Face: 11
hLLLQkacgdgffgnknjkvkv,gLLAQbdceeffessulcr,Face: 10
hLLAAkbdceffgghgsqugxw,gLLAQbdceeffessulcr,Face: 9
hLLLQkbceggfgflkxatgwn,gLLAQbdceeffessulcr,Face: 7
hLLAPkbdedffgglvagksjs,gLLAQbdceeffessulcr,Face: 5
hLLLQkbdggefgftvlutwow,gLLAQbdceeffessulcr,Face: 4
hLLAAkbecdefggeassicxj,gLLAQbdceeffessulcr,Face: 3
hLLAPkceddfgfgtavkcnws,gLLAQbdceeffessulcr,Face: 2
hLLMMkcbefefggajxidcrw,gLLAQbdceeffessulcr,Face: 1
hLALPkcbcefgggudbsitkr,gLALQbcceefftugsrpj,Face: 12
hLALPkcbcefgfgudbgaqjs,gLALQbcceefftugsrpj,Face: 11
hLALAkbcceefggtugnceqw,gLALQbcceefftugsrpj,Face: 10
hLLPPkcdefefgglwadlrbr,gLALQbcceefftugsrpj,Face: 9
hLALPkcbcefgggudbsitkr,gLALQbcceefftugsrpj,Face: 7
hLAwAkbccdffggaajhfkhj,gLALQbcceefftugsrpj,Face: 5
hLLAAkbdddffgghgkkjgin,gLALQbcceefftugsrpj,Face: 4
hLLLQkbdedggfgeninvvko,gLALQbcceefftugsrpj,Face: 3
gLLAQbdceeffessulcr,hLLAMkbdedffggtvurxohj,Edge: 11
gLALQbcceefftugsrpj,hLALPkcbcefgggudbsitkr,Edge: 10
gLALQbcbefffhhjrxxa,hLALPkcbbegfgghhkomenf,Edge: 9
gLALQbcbefffhhjrxxa,hLLAAkbddeefggxvrdhnqn,Edge: 10
gLALQbcceefftugsrpj,hLALPkcbcefgfgudbgaqjs,Edge: 11
gLALQbcceefftugsrpj,hLALAkbcceefggtugnceqw,Edge: 11
hLALAkbccfefgghhsdbucw,gLALQbcbefffhhjrxxa,Face: 12
hLAwMkbccdfgggxxfxwiea,gLALQbcbefffhhjrxxa,Face: 11
hLLAAkbddeefggxvrdhnqn,gLALQbcbefffhhjrxxa,Face: 7
hLALPkbcbefgggxxjsxxnk,gLALQbcbefffhhjrxxa,Face: 5
hLALPkbcbfgfgghhjldeer,gLALQbcbefffhhjrxxa,Face: 4
hLLAAkbddeefggxvrdhnqn,gLALQbcbefffhhjrxxa,Face: 3
