id,oriented,tetrahedra
fLLQccceddeufhjjs,1,5
gLLPQcdcfeffhsneivf,-1,6
gLLPQcdcfeefhcnqasj,1,6
gLLAQccedfefhwhgqsw,1,6
gLLAQbdceeffessulcr,1,6
gLALQbcceefftugsrpj,-1,6
hLLAMkbdedffggtvurxohj,-1,7
hLALPkcbcefgggudbsitkr,-1,7
hLLMAkbcdfefggeskmejin,-1,7
hLALPkcbbegfgghhkomenf,-1,7
hLvPQkccefggfghnxhxbrb,-1,7
hLLAAkcedeefgghtvaexqn,-1,7
hLLAAkccdeefggakvhukqn,-1,7
hLLAAkbddeefgganrtukhj,-1,7
hLLAAkcdecffgghsanljxr,-1,7
hLLAAkbddeefggxvrdhnqn,-1,7
hLLMPkacdefgfgjkecfpjw,1,7
hLALPkcbcefgfgudbgaqjs,-1,7
hLLAAkaeddefggniadcoqw,1,7
hLLAMkacdefgfgjbxaxajj,-1,7
hLLAAkaeddefggniddcjhj,-1,7
hLLMAkccdefegglbvmljxj,1,7
hLALAkbcceefggtugnceqw,-1,7
hLALAkbcceefggtuggreqw,-1,7
hLLMAkccdefeggajvmljxj,-1,7
hLALAkbcbeefggxajowaxj,-1,7
hLALAkbcbeefggxhjrvhxj,-1,7
hLLPMkacefdfggnkpgjkmr,-1,7
hLLLQkacgdgffgnknjkvkv,1,7
hLLAAkbdceffgghgsqugxw,1,7
hLLLQkbceggfgflkxatgwn,-1,7
hLLAPkbdedffgglvagksjs,1,7
hLLLQkbdggefgftvlutwow,-1,7
hLLAAkbecdefggeassicxj,-1,7
hLLAPkceddfgfgtavkcnws,-1,7
hLLMMkcbefefggajxidcrw,-1,7
hLLPPkcdefefgglwadlrbr,-1,7
hLAwAkbccdffggaajhfkhj,-1,7
hLLAAkbdddffgghgkkjgin,-1,7
hLLLQkbdedggfgeninvvko,-1,7
gLALQbcbefffhhjrxxa,-1,6
hLALAkbccfefgghhsdbucw,-1,7
hLAwMkbccdfgggxxfxwiea,-1,7
hLALPkbcbefgggxxjsxxnk,-1,7
hLALPkbcbfgfgghhjldeer,-1,7
