id,oriented,tetrahedra
fLLQccceddeufxjjj,1,5
gLLPQcdcfeffqsneivf,0,6
gLLPQcdcfeefqcnqasj,1,6
gLLAQccedfefhwxgqjw,1,6
gLLAQbdceeffessulkw,1,6
gLALQbcceeffdignwuk,-1,6
hLLAMkbdedffggtvurxoxj,0,7
hLAvQkbccegfggtugcqxnj,-1,7
hLLMAkbcdfefggeskmejpk,0,7
hLALPkcbbegfgghqnomenf,-1,7
hLvPQkccefggfgqnxhxbrb,-1,7
hLLAAkcedeefgghtvaexhk,0,7
hLLAAkccdeefggakvhukhk,-1,7
hLLAAkbddeefgganrtukxj,-1,7
hLLAAkcdecffggqsanljxr,-1,7
hLLAAkbddeefggxvrdhnhn,-1,7
hLLMAkacedffggnktnkbqn,1,7
hLAvQkbccegffgtugrptrw,-1,7
hLLAAkaeddefggniadcoxr,1,7
hLLAMkacdefgfgjbxahajj,-1,7
hLLAAkaeddefggniddcjxj,-1,7
hLLMAkaceefeggnktfonhn,1,7
hLALAkbcceefggdigsfdxr,-1,7
hLALAkbcceefggtuggrexr,-1,7
hLLMAkccdefeggajvmljhs,-1,7
hLALAkbcbeefggxajowahj,-1,7
hLALAkbcbeefgghhjrvhxj,-1,7
hLLwQkacdefgfgnkpgjlrw,-1,7
hLLLQkacdggffgnksvkvkv,1,7
hLLAAkbdceffgghgsqugqr,1,7
hLLLQkbceggfgflkxatrwk,1,7
hLLAPkadedfgggjitljqil,-1,7
hLLLQkadfegfggjidksrrc,1,7
hLLAAkbecdefggeassichs,-1,7
hLLAPkceddfgfgtavkccwj,-1,7
hLLAMkaedeffggnapqcwij,-1,7
hLLzQkcdegeggflwaplrow,-1,7
hLAwAkbccdffggaasxfkhj,-1,7
hLLMAkbccfefgglonatsiw,-1,7
hLLAMkbdddffggxvrrordw,-1,7
gLALQbcbefffxhjrxxa,-1,6
hLALAkbccfefgghhsdbukr,-1,7
hLAwMkbccdfgggxxfxwteq,-1,7
hLALPkbcbefggghxjsxxnk,-1,7
hLALPkbcbfgfgghxjdlptj,-1,7
