target,source,label
gLLQPcdcdefflgrfmqn,fLLQccecddehhrwjn,Face: 10
gLLAQccedfeftnhchwn,fLLQccecddehhrwjn,Face: 9
gLALQbcbeeffhxjsbxr,fLLQccecddehhrwjn,Face: 8
gLLAQacedeffnktlrqj,fLLQccecddehhrwjn,Face: 7
gLAPPcbceeffudbknaj,fLLQccecddehhrwjn,Face: 6
fLLQcacdeeenkexjn,gLLQPcdcdefflgrfmqn,Edge: 9
hLALPkbccegfggdigghuwf,gLLQPcdcdefflgrfmqn,Face: 12
hLLLQkbdegggfftvummvfn,gLLQPcdcdefflgrfmqn,Face: 11
hLLMMkcddeffggasbmqjqj,gLLQPcdcdefflgrfmqn,Face: 9
hLALPkbcbegfgghajodxwn,gLLQPcdcdefflgrfmqn,Face: 8
hLvPQkccgeffgghnaxxbfk,gLLQPcdcdefflgrfmqn,Face: 7
hLLAAkbcdeefggpfreeohs,gLLQPcdcdefflgrfmqn,Face: 6
hLLAAkccdeefggakveivqw,gLLQPcdcdefflgrfmqn,Face: 4
hLLAAkccdeefggawvhqvxr,gLLQPcdcdefflgrfmqn,Face: 3
hLLAAkcedcffgghavnhrdw,gLLQPcdcdefflgrfmqn,Face: 2
hLLAAkbddeefggxvrxlrqw,gLLQPcdcdefflgrfmqn,Face: 1
hLAPzkcbceefggudbjgxxn,gLLAQccedfeftnhchwn,Face: 12
hLLAAkacedefggnktaklhr,gLLAQccedfeftnhchwn,Face: 11
hLALAkbcceefggluggsphn,gLLAQccedfeftnhchwn,Face: 7
hLLMAkccdefegganvmmnqw,gLLAQccedfeftnhchwn,Face: 4
hLALAkbcbeefggxanofxqw,gLLAQccedfeftnhchwn,Face: 3
hLLPMkcdcfegfghrrqaqkn,gLLAQccedfeftnhchwn,Face: 2
hLAwAkcbcdffgglegpschn,gLALQbcbeeffhxjsbxr,Face: 12
hLLAMkaceeffggnktxllon,gLALQbcbeeffhxjsbxr,Face: 11
hLALPkbcbegfggxhjsatgk,gLALQbcbeeffhxjsbxr,Face: 7
hLLAAkcbdeefggannmdnhs,gLALQbcbeeffhxjsbxr,Face: 4
hLAwAkbcbdffggxhjavchr,gLALQbcbeeffhxjsbxr,Face: 2
hLALPkbcbegffgxhjrqawk,gLALQbcbeeffhxjsbxr,Face: 1
fLLQcacdeeenkexjn,gLLAQacedeffnktlrqj,Edge: 10
hLLLQkbdegggfftvummvfn,gLLAQacedeffnktlrqj,Face: 12
hLLMAkacdeffggjkackgaj,gLLAQacedeffnktlrqj,Face: 11
