target,source,label
gLLQPccddeffpfnouxj,fLLQccecddelqccjn,Face: 10
gLLAQccedfefqfhjqwn,fLLQccecddelqccjn,Face: 9
gLvQQcdcfeefhjnqhnj,fLLQccecddelqccjn,Face: 8
gLLAQacedeffnktakdr,fLLQccecddelqccjn,Face: 7
gLAPPcbceeffudbjgak,fLLQccecddelqccjn,Face: 6
fLLQcacdeeenkdisr,gLLQPccddeffpfnouxj,Edge: 9
hLALPkbccegfggdiggpicw,gLLQPccddeffpfnouxj,Face: 12
hLLLQkbdeggfgftvpmmgok,gLLQPccddeffpfnouxj,Face: 11
hLLMMkcddeffggacsuhoen,gLLQPccddeffpfnouxj,Face: 9
hLvPQkccgeffgghnaxxbnb,gLLQPccddeffpfnouxj,Face: 8
hLLAAkcedeefgghtvaqhqw,gLLQPccddeffpfnouxj,Face: 7
hLALPkbcbegfgghajomenw,gLLQPccddeffpfnouxj,Face: 6
hLLAAkbddeefggajkthchn,gLLQPccddeffpfnouxj,Face: 4
hLLAAkccdeefggawvhuvqw,gLLQPccddeffpfnouxj,Face: 3
hLLAAkcedcffgghavntcxj,gLLQPccddeffpfnouxj,Face: 2
hLLAAkbddeefggxvrxqrxr,gLLQPccddeffpfnouxj,Face: 1
hLAPzkcbceefggudbknqqj,gLLAQccedfefqfhjqwn,Face: 12
hLLAAkacedefggnktlraqj,gLLAQccedfefqfhjqwn,Face: 11
hLALAkbcceefggluggrpqn,gLLAQccedfefqfhjqwn,Face: 7
hLLMAkccdefeggajvmmnxr,gLLAQccedfefqfhjqwn,Face: 4
hLALAkbcbeefggxanowxxr,gLLAQccedfefqfhjqwn,Face: 3
hLALAkbcbeefgghxjsbqhr,gLLAQccedfefqfhjqwn,Face: 2
hLALPkbccegffgdigsudnr,gLvQQcdcfeefhjnqhnj,Face: 12
hLLMAkcbedffggpnaruolw,gLvQQcdcfeefhjnqhnj,Face: 11
hLLAAkaeddefggnmadcfqn,gLvQQcdcfeefhjnqhnj,Face: 7
hLLAMkacdefgfgnbaaxarj,gLvQQcdcfeefhjnqhnj,Face: 4
hLLAAkaeddefggjiddcfhn,gLvQQcdcfeefhjnqhnj,Face: 3
fLLQcacdeeenkdisr,gLLAQacedeffnktakdr,Edge: 9
hLLMAkacdeffggjkackkqj,gLLAQacedeffnktakdr,Face: 12
hLLAAkacdeefggnkdirqaj,gLLAQacedeffnktakdr,Face: 11
hLLAMkcedefgfglhvahkjk,gLLAQacedeffnktakdr,Face: 10
hLLLQkbdeggfgftvpmmgok,gLLAQacedeffnktakdr,Face: 9
hLLLQkcdefgggfawmatkjr,gLLAQacedeffnktakdr,Face: 7
hLLAAkbdedffgglvagirqj,gLLAQacedeffnktakdr,Face: 5
hLLAAkbdedffgglvpgardw,gLLAQacedeffnktakdr,Face: 4
hLLMPkacdeffggnbacjjer,gLLAQacedeffnktakdr,Face: 3
hLLAAkcedcffgghavntcxj,gLLAQacedeffnktakdr,Face: 2
hLLAPkaedeffggnapqfwpr,gLLAQacedeffnktakdr,Face: 1
hLALPkbccegfggdiggpicw,gLAPPcbceeffudbjgak,Face: 12
hLAPzkcbceefggudbknqqj,gLAPPcbceeffudbjgak,Face: 11
hLALPkbccegffgdigsudnr,gLAPPcbceeffudbjgak,Face: 10
hLLPAkcdeffegglwahtlhw,gLAPPcbceeffudbjgak,Face: 9
hLALPkbccegfggdiggpicw,gLAPPcbceeffudbjgak,Face: 7
hLAwAkcbcdffggaakhjcaw,gLAPPcbceeffudbjgak,Face: 5
hLLAMkbcceffgglordaouj,gLAPPcbceeffudbjgak,Face: 4
hLLAAkbdddffggxvrrovmk,gLAPPcbceeffudbjgak,Face: 3
gLLMQbcdefffebbpqks,fLLQcacdeeenkdisr,Face: 9
gLLMQbcdefffebbhtvj,fLLQcacdeeenkdisr,Face: 8
gLLAQbcedefftsxflor,fLLQcacdeeenkdisr,Face: 7
gLLAQacedeffnktakdr,fLLQcacdeeenkdisr,Face: 6
gLLAQccedeffqfifqjj,fLLQcacdeeenkdisr,Face: 5
gLvQQaefdeffnhqibrb,fLLQcacdeeenkdisr,Face: 4
gLLAQccdeeffpwvlucr,fLLQcacdeeenkdisr,Face: 3
gLLAQcedeeffhpveiqr,fLLQcacdeeenkdisr,Face: 2
gLAPPcbceeffudbjgak,hLALPkbccegfggdiggpicw,Edge: 10
gLLAQacedeffnktakdr,hLLLQkbdeggfgftvpmmgok,Edge: 11
gLLAQacedeffnktakdr,hLLAAkcedcffgghavntcxj,Edge: 11
gLLAQccedeffqfifqjj,hLLAAkbddeefggxvrxqrxr,Edge: 11
gLAPPcbceeffudbjgak,hLAPzkcbceefggudbknqqj,Edge: 11
gLAPPcbceeffudbjgak,hLALPkbccegffgdigsudnr,Edge: 11
gLLMQbcdefffebbhtvj,hLLAAkbdedffgglvagirqj,Edge: 11
gLLMQbcdefffebbpqks,hLLAAkbdedffgglvpgardw,Edge: 11
hLLLQkceffegggptmaqpgf,gLLMQbcdefffebbpqks,Face: 12
hLLAAkbdedffgglvpgardw,gLLMQbcdefffebbpqks,Face: 11
hLLAPkcddegfggucvucrkw,gLLMQbcdefffebbpqks,Face: 10
hLLLQkbcefgfggdftqqggc,gLLMQbcdefffebbpqks,Face: 9
hLLAPkbddefgggtvnlnvor,gLLMQbcdefffebbpqks,Face: 8
hvLAQkdedfgfggwvkhqeqv,gLLMQbcdefffebbpqks,Face: 7
hLvAQkbeffegggdpdeqlbo,gLLMQbcdefffebbpqks,Face: 6
hLLAMkbdedfgggevisliqp,gLLMQbcdefffebbpqks,Face: 5
hLLAPkccdegfggakvhfbjg,gLLMQbcdefffebbpqks,Face: 4
hLLLQkbddffgggarfprsrf,gLLMQbcdefffebbpqks,Face: 3
hLLAAkceddffgglasbmnhw,gLLMQbcdefffebbpqks,Face: 2
hLLLQkbddffgggewrdkfjs,gLLMQbcdefffebbpqks,Face: 1
hLLAPkcddefgggpfvqfvrk,gLLMQbcdefffebbhtvj,Face: 12
hLLAAkbdedffgglvagirqj,gLLMQbcdefffebbhtvj,Face: 11
hLLAPkbcdefgggebbmssvc,gLLMQbcdefffebbhtvj,Face: 10
hLvAQkbfefegggthpahqsf,gLLMQbcdefffebbhtvj,Face: 9
hvLAQkcdegfgfgjrcaitib,gLLMQbcdefffebbhtvj,Face: 8
hLLAPkbcedgfggtspfwssn,gLLMQbcdefffebbhtvj,Face: 7
hLvAQkbeffegggdpdeqlbo,gLLMQbcdefffebbhtvj,Face: 6
hLLAMkbdedfgggevaslimt,gLLMQbcdefffebbhtvj,Face: 5
hLLLQkbddfggfgarfpbjsb,gLLMQbcdefffebbhtvj,Face: 4
hLLAPkccdegfggakvhfbjg,gLLMQbcdefffebbhtvj,Face: 3
hLLAAkbcedffggtsakabak,gLLMQbcdefffebbhtvj,Face: 2
