id,oriented,tetrahedra
fLLQccecddelqccjn,1,5
gLLQPccddeffpfnouxj,1,6
gLLAQccedfefqfhjqwn,1,6
gLvQQcdcfeefhjnqhnj,1,6
gLLAQacedeffnktakdr,-1,6
gLAPPcbceeffudbjgak,-1,6
fLLQcacdeeenkdisr,1,5
hLALPkbccegfggdiggpicw,-1,7
hLLLQkbdeggfgftvpmmgok,-1,7
hLLMMkcddeffggacsuhoen,-1,7
hLvPQkccgeffgghnaxxbnb,-1,7
hLLAAkcedeefgghtvaqhqw,1,7
hLALPkbcbegfgghajomenw,-1,7
hLLAAkbddeefggajkthchn,-1,7
hLLAAkccdeefggawvhuvqw,-1,7
hLLAAkcedcffgghavntcxj,-1,7
hLLAAkbddeefggxvrxqrxr,-1,7
hLAPzkcbceefggudbknqqj,-1,7
hLLAAkacedefggnktlraqj,-1,7
hLALAkbcceefggluggrpqn,-1,7
hLLMAkccdefeggajvmmnxr,-1,7
hLALAkbcbeefggxanowxxr,-1,7
hLALAkbcbeefgghxjsbqhr,-1,7
hLALPkbccegffgdigsudnr,-1,7
hLLMAkcbedffggpnaruolw,-1,7
hLLAAkaeddefggnmadcfqn,1,7
hLLAMkacdefgfgnbaaxarj,-1,7
hLLAAkaeddefggjiddcfhn,-1,7
hLLMAkacdeffggjkackkqj,-1,7
hLLAAkacdeefggnkdirqaj,-1,7
hLLAMkcedefgfglhvahkjk,-1,7
hLLLQkcdefgggfawmatkjr,-1,7
hLLAAkbdedffgglvagirqj,-1,7
hLLAAkbdedffgglvpgardw,-1,7
hLLMPkacdeffggnbacjjer,-1,7
hLLAPkaedeffggnapqfwpr,-1,7
hLLPAkcdeffegglwahtlhw,-1,7
hLAwAkcbcdffggaakhjcaw,-1,7
hLLAMkbcceffgglordaouj,-1,7
hLLAAkbdddffggxvrrovmk,-1,7
gLLMQbcdefffebbpqks,-1,6
gLLMQbcdefffebbhtvj,1,6
gLLAQbcedefftsxflor,1,6
gLLAQccedeffqfifqjj,-1,6
gLvQQaefdeffnhqibrb,1,6
gLLAQccdeeffpwvlucr,-1,6
gLLAQcedeeffhpveiqr,-1,6
hLLLQkceffegggptmaqpgf,-1,7
hLLAPkcddegfggucvucrkw,-1,7
hLLLQkbcefgfggdftqqggc,-1,7
hLLAPkbddefgggtvnlnvor,-1,7
hvLAQkdedfgfggwvkhqeqv,-1,7
