id,oriented,tetrahedra
fLLQccecddephrwjn,1,5
gLLQPccddeffujnvuxj,-1,6
gLvQQcdcfeefhjnqhrk,-1,6
gLALQbcbeeffhxjgbxr,1,6
gLLAQacedeffnktikdk,1,6
gLAPPcbceeffudbkgaj,-1,6
fLLQcacdeeenkdxjn,1,5
hLALPkbccegfggdiggpusk,-1,7
hLLMMkcddeffggafvmxjqj,-1,7
hLLMMkcddeffggakwueoen,-1,7
hLALPkbcbegfgghajomxrs,-1,7
hLLAAkcedeefgghlvaehqw,-1,7
hLLAAkbcdeefggxbraarhs,-1,7
hLLAAkccdeefggakveuvqw,-1,7
hLLAAkbddeefgganrluchn,-1,7
hLLAAkcedcffgghavnlcxw,-1,7
hLLAAkbddeefggxvrdtcqw,-1,7
hLALPkbccegffgdigsudjn,-1,7
hLLMAkcbedffggpjanuolw,-1,7
hLLAAkaeddefggjiadcfqn,-1,7
hLLAMkacdefgfgjbaaxarn,-1,7
hLLAAkaeddefggnmddcfhn,-1,7
hLAwAkcbcdffgglegpvchn,-1,7
hLLAMkaceeffggnktxxxnn,-1,7
hLALPkbcbegfggxhjsadrs,0,7
hLLMMkccdefgfgajvmmqnw,-1,7
hLAwAkbcbdffggxhjaschr,-1,7
hLALAkbcbeefgghxjskqhn,-1,7
hLLAMkcedefgfgqpvtagrs,1,7
hLvQAkadfeefggjxqxvvhn,-1,7
hLLAAkacdeefggnkdxnian,-1,7
hLLLQkcdfgeeggawqudnrn,-1,7
hLLAAkbdedffgglvagmfdk,-1,7
hLLAMkbdedffgglvugafqr,1,7
hLLAPkaedeffggnapqnwpk,-1,7
hLLMMkcbeeffggajxqicnr,-1,7
hLLPAkcdeffegglwapuluj,-1,7
hLAwAkcbcdffggaakhwcaj,-1,7
hLLAAkbdddffggxvrrobmj,-1,7
hLLAMkbcceffggtondaouj,-1,7
gLLMQbcdefffebbmqjw,1,6
gLLMQbcdefffebbmtvr,-1,6
gLLAQccdeeffhwvlqcr,1,6
gLLAQccedeffqfmnqsj,1,6
gLLAQbddeeffxwrqxbn,-1,6
gLLAQccdeeffufveikw,-1,6
gLvQQaefdeffnuqhfwj,1,6
hLLMMkbceefgggebdxaswr,1,7
hLLAPkbcdefgggebbtcwwg,1,7
hvLAQkcdegfgfgbrchiqir,-1,7
hLLLQkceffegggpteaqpgg,-1,7
hLLLQkbcfgegfgebpphfrc,1,7
hLvAQkbefegfggexehxicr,-1,7
hLLAMkbdedfgggevdslpux,-1,7
hLLAAkbcedffggtcprawmw,-1,7
hLLLQkbddfggfgarfpjkkf,-1,7
hLLLQkbddfggfgdsrdfjns,-1,7
hLLAPkccdegfggakvhcbkg,-1,7
hvLAQkcdegfgfgbrcaitij,-1,7
hLLAPkcddegfgglcvpjkws,-1,7
hLLLQkbdeefgggxwdxxkoc,-1,7
hLLAPkcddefgggpfvqfvks,-1,7
hLvAQkbfefegggthdahlwr,-1,7
hLLAMkbdedfgggevdslmmt,-1,7
hLLAAkbcedffgglkakabak,-1,7
hLLLQkbdfeggfgxvmmpvks,-1,7
hLLLQkbddfggfgarfpbnkb,-1,7
hLLAAkbcedffggtbafanpn,-1,7
hLvAQkadfefgggjeqckjjw,-1,7
hLLAPkacdegfggjkxxaako,1,7
hLLAMkcddeffgghrvahwhs,1,7
hLLAMkbeedffggxadkasnk,-1,7
hLLMAkbddeefgghwrhhgqj,-1,7
hLLLQkceffegfglueaxmwn,1,7
hLLLQkadegfgfgjmxbnrkb,-1,7
hLLLQkccffggegqfaxxons,1,7
hLLAPkbddefgfgxjrxrrjn,1,7
hLLMMkccdeffggajvqevdj,-1,7
hLLMMkccdeffggajvihkxk,-1,7
hLLAPkbecdgfggdassjksg,-1,7
hLLAAkccedffgglnmnunds,-1,7
hLLMMkbceefgggebdxaofj,-1,7
hLLAAkcddeffggtrvalrhn,-1,7
hLLAPkacdefgggjkexalkb,-1,7
hLLLQkacfgegfgjkwwojvg,-1,7
hLvAQkaeffegggjuqrcjjw,-1,7
hLLAMkbeedffgghhpkabnk,-1,7
hLLAAkbddeefgghcrlunxk,-1,7
hLLLQkbedeffggaxfuxbss,-1,7
hLLAAkccdeffggpkvqajdj,-1,7
hLLPPkcdefefggakeddkwj,-1,7
hLLAAkbcedffgglkafabik,-1,7
hLwPMkacdeffggjnxojjxk,-1,7
hLLPAkccdfefgghwgaxrhj,-1,7
hLLAMkbeedffggtaeoawkk,-1,7
hLLAAkcddeffgghcrahoan,-1,7
hLLLQkbcfgegfgebpmegcj,1,7
hLvAQkbeffgefgdahexhcj,1,7
hLLAAkcedeffggplvauihj,1,7
hLvAQkaefgefggjtxbrkjr,-1,7
hLLAMkcdeeffggtgpuiojr,1,7
hLvAQkadfefgggjpujwjvv,-1,7
hLLAMkcedeffggtavuijwk,-1,7
hLvAQkadffegggjuqjcjjv,-1,7
hLLLQkaedfggfgnaerrkkf,-1,7
gLLMQbeefffeelxqaqx,-1,6
hLLAMkbedeffggxxkxebnr,-1,7
hLLLQkbefefgggxxqxehvo,-1,7
