target,source,label
gLLQPccddeffujnvuxn,fLLQccecddephrwjr,Face: 10
gLvQQcdcfeefhjrqhrk,fLLQccecddephrwjr,Face: 9
gLALQbcbeeffhxwgbxr,fLLQccecddephrwjr,Face: 8
gLLAQacedeffjktikdk,fLLQccecddephrwjr,Face: 7
gLAPPbcceeffeiksvtj,fLLQccecddephrwjr,Face: 6
fLLQcacdeeejkdxjn,gLLQPccddeffujnvuxn,Edge: 9
hLALPkbccefgggtpkkxlvo,gLLQPccddeffujnvuxn,Face: 12
hLLMMkcddeffggafvmxjqw,gLLQPccddeffujnvuxn,Face: 11
hLALPkbccefgggtpkkilrj,gLLQPccddeffujnvuxn,Face: 10
hLLMMkcddeffggakwueoej,gLLQPccddeffujnvuxn,Face: 9
hLALPkbcbegfgghawomxrs,gLLQPccddeffujnvuxn,Face: 8
hLLAAkcedeefgghlvaehqj,gLLQPccddeffujnvuxn,Face: 7
hLLAAkbcdeefggxbraarhw,gLLQPccddeffujnvuxn,Face: 6
hLLAAkccdeefggakveuvqs,gLLQPccddeffujnvuxn,Face: 4
hLLAAkbddeefgganrluchr,gLLQPccddeffujnvuxn,Face: 3
hLLAAkcedcffgghavrlcxw,gLLQPccddeffujnvuxn,Face: 2
hLLAAkbddeefggxvrdtcqj,gLLQPccddeffujnvuxn,Face: 1
hLALPkbccefgfgtpkrlujw,gLvQQcdcfeefhjrqhrk,Face: 12
hLLMAkcbedffggpjanuolj,gLvQQcdcfeefhjrqhrk,Face: 11
hLLAAkaeddefggjiadcfqj,gLvQQcdcfeefhjrqhrk,Face: 7
hLLAMkacdefgfgjbaaxakn,gLvQQcdcfeefhjrqhrk,Face: 4
hLLAAkaeddefggnmddcfhr,gLvQQcdcfeefhjrqhrk,Face: 3
hLAwAkcbcdffggpigdgbqw,gLALQbcbeeffhxwgbxr,Face: 12
hLLAMkaceeffggjktxxxnn,gLALQbcbeeffhxwgbxr,Face: 11
hLALPkbcbegfggxhnsadrs,gLALQbcbeeffhxwgbxr,Face: 7
hLLMMkccdefgfgajvmmqns,gLALQbcbeeffhxwgbxr,Face: 4
hLAwAkbcbdffggxhnaschr,gLALQbcbeeffhxwgbxr,Face: 2
hLALAkbcbeefgghxwskqhn,gLALQbcbeeffhxwgbxr,Face: 1
fLLQcacdeeejkdxjn,gLLAQacedeffjktikdk,Edge: 10
hLLMMkcddeffggafvmxjqw,gLLAQacedeffjktikdk,Face: 12
hLLAMkcedefgfgqpvtagrw,gLLAQacedeffjktikdk,Face: 11
hLvQAkadfeefggjqqxjfaj,gLLAQacedeffjktikdk,Face: 10
hLLAAkacdeefggjkdxnian,gLLAQacedeffjktikdk,Face: 9
hLLLQkcdfgeeggawqudrrn,gLLAQacedeffjktikdk,Face: 7
hLLAAkbdedffggtvagmfdk,gLLAQacedeffjktikdk,Face: 6
hLLAMkbdedffggtvugafqr,gLLAQacedeffjktikdk,Face: 4
hLLAPkaedeffggjapqnwpk,gLLAQacedeffjktikdk,Face: 3
hLLAAkcedcffgghavrlcxw,gLLAQacedeffjktikdk,Face: 2
hLLMMkcbeeffgganxqicnr,gLLAQacedeffjktikdk,Face: 1
hLALPkbccefgggtpkkxlvo,gLAPPbcceeffeiksvtj,Face: 12
hLALPkbccefgfgtpkrlujw,gLAPPbcceeffeiksvtj,Face: 11
hLAwAkcbcdffggpigdgbqw,gLAPPbcceeffeiksvtj,Face: 10
hLLPAkcdeffeggtwapuluj,gLAPPbcceeffeiksvtj,Face: 9
hLALPkbccefgggtpkkilrj,gLAPPbcceeffeiksvtj,Face: 8
hLLPAkcdeffegguwuxxhmk,gLAPPbcceeffeiksvtj,Face: 7
hLAwAkcbcdffggaikhwcaj,gLAPPbcceeffeiksvtj,Face: 5
hLLAMkcceeffggakxhdckj,gLAPPbcceeffeiksvtj,Face: 4
