id,oriented,tetrahedra
fLMPcbcdeeedxqxbw,1,5
gLLAQbcedffflsawxnk,-1,6
gLLAQbedefefxxrpduj,-1,6
gLLAQbcedffflsakqrb,-1,6
gLLAQccdefffqfkiqnc,1,6
gLLAQbcedffflsajhgv,0,6
gLLAQbcedffflsajhvr,0,6
hLLLQkcddfgfggukflbkff,-1,7
hLLLQkcdfefggghsapqjkk,-1,7
hLLAPkbdedfgggeviskfwo,-1,7
hLLPMkcdfeeggghsippscs,-1,7
hLLAPkbdedgfggevesfvvo,-1,7
hLLLQkbddfgfggevwhkjjr,-1,7
hLLzQkcdefgfggqwdxecoc,-1,7
hLLLQkcddefggghsvpbkkr,-1,7
hLLAMkbcedfgggajhfthah,-1,7
hLLAMkbcedfgggajhbqhpt,-1,7
hLLAMkcddefgggacvdxqep,-1,7
hLLLQkbedeffggxxftxror,-1,7
hLLLQkbdegegfgevapewko,-1,7
hLLMAkccdfefggtnnqtglw,-1,7
hLLMAkbcdeffgghokltgtk,-1,7
hLLLQkcdfgfegghsxulsro,-1,7
hLLAMkcddefgggafvqxqti,-1,7
hLLAMkcedcfgggahvshhqx,-1,7
hLLLQkbedegfggtmfmugbw,-1,7
hLLLQkbdgfegfgevipebbw,-1,7
hLLLQkcdegffgghslmlboo,-1,7
hLLLQkbdfgefggevdpevco,-1,7
hLLAPkbdedgfggevasfsjg,-1,7
hLLLQkbdfeggfgxsmaukfo,-1,7
hLLzQkcdegffgghsxtlkkg,-1,7
hLLAMkcddefgggacvpxhum,-1,7
hLLAMkbcedfgggajhfdhie,-1,7
hLLAMkbeedffggxxifiron,-1,7
hLLAMkbcedfgggajhvhhqx,-1,7
hLLLQkbdfegfgghgdupsno,0,7
hLLAPkbddegfggxvjxgfvw,0,7
hLLLQkcdeegfgghsdpdbbg,-1,7
hLLzQkcdefgfgghsaiqknj,1,7
hLLAMkbcdefgggakcmqxlm,-1,7
hLLAMkcddefgggarvqqqxh,-1,7
hLLLQkbeeegfggxxqxqxkw,-1,7
hLLLQkbdfgegfghvdhmkkc,-1,7
hLLLQkbdfgegfgekdhabbc,0,7
hLLLQkcdfegfggtstpabgs,-1,7
hLLAMkcddefgggacvxxtld,-1,7
hLLAMkbcedfgggajhfxhtq,0,7
hLLLQkbedeffggthfdxgor,-1,7
hLLLQkbddffgggxwrdnngb,-1,7
hLLLQkcdegffggtsaulkro,-1,7
hLLLQkbdgefgfgdwthxkkg,0,7
hLLAMkbcedfgggajhfxhat,0,7
hLLAMkcddefgggacvxxdpe,-1,7
hLLLQkbedeffggdqfpxcor,-1,7
gLLMQacdefffnkanjnv,-1,6
gLLAQbddeeffhoklhcw,-1,6
gLLMQacdefffnkankkg,1,6
gLLAQbcdeefftsreeor,1,6
hLLAMkcddeffggurvuqfur,-1,7
hLLPMkcdefffggukuqikok,-1,7
hLLAPkacdegfggnkaiilcw,-1,7
hLLLQkacfgefggnkggvrrc,-1,7
hLvPQkafegefggjixgcscw,-1,7
hLLMAkccdfefggpkvutcqn,-1,7
hLLAAkccdeefggqvvuqkqn,-1,7
hLLAPkacdefgggnkadlqor,-1,7
hLLAAkccdeffggivvxtjlr,-1,7
hLLAMkcddeffggprvudcuj,-1,7
hLvAQkaefegfggntqfsfwk,-1,7
hLLLQkbdeeggfgdopimojj,-1,7
hLvPQkafegefggjexgcrcv,-1,7
hLLAAkbddeefggxsfqlwqw,-1,7
hLLMMkacdfefggnkaofkqw,-1,7
hLLMAkccdfefggtbvxtgdn,-1,7
hLLLQkbdefffggxvmudnnr,1,7
hLLAAkccdeefggpwvlqkqn,1,7
hLLMAkccdfefgglnvxtgdn,-1,7
hLLMMkacdfefggnkarrsxn,-1,7
hLLAPkacdegfggnkaqllgb,1,7
hLLAAkbcedefggtsxfaoxj,1,7
gLLPQcdcfeffhsnatnw,1,6
gLLPQcdcfeffhsnadkg,1,6
gLLPQaceffefnkqgjvk,1,6
hLLPAkcdceffgghsnelwxk,1,7
hLLAAkcedeefgghpvdiqxj,-1,7
hLLAAkccdeefggufveucxj,-1,7
hLLAAkccedefggqfmfqjhn,-1,7
hLALPkcbcefgggudbseasr,-1,7
hLALPkcbbegfgghhkohmrc,-1,7
hLLAAkccdeefggifveicxj,-1,7
hLLAAkccedefggqfiwqsxr,1,7
hLLPAkcdceffgghsnpebuw,1,7
hLvPQkccefggfghnphxbwb,1,7
hLALPkcbcefgggudbsiavr,-1,7
hLALPkcbbegfgghhkohegk,-1,7
hLvAQkadfgegfgnaqcwfbw,1,7
hLLAPkbdedfgggdwavfbbf,0,7
hLLPPkcdfeffggtklptkjn,-1,7
hLLPAkbdedefggdwdflrxj,1,7
hLLLQkbdegeggfdwiplssj,-1,7
hLLzQkaceeffggnkqbkwqw,-1,7
gLAPPbcbeeffhhjjsaw,1,6
gLLAQbceeefftsaiixj,1,6
gLAPPbcbeeffhhjcsaj,1,6
gLLAQbddeeffxrrxlgr,1,6
hLAwAkcbcdffggpmgunkar,-1,7
hLLAAkbdcdffggevssjfpj,-1,7
hLAwAkcbbdffgghhkhschn,1,7
hLAPzkbcbeefgghhjcrqqj,1,7
hLALPkbccffgggdigpxdxs,-1,7
hLLAAkccedefggqgmfqfhs,-1,7
hLLMMkbcdefgfgdfbxuqwn,-1,7
hLLMAkbdedefggpgdfmwhk,-1,7
hLLAPkacedfgggnktelpkb,1,7
hLLAAkceddefggtqvnecxj,-1,7
hLLAMkbddefgfgtvnlhhwk,1,7
hLAwAkcbcdffggpmguokan,-1,7
hLLAAkbdcdffggevsskfpk,-1,7
hLAwAkcbbdffgghhkhvchr,1,7
hLALPkcbbegffghhkwxhwk,1,7
hLLAPkbdedfggglvdgwkfo,-1,7
hLLLQkcddfgfgghsfaggcc,-1,7
hLLPAkcdeffeggqcieaahj,-1,7
hLLAMkccdeffggivvxubxr,-1,7
hLLLQkbefefgfghhmmipgj,1,7
hLLMAkbdedffggdvdfljdw,1,7
hLLAMkcddeffggprvedrhr,1,7
gLLPQcdcfeefqcnhhrn,1,6
hLAvQkbccegffgtugreenj,-1,7
hLLMAkacedffggnktwvbxw,1,7
hLLAMkacdefgfgnsxaxqnw,1,7
