target,source,label
gLLAQbcedffflsajhwb,fLMPcbcdeeehhhhvc,Face: 10
gLLAQbcedffflsasqgw,fLMPcbcdeeehhhhvc,Face: 6
gLLAQbcedffflsqsxjo,fLMPcbcdeeehhhhvc,Face: 2
hLLLQkbdfgefggevdpifco,gLLAQbcedffflsajhwb,Face: 12
hLLLQkbdgfefggtvqxtgro,gLLAQbcedffflsajhwb,Face: 11
hLLAPkbddegfggevjqfvvo,gLLAQbcedffflsajhwb,Face: 10
hLLLQkcdegffggqsitlkkg,gLLAQbcedffflsajhwb,Face: 9
hLLLQkbdfgegfgevmpefsk,gLLAQbcedffflsajhwb,Face: 8
hLLLQkbdegefggevmpesko,gLLAQbcedffflsajhwb,Face: 7
hLLLQkbdgfefggtvxxtgcw,gLLAQbcedffflsajhwb,Face: 6
hLLLQkcdegffgghshulkro,gLLAQbcedffflsajhwb,Face: 5
hLLAMkbcedfgggajhfhhpt,gLLAQbcedffflsajhwb,Face: 4
hLLAMkcddefgggacvxxhit,gLLAQbcedffflsajhwb,Face: 3
hLLLQkbedeffgghqftxnor,gLLAQbcedffflsajhwb,Face: 2
hLLAMkbcedfgggajhfxhxh,gLLAQbcedffflsajhwb,Face: 1
hLLLQkbdfgefggevdpifco,gLLAQbcedffflsasqgw,Face: 12
hLLLQkbdfgegfgtvqhtwkw,gLLAQbcedffflsasqgw,Face: 11
hLLAPkbddegfggevjqfvvo,gLLAQbcedffflsasqgw,Face: 10
hLLLQkcdegffgghshulkro,gLLAQbcedffflsasqgw,Face: 9
hLLLQkbdefegggevauewow,gLLAQbcedffflsasqgw,Face: 8
hLLLQkbdgfefggeviuerrw,gLLAQbcedffflsasqgw,Face: 7
hLLzQkcdegffgghsmdlcff,gLLAQbcedffflsasqgw,Face: 6
hLLLQkcdfgffgghsxulcrs,gLLAQbcedffflsasqgw,Face: 5
hLLAMkbcedfgggajhjhhha,gLLAQbcedffflsasqgw,Face: 4
hLLAMkcddefgggacvqxhld,gLLAQbcedffflsasqgw,Face: 3
hLLLQkbedeffggxxfixcor,gLLAQbcedffflsasqgw,Face: 2
hLLAMkbcedfgggajhfhhpt,gLLAQbcedffflsasqgw,Face: 1
hLLLQkbdfgegfgevmpefsk,gLLAQbcedffflsqsxjo,Face: 12
hLLLQkbdegefggevmpesko,gLLAQbcedffflsqsxjo,Face: 11
hLLLQkbdegefggevmpesko,gLLAQbcedffflsqsxjo,Face: 10
hLLLQkbdfgegfgevmpefsk,gLLAQbcedffflsqsxjo,Face: 9
hLLLQkcdefggfghshdmvgj,gLLAQbcedffflsqsxjo,Face: 8
hLLPPkcdeffggghstelrsv,gLLAQbcedffflsqsxjo,Face: 7
hLLAMkcddefgggacvqqqqa,gLLAQbcedffflsqsxjo,Face: 4
hLLAMkbcedfgggajhjqxdu,gLLAQbcedffflsqsxjo,Face: 3
hLLLQkcdggegffqsqaqjfr,gLLAQbcedffflsqsxjo,Face: 2
gLLAQbcedffflsasqgw,hLLLQkbdfgefggevdpifco,Edge: 11
gLLAQbcdeeffhgrxxbr,hLLLQkbdgfefggtvqxtgro,Edge: 9
gLLAQbcedffflsasqgw,hLLAPkbddegfggevjqfvvo,Edge: 11
gLLAQbcedffflsqsxjo,hLLLQkbdfgegfgevmpefsk,Edge: 10
gLLAQbcedffflsqsxjo,hLLLQkbdegefggevmpesko,Edge: 10
gLLAQbcdeeffxsrttsr,hLLLQkbdgfefggtvxxtgcw,Edge: 9
gLLAQbcedffflsasqgw,hLLLQkcdegffgghshulkro,Edge: 9
gLLAQbcedffflsasqgw,hLLAMkbcedfgggajhfhhpt,Edge: 10
gLLAQbcdeeffhgrxxbr,hLLLQkbedeffgghqftxnor,Edge: 11
gLLAQbcdeeffxsrttsr,hLLLQkbedeffgghqftxnor,Edge: 10
gLLAQbcdeeffxsrttsr,hLLLQkbdfgegfgtvqhtwkw,Edge: 9
gLLAQbcdeeffxsrttsr,hLLLQkbedeffggxxfixcor,Edge: 11
hLLMAkccdfefggdgvxtgdn,gLLAQbcdeeffhgrxxbr,Face: 12
hLLMMkbcdeffgglsfiinak,gLLAQbcdeeffhgrxxbr,Face: 11
hLvPQkafegefggjmxgcscr,gLLAQbcdeeffhgrxxbr,Face: 10
hLLLQkbedeffgghqftxnor,gLLAQbcdeeffhgrxxbr,Face: 5
