target,source,label
dLQacccjgnb,cPcbbbdxm,Face: 4
eLAkaccddngbqw,dLQacccjgnb,Face: 4
fLLQcacdeeenkadnj,eLAkaccddngbqw,Face: 8
gLLQPccddefftnnruhj,fLLQcacdeeenkadnj,Face: 5
gLLAQccdeeffakvhqkw,fLLQcacdeeenkadnj,Face: 1
fLAMcbccdeehhnaqw,gLLQPccddefftnnruhj,Edge: 8
hLLAAkbcedefggasxfajxr,gLLQPccddefftnnruhj,Face: 5
fLLQcbcedeelsajdd,gLLAQccdeeffakvhqkw,Edge: 12
hLLAMkbeedffggaapkabkk,gLLAQccdeeffakvhqkw,Face: 7
gLLAQbceeefftkamixj,fLAMcbccdeehhnaqw,Face: 4
iLLAMMcbeedffghhaaekawchk,hLLAAkbcedefggasxfajxr,Face: 7
eLMkbcdddahxpi,fLLQcbcedeelsajdd,Edge: 6
iLLAMMcbeedffghhaaekawchk,hLLAMkbeedffggaapkabkk,Face: 7
iLLLMQcbedgffghhaafhssojk,hLLAMkbeedffggaapkabkk,Face: 1
hLLAAkccedefggqgifqjhn,gLLAQbceeefftkamixj,Face: 6
hLLAAkbcedefggajhfashn,gLLAQbceeefftkamixj,Face: 3
hLLAMkbeedffggaapkabkk,iLLAMMcbeedffghhaaekawchk,Edge: 11
jLLLMMQbedghhighiaafhjjhjjn,iLLAMMcbeedffghhaaekawchk,Face: 1
hLLAMkbcedfggglsajaadd,iLLLMQcbedgffghhaafhssojk,Edge: 16
jLLLMAQcdgfefhiiiasaassoamm,iLLLMQcbedgffghhaafhssojk,Face: 9
iLLLPQcceffheghhthddansrr,hLLAAkbcedefggajhfashn,Face: 7
kLLLwMQkbedgigjhiijaafhaohfiis,jLLLMMQbedghhighiaafhjjhjjn,Face: 7
gLMzQbcdefffaaahxet,hLLAMkbcedfggglsajaadd,Edge: 8
kLLLwMQkbedgigjhiijaafhaohfiis,jLLLMAQcdgfefhiiiasaassoamm,Face: 7
kLLLwMQkbedgigjhhjjaafhaoajkss,jLLLMAQcdgfefhiiiasaassoamm,Face: 2
jLLLAQPbegefghgiiaaxdxsnchs,iLLLPQcceffheghhthddansrr,Face: 5
jLLLMQPbedfgghgiiaafxssfoxr,iLLLPQcceffheghhthddansrr,Face: 2
