target,source,label
dLQbcccdegj,cPcbbbiht,Face: 4
eLPkbcdddmbkgw,dLQbcccdegj,Face: 4
eLAkbccddhhnqw,dLQbcccdegj,Face: 1
fvPQccdedeefokvss,eLPkbcdddmbkgw,Face: 6
fLLQcbcedeedwufmd,eLPkbcdddmbkgw,Face: 5
fLLQcbeddeehhjved,eLPkbcdddmbkgw,Face: 2
fLLQcacdeeenkaicr,eLAkbccddhhnqw,Face: 8
fLLQcaddeeejuaplf,eLAkbccddhhnqw,Face: 6
gvLQQcedffefgvbulwq,fvPQccdedeefokvss,Face: 10
gLLPQcdeffefqkaxxqw,fvPQccdedeefokvss,Face: 5
gLLPQcdfeeffashapqn,fvPQccdedeefokvss,Face: 2
gLLPQccdefffljnedsr,fLLQcbcedeedwufmd,Face: 10
gLLAQbdeefffevdhauw,fLLQcbcedeedwufmd,Face: 7
gLLAQccedeffqgifqfk,fLLQcbcedeedwufmd,Face: 6
gLLPQcdfeeffaklpetk,fLLQcbcedeedwufmd,Face: 2
gLLAQbeddfffhhjvenc,fLLQcbeddeehhjved,Face: 2
gLLQPcdcdefftgrfmhk,fLLQcacdeeenkaicr,Face: 6
gLLAQbcedeffasxfaor,fLLQcacdeeenkaicr,Face: 4
gLLAQccedeffqgifqfk,fLLQcaddeeejuaplf,Face: 10
gLLAQbdceefftvnmtrs,fLLQcaddeeejuaplf,Face: 8
gLLPQccdefffljnedsr,fLLQcaddeeejuaplf,Face: 6
gLLAQbcedeffajhfaok,fLLQcaddeeejuaplf,Face: 3
hLLzQkcdefggfghraahoso,gvLQQcedffefgvbulwq,Face: 10
hLLPPkcdeffggghsaqmrcg,gLLPQcdeffefqkaxxqw,Face: 12
hLLAMkcedefgggulvuajvc,gLLPQcdeffefqkaxxqw,Face: 8
hLLLQkcdfgfggfhslxqgvf,gLLPQcdeffefqkaxxqw,Face: 6
hLLLQkbcefggfglsepxvsv,gLLPQcdeffefqkaxxqw,Face: 5
hLLLQkbcfgegfglspatcoc,gLLPQcdeffefqkaxxqw,Face: 4
hLLLQkbedfgfgghasmmggf,gLLPQcdeffefqkaxxqw,Face: 1
fLLQcbeddeeahokll,gLLPQcdfeeffashapqn,Edge: 12
hLLAMkcedefggglhvaxkkk,gLLPQcdfeeffashapqn,Face: 7
hLLLQkbedgffggaafheonj,gLLPQcdfeeffashapqn,Face: 2
fLLQcaddeeejuaplf,gLLPQccdefffljnedsr,Edge: 12
hLLAAkccedffggljinanlr,gLLPQccdefffljnedsr,Face: 11
hLLAPkccedfgggpvarnfkv,gLLPQccdefffljnedsr,Face: 3
hLLPAkccdeffggtkfpmbuw,gLLPQccdefffljnedsr,Face: 2
hLvAQkbeffegggeaeaumvv,gLLAQbdeefffevdhauw,Face: 12
hLLAPkbecdgfggeirfgrkw,gLLAQbdeefffevdhauw,Face: 11
hLLLQkbcefggfglsepxvsv,gLLAQbdeefffevdhauw,Face: 8
hLLAMkcedefgggulvuajvc,gLLAQbdeefffevdhauw,Face: 6
hLLPPkceefefgglupueenk,gLLAQbdeefffevdhauw,Face: 5
hLLAPkbdeegfgghgatasrf,gLLAQbdeefffevdhauw,Face: 2
hLLAAkcddeffgglkwatrqk,gLLAQbdeefffevdhauw,Face: 1
fLLQcaddeeejuaplf,gLLAQccedeffqgifqfk,Edge: 12
hLLAAkccedffggljinanlr,gLLAQccedeffqgifqfk,Face: 12
hLLAPkbecdgfggeirfgrkw,gLLAQccedeffqgifqfk,Face: 9
hLLAPkccedfgggpvarnfkv,gLLAQccedeffqgifqfk,Face: 3
fLLQcbcdeeeajgede,gLLPQcdfeeffaklpetk,Edge: 12
hLLLQkbcefggfgasdulcsv,gLLPQcdfeeffaklpetk,Face: 9
hLLAPkcdeegfgghsmaaoff,gLLPQcdfeeffaklpetk,Face: 2
hLLAMkbeddfggghhjvehie,gLLAQbeddfffhhjvenc,Face: 2
fLLQccecddehqrwwn,gLLQPcdcdefftgrfmhk,Edge: 8
hLLAAkccdeefggakvhqvqw,gLLQPcdcdefftgrfmhk,Face: 9
fLLQcbcdeeeajklla,gLLAQbcedeffasxfaor,Edge: 12
hLLAMkbeedffggaaekawkk,gLLAQbcedeffasxfaor,Face: 8
fLLQcacdedejbqqww,gLLAQbdceefftvnmtrs,Edge: 8
hLLPAkccdeffggtkfpmbuw,gLLAQbdceefftvnmtrs,Face: 11
hLLAPkccdegffgakvhkvns,gLLAQbdceefftvnmtrs,Face: 9
fLLQcbcdeeeajgede,gLLAQbcedeffajhfaok,Edge: 12
hLLAMkaddefgggjuapvall,gLLAQbcedeffajhfaok,Face: 10
iLLLMQcccfghhfghqfaabrfwn,hLLzQkcdefggfghraahoso,Face: 12
iLLvQQcccgehfghhqfpqvfcjs,hLLPPkcdeffggghsaqmrcg,Face: 14
iLLLAQcbcggehhhgtsqatqxhv,hLLPPkcdeffggghsaqmrcg,Face: 12
iLLLPQcbcfefhghhlsplgsvfk,hLLPPkcdeffggghsaqmrcg,Face: 10
iLLLAQcbcgfehhghlsmptitrp,hLLPPkcdeffggghsaqmrcg,Face: 9
iLLLMQcccfghhfghqfaabrfwn,hLLPPkcdeffggghsaqmrcg,Face: 5
gLLAQbdeefffevdhauw,hLLAMkcedefgggulvuajvc,Edge: 10
iLLvQQcccgehfghhqfpqvfcjs,hLLAMkcedefgggulvuajvc,Face: 14
iLLLAQcbdfefgghhhgiqijkej,hLLAMkcedefgggulvuajvc,Face: 13
iLLAzQcbdeefghhhtsedagdxx,hLLAMkcedefgggulvuajvc,Face: 10
iLLAzQccedeghghhluvpaqkul,hLLAMkcedefgggulvuajvc,Face: 9
iLLALQccdeefghhhtgpuocngs,hLLAMkcedefgggulvuajvc,Face: 8
iLLAwQcbdeefhghhevdhaucpp,hLLAMkcedefgggulvuajvc,Face: 7
iLLAwQcbdeefhghhxvuxalcpi,hLLAMkcedefgggulvuajvc,Face: 5
iLLLAQcccffegghhqfmhqvvpk,hLLAMkcedefgggulvuajvc,Face: 4
iLLwPQcbdehfghghxvaabscjf,hLLAMkcedefgggulvuajvc,Face: 2
iLLLAQcbcggehhhgtspathahv,hLLLQkcdfgfggfhslxqgvf,Face: 14
iLLLAQcccefghghhtndialklq,hLLLQkcdfgfggfhslxqgvf,Face: 9
iLLLMQcbcgfghhhglsmakjvcj,hLLLQkcdfgfggfhslxqgvf,Face: 8
iLLPzQccdeffgghhhsalqccej,hLLLQkcdfgfggfhslxqgvf,Face: 4
gLLAQbdeefffevdhauw,hLLLQkbcefggfglsepxvsv,Edge: 10
iLLLPQcbcfefhghhlsplgsvfk,hLLLQkbcefggfglsepxvsv,Face: 14
iLLAzQccedeghghhluvpaqkul,hLLLQkbcefggfglsepxvsv,Face: 10
iLLLAQcccefghghhtndialklq,hLLLQkbcefggfglsepxvsv,Face: 8
iLLLPQcbddhgfhghevfcoofof,hLLLQkbcefggfglsepxvsv,Face: 6
iLLMLQcbcefhghghasxmjffso,hLLLQkbcefggfglsepxvsv,Face: 4
iLLwPQcbdehfghghxvaabscjf,hLLLQkbcefggfglsepxvsv,Face: 3
iLwwPQcacefghhghngqseledk,hLLLQkbcefggfglsepxvsv,Face: 2
iLLMLQcbcefghghhajhefjfos,hLLLQkbcefggfglsepxvsv,Face: 1
iLLLAQcbcgfehhghlsmptitrp,hLLLQkbcfgegfglspatcoc,Face: 14
iLLALQccdeefghhhtgpuocngs,hLLLQkbcfgegfglspatcoc,Face: 10
iLLLMQcbcgfghhhglsmakjvcj,hLLLQkbcfgegfglspatcoc,Face: 8
iLLLPQcbddfghghhevfkknogg,hLLLQkbcfgegfglspatcoc,Face: 6
iLLMLQcbcefghhghasxmsjfss,hLLLQkbcfgegfglspatcoc,Face: 4
iLLMLQcbcefghghhasxdfjfos,hLLLQkbcfgegfglspatcoc,Face: 3
iLLvQQccdfegfhhhacdpgrvcv,hLLLQkbcfgegfglspatcoc,Face: 2
iLwMLQcacefhghghngqjildpk,hLLLQkbcfgegfglspatcoc,Face: 1
iLLvQQcbefhgfhghaxpairvwb,hLLLQkbedfgfgghasmmggf,Face: 14
iLLvQQcbeegfhghhxaahaokvj,hLLLQkbedfgfgghasmmggf,Face: 10
iLLLPQcbddhgfhghevfcoofof,hLLLQkbedfgfgghasmmggf,Face: 7
iLLLPQcbddfghghhevfkknogg,hLLLQkbedfgfgghasmmggf,Face: 6
iLLLAQcbedgfhghhaafxhhvah,hLLLQkbedfgfgghasmmggf,Face: 2
gLLMQbeedfefahxwxqk,fLLQcbeddeeahokll,Face: 4
iLLLMQcccfgefhhhqfaanfjkk,hLLAMkcedefggglhvaxkkk,Face: 13
iLLLPQcbddfgfhhhhgfgnbfvw,hLLAMkcedefggglhvaxkkk,Face: 8
iLLAwQcbdeefhghhevdhaucpp,hLLAMkcedefggglhvaxkkk,Face: 7
iLLLMQcbcffghghharhtjcvjj,hLLAMkcedefggglhvaxkkk,Face: 5
iLLAwQcbdeefhghhxvuxalcpi,hLLAMkcedefggglhvaxkkk,Face: 4
iLLPLQcbcfehghghakaaosrkw,hLLAMkcedefggglhvaxkkk,Face: 1
iLLLMQccdgfhgfhhasaavcfoc,hLLLQkbedgffggaafheonj,Face: 14
iLLvQQcbeegfhghhaaqqxrkwg,hLLLQkbedgffggaafheonj,Face: 9
iLLLAQcbedgfhghhaafhmaota,hLLLQkbedgffggaafheonj,Face: 2
gLLAQccedeffqgifqfk,hLLAAkccedffggljinanlr,Edge: 10
iLLAMMcccedfgghhqfawdapws,hLLAAkccedffggljinanlr,Face: 9
iLLvQQccdefehhghtgmusrrjv,hLLAAkccedffggljinanlr,Face: 8
iLLALQcccedhgghhtnajanjau,hLLAAkccedffggljinanlr,Face: 3
gLLAQccedeffqgifqfk,hLLAPkccedfgggpvarnfkv,Edge: 14
iLLAMMcccedfgghhqfawdapws,hLLAPkccedfgggpvarnfkv,Face: 13
iLLALQcccedhgghhtnajanjau,hLLAPkccedfgggpvarnfkv,Face: 3
iLLAwQcccedfghhhlnanpedog,hLLAPkccedfgggpvarnfkv,Face: 2
gLLAQbdceefftvnmtrs,hLLPAkccdeffggtkfpmbuw,Edge: 14
iLLvQQccdefehhghtgmusrrjv,hLLPAkccdeffggtkfpmbuw,Face: 13
iLLLPQcbcfefhghhlsplgsvfk,hLvAQkbeffegggeaeaumvv,Face: 14
iLLvQQcccgehfghhqfpqvfcjs,hLvAQkbeffegggeaeaumvv,Face: 10
iLwLMQcacgefhhghjgjjgppbd,hLvAQkbeffegggeaeaumvv,Face: 8
iLLLMQcbcfefhghhebpugwvkw,hLvAQkbeffegggeaeaumvv,Face: 4
gLLAQccedeffqgifqfk,hLLAPkbecdgfggeirfgrkw,Edge: 10
iLLLAQcbdfefgghhhgiqijkej,hLLAPkbecdgfggeirfgrkw,Face: 13
iLLLPQcbcgehgfghtsmtrwjvs,hLLAPkbecdgfggeirfgrkw,Face: 11
iLLALQcbecdhgghheirfafoii,hLLAPkbecdgfggeirfgrkw,Face: 8
iLLAPMcbecdfgghhtpnfbwkhw,hLLAPkbecdgfggeirfgrkw,Face: 6
iLLAwQcccedfghhhlnanpedog,hLLAPkbecdgfggeirfgrkw,Face: 3
iLwLMQcacgefhhghjgjjgppbd,hLLPPkceefefgglupueenk,Face: 14
iLLLPQcbcgehgfghtsmtrwjvs,hLLPPkceefefgglupueenk,Face: 13
iLwwPQcacefghhghngqseledk,hLLPPkceefefgglupueenk,Face: 10
iLLAMPcbdeefgghhhgatdbkhs,hLLPPkceefefgglupueenk,Face: 7
iLLLMQccdeggffhhpcqhffnjk,hLLPPkceefefgglupueenk,Face: 6
iLLAMMcbdeeffghhtsedpwsaj,hLLPPkceefefgglupueenk,Face: 4
iLLLAQccefffghhhpatihgwko,hLLPPkceefefgglupueenk,Face: 3
iLLLAQccefffghhhlauapnwrj,hLLPPkceefefgglupueenk,Face: 2
iLLALQcbecdhgghheirfafoii,hLLAPkbdeegfgghgatasrf,Face: 13
iLLvQQcbeefhghgheaaxmgswb,hLLAPkbdeegfgghgatasrf,Face: 10
iLLAwQcbdeefhghhxvuxalcpi,hLLAPkbdeegfgghgatasrf,Face: 8
iLLAMPcbdeefgghhhgatdbkhs,hLLAPkbdeegfgghgatasrf,Face: 7
iLLAPPcbdeegfhhhevdhawuuu,hLLAPkbdeegfgghgatasrf,Face: 3
iLLALQcccedhgghhlnanegfau,hLLAPkbdeegfgghgatasrf,Face: 2
iLLLPQcbceffgghhdfeevkvjs,hLLAAkcddeffgglkwatrqk,Face: 14
iLLAPMcbecdfgghhtpnfbwkhw,hLLAAkcddeffgglkwatrqk,Face: 13
iLvAMQcadfegfhhhjaqcjsiae,hLLAAkcddeffgglkwatrqk,Face: 10
iLLLAQcccffegghhqfmhqvvpk,hLLAAkcddeffgglkwatrqk,Face: 8
iLLLMQccdeggffhhpcqhffnjk,hLLAAkcddeffgglkwatrqk,Face: 7
gLLAQbcedeffajhfaok,fLLQcbcdeeeajgede,Face: 6
iLLLMQcbcfeghghhajdlgjnrr,hLLLQkbcefggfgasdulcsv,Face: 14
iLLLPQcbddghfghhevfcfovwf,hLLLQkbcefggfgasdulcsv,Face: 8
iLLMLQcbcefghghhajhefjfos,hLLLQkbcefggfgasdulcsv,Face: 6
iLLLPQcbddhgfhghevfcoofof,hLLLQkbcefggfgasdulcsv,Face: 4
iLLPLQcbcfeghghhasadkojsr,hLLLQkbcefggfgasdulcsv,Face: 1
iLLLMQcbdfgffhhhevapoovsw,hLLAPkcdeegfgghsmaaoff,Face: 14
iLLAMPcbdeefghhhevdhafauu,hLLAPkcdeegfgghsmaaoff,Face: 11
iLLLAQcbegefghghaaxdxsvcs,hLLAPkcdeegfgghsmaaoff,Face: 10
iLLLAQcbedfghghhaafipaotl,hLLAPkcdeegfgghsmaaoff,Face: 2
iLLAMPcbeddfghhhhhjvehqcn,hLLAMkbeddfggghhjvehie,Face: 2
iLLAMMcbeedffghhaapkabchk,hLLAAkccdeefggakvhqvqw,Face: 7
eLMkbcdddahxte,fLLQcbcdeeeajklla,Edge: 6
iLLAMMcbeedffghhaapkabchk,hLLAMkbeedffggaaekawkk,Face: 7
iLLLMQcbedgffghhaafhjjojk,hLLAMkbeedffggaaekawkk,Face: 1
iLLLMQcbedefhgghaafdbvors,hLLAPkccdegffgakvhkvns,Face: 7
iLLLMQcbdfgffhhhevapoovsw,hLLAMkaddefgggjuapvall,Face: 14
iLLLMQcbedefhgghaafdbvors,hLLAMkaddefgggjuapvall,Face: 7
iLLLAQcbegefghghaaxdxsvcs,hLLAMkaddefgggjuapvall,Face: 5
iLLLMQcbedfgghghaafxsssor,hLLAMkaddefgggjuapvall,Face: 1
hLLPPkcdeffggghsaqmrcg,iLLLMQcccfghhfghqfaabrfwn,Edge: 11
jLLLMMQccfghgigiiqfaavfawad,iLLLMQcccfghhfghqfaabrfwn,Face: 16
jLLLLQQccfghfgiiitnagwwjncv,iLLLMQcccfghhfghqfaabrfwn,Face: 13
jLLLzQQbedhhggiiixxfhbfoxxe,iLLLMQcccfghhfghqfaabrfwn,Face: 12
jLLLLQQbedfhhgiiiahfsccosfk,iLLLMQcccfghhfghqfaabrfwn,Face: 3
hLvAQkbeffegggeaeaumvv,iLLvQQcccgehfghhqfpqvfcjs,Edge: 16
hLLAMkcedefgggulvuajvc,iLLvQQcccgehfghhqfpqvfcjs,Edge: 11
jLLwLQQccdhgighiiajvjvagvel,iLLvQQcccgehfghhqfpqvfcjs,Face: 16
jLLwLQQcddghhigiiarvrvoevaa,iLLvQQcccgehfghhqfpqvfcjs,Face: 15
jLLzLQQccdgfihhiilnngfunsum,iLLvQQcccgehfghhqfpqvfcjs,Face: 14
jLLwzQQccdhgighiiajvwvpjvhh,iLLvQQcccgehfghhqfpqvfcjs,Face: 12
