target,source,label
eLPkbcddddgcws,dLQbccchhfo,Face: 6
eLPkbcddddgrfj,dLQbccchhfo,Face: 2
fLLQcbcdeeemgohdp,eLPkbcddddgcws,Face: 8
fLLQcbcdeeeebbdli,eLPkbcddddgcws,Face: 7
fLLQcbcdeeeerwdli,eLPkbcddddgcws,Face: 6
fLLQcbcedeeajhfpi,eLPkbcddddgcws,Face: 1
fLLQcbeddeeedgvid,eLPkbcddddgrfj,Face: 8
fvPQccdedeekjnfww,eLPkbcddddgrfj,Face: 7
fLLQcccddeeqjjshn,eLPkbcddddgrfj,Face: 1
gLLAQbdeefffmkuedan,fLLQcbcdeeemgohdp,Face: 8
gLLAQbdeefffmkehpan,fLLQcbcdeeemgohdp,Face: 7
gLLMQbdedfffmkurqks,fLLQcbcdeeemgohdp,Face: 6
gLLPQcdefeffikddhtk,fLLQcbcdeeemgohdp,Face: 5
gLLMQbddefffmrjmxbk,fLLQcbcdeeemgohdp,Face: 4
gLLAQbcedfffmktfajr,fLLQcbcdeeemgohdp,Face: 1
eLAkbccddmejdw,fLLQcbcdeeeebbdli,Edge: 7
gLLAQccdefffakvhdov,fLLQcbcdeeeebbdli,Face: 6
gvLQQcdefeffbgftktp,fLLQcbcdeeeebbdli,Face: 5
gLLMQbdeeffflvqilmf,fLLQcbcdeeeebbdli,Face: 1
gLvQQbefdfefmexfaxs,fLLQcbcdeeeerwdli,Face: 6
gvLQQcdefeffbwftkpp,fLLQcbcdeeeerwdli,Face: 5
gLLMQbdeeffflkqilms,fLLQcbcdeeeerwdli,Face: 1
gLLAQbdedfffevtfann,fLLQcbcedeeajhfpi,Face: 10
gLLAQbcedfffmktbarr,fLLQcbcedeeajhfpi,Face: 9
gLLMQbdedfffmkurqks,fLLQcbeddeeedgvid,Face: 10
gLLAQbcdeefflsohtfj,fLLQcbeddeeedgvid,Face: 7
gLLAQbdedfffdfasqsv,fLLQcbeddeeedgvid,Face: 5
gLLAQbdedfffevdfdnn,fLLQcbeddeeedgvid,Face: 4
gLvQQbefdfefmexfaxs,fvPQccdedeekjnfww,Face: 10
gvLQQcdefeffbwgpfll,fvPQccdedeekjnfww,Face: 8
gLLAQcdeefffhfmaxao,fvPQccdedeekjnfww,Face: 4
gLLAQbcdeefflsohtfj,fLLQcccddeeqjjshn,Face: 10
gLLAQaddefffjuaevjs,fLLQcccddeeqjjshn,Face: 9
gLLAQbcdeefflsohtfj,fLLQcccddeeqjjshn,Face: 7
gLLAQbcedeffhvefpcj,fLLQcccddeeqjjshn,Face: 6
hLLAPkcddefgggpsvawosw,gLLAQbdeefffmkuedan,Face: 12
hLLLQkbdegffggmvqmtwgo,gLLAQbdeefffmkuedan,Face: 10
hLLAPkcddegfggpsvxswsw,gLLAQbdeefffmkuedan,Face: 9
hLLLQkbddfggfgmkfxsbno,gLLAQbdeefffmkuedan,Face: 7
hLLAPkbdeegfggmkehanfv,gLLAQbdeefffmkuedan,Face: 4
hLLMPkccdegfggabvigcgj,gLLAQbdeefffmkuedan,Face: 3
hLLAPkbdeegfggmkueqnro,gLLAQbdeefffmkuedan,Face: 2
hLLMPkbcefgfggpvaqawjf,gLLAQbdeefffmkuedan,Face: 1
hLLAPkcddegfgglsvanrvw,gLLAQbdeefffmkehpan,Face: 12
hLLLQkbdefgfggmkqpmwgo,gLLAQbdeefffmkehpan,Face: 10
hLLAPkcddegfgglsvqvrvw,gLLAQbdeefffmkehpan,Face: 9
hLLLQkbddfggfgmvfhsbno,gLLAQbdeefffmkehpan,Face: 7
hLLAPkbdeegfggmkueanrf,gLLAQbdeefffmkehpan,Face: 4
hLLMPkbcefggfgagtiinwo,gLLAQbdeefffmkehpan,Face: 3
hLLAPkbdeegfggmkehqnov,gLLAQbdeefffmkehpan,Face: 2
hLLMPkbcdffgggmgolbkkv,gLLAQbdeefffmkehpan,Face: 1
fLLQcbeddeeedgvid,gLLMQbdedfffmkurqks,Edge: 12
hLLAPkcddefgggpsvawosw,gLLMQbdedfffmkurqks,Face: 10
hLLAPkcddegfgglsvanrvw,gLLMQbdedfffmkurqks,Face: 9
hLLMMkcedffgggalvupfgw,gLLMQbdedfffmkurqks,Face: 6
hLLPPkcdfeegggirlhubvb,gLLMQbdedfffmkurqks,Face: 5
hLLLQkcedgefggiiktxfgw,gLLMQbdedfffmkurqks,Face: 2
hLLzQkcdefgfgghsdahgrv,gLLPQcdefeffikddhtk,Face: 11
hLLLQkbdegffggmvqmtwgo,gLLPQcdefeffikddhtk,Face: 10
hLLLQkbdefgfggmkqpmwgo,gLLPQcdefeffikddhtk,Face: 9
hLLzQkcdegffggdgdliorr,gLLPQcdefeffikddhtk,Face: 6
hLLLQkcdefegggirhqurgr,gLLPQcdefeffikddhtk,Face: 5
hLvMQkbfdefgggaafeejwo,gLLPQcdefeffikddhtk,Face: 1
hLLAPkcddegfggpsvxswsw,gLLMQbddefffmrjmxbk,Face: 10
hLLAPkcddegfgglsvqvrvw,gLLMQbddefffmrjmxbk,Face: 9
hLLLQkcdeefgggioiimsfr,gLLMQbddefffmrjmxbk,Face: 6
hLLLQkcdfeeggghsiuagcb,gLLMQbddefffmrjmxbk,Face: 2
fLLQcbcdeeeajfhxh,gLLAQbcedfffmktfajr,Edge: 12
hLLLQkbddfggfgmkfxsbno,gLLAQbcedfffmktfajr,Face: 10
hLLLQkbddfggfgmvfhsbno,gLLAQbcedfffmktfajr,Face: 9
hLLAMkbcedfggghgafaaux,gLLAQbcedfffmktfajr,Face: 8
hLLAMkbddefgggmvopaihh,gLLAQbcedfffmktfajr,Face: 7
hLLAMkbddefgggmkfpaihh,gLLAQbcedfffmktfajr,Face: 6
hLLAMkbcdefgggmgohladd,gLLAQbcedfffmktfajr,Face: 2
fLLQcacdeeejrdxwc,eLAkbccddmejdw,Face: 6
fLAMcbccdeehhnqqn,eLAkbccddmejdw,Face: 5
hLLAMkbddefgggmkfptadd,gLLAQccdefffakvhdov,Face: 8
hLLLQkbddfggfgasfpfnco,gLLAQccdefffakvhdov,Face: 6
hLLLQkcdeefgggioiimsfr,gvLQQcdefeffbgftktp,Face: 8
hvLAQkcdefgfggffkmqeqs,gvLQQcdefeffbgftktp,Face: 6
hvLAQkcdfgefggwwpdbpar,gvLQQcdefeffbgftktp,Face: 4
fLLQcacdeeejrdxwc,gLLMQbdeeffflvqilmf,Edge: 9
hLLLQkbddfggfgasfpfnco,gLLMQbdeeffflvqilmf,Face: 8
hLvAQkbeffgegghmmdairk,gLLMQbdeeffflvqilmf,Face: 7
hLLMMkcceffgggpvhmebgb,gLLMQbdeeffflvqilmf,Face: 2
fvPQccdedeekjnfww,gLvQQbefdfefmexfaxs,Edge: 12
hLLLQkcdegfgfgagphdbfn,gLvQQbefdfefmexfaxs,Face: 8
hLLLQkccfegfggdwaeprko,gLvQQbefdfefmexfaxs,Face: 6
hLvAQkcdefggfgpraqxonv,gLvQQbefdfefmexfaxs,Face: 4
hvLAQkcdfeggfgjgagaapj,gvLQQcdefeffbwftkpp,Face: 11
hLLzQkcdegffggdgdliorr,gvLQQcdefeffbwftkpp,Face: 8
hLvAQkcdefgfgghvthhwwo,gvLQQcdefeffbwftkpp,Face: 6
hLLzQkcdfgefggagepqjsw,gvLQQcdefeffbwftkpp,Face: 2
hLLLQkccfegfggdwaeprko,gLLMQbdeeffflkqilms,Face: 8
