id,oriented,tetrahedra
dLQbccchhsj,1,3
eLPkbcddddgkrs,0,4
eLPkbcddddggsj,1,4
fLLQcbeddeeeikvxi,0,5
fLLQcccddeeunnvun,0,5
fvPQccdedeejkrjfk,0,5
fLLQcbcedeeajhfet,0,5
fLLQcbcdeeehjotel,1,5
fLLQcbcdeeeeccxlq,0,5
fLLQccdcdeeqckvas,1,5
gLLMQbcdeffflskuqjg,0,6
gLLPQcdfefefpwmpalc,0,6
eLPkaccddjjban,1,4
gLLAQccdeeffakvhuvj,0,6
gLLAQcdeeffflfpmpuj,0,6
gLvQQbefdfefdahfehs,0,6
gvLQQcdeffefknkeebe,0,6
gLvQQbefdfefadlfetn,0,6
gLLPQccdfeffankaanf,0,6
gLLAQbcdeffftccdaww,0,6
gLLAQbdeefffeveeaqk,0,6
gLLAQbdedffferagajv,0,6
gLLAQbdeefffhgqhdar,1,6
gLLAQccedefftnegdrk,0,6
gLvQQbefdfefdahneps,0,6
gLLMQbcdfefflsjetnn,0,6
gLvQQadefeffjaednjr,1,6
gLLAQbddeeffhsripjw,1,6
hLLLQkbdegefggeslllfkk,0,7
hLLAPkcddefgggpcvawosn,0,7
hvLAQkcdegfgfgofkeaaan,0,7
hLLzQkcdefggfglopmtbfc,0,7
hLLPPkcdefggfgpwaiqgsf,0,7
hLLLQkcefefgggtaqdhmkn,0,7
fLLQccceddeqfhjjs,1,5
hLLAMkbeedffggaapwabcw,0,7
hLvAQkcdefggfgpraqeowv,0,7
hLLzQkcdegffggtkuxtkoj,0,7
hLLzQkcdegfgfgukuatvwc,0,7
hLLLQkbedfgfggaifmpgsr,0,7
hLLLQkbedfgfggaifhpsro,0,7
hLLLQkbedfgfggaufxhgwk,0,7
hLLAMkcedefggguavpafsc,0,7
hLLLQkcdffgggfpclehgvf,0,7
hLLLQkcdefeggghsualbks,0,7
hLLzQkcdegfgfghsauionc,0,7
hvLAQkcedgfgfgovsqipik,0,7
hLLLQkcdfeggfgaoehtsfw,0,7
fLLQcbcdeeeajoxxh,0,5
hLLAMkcedefgggqavpafss,0,7
hLLPMkcdeffgggacuqasco,0,7
hLLLQkbedfgfggaanlqnsc,0,7
hLLPAkccdeffgganketwxj,0,7
hLLLQkbedgffggaanxhjsw,0,7
hLLPMkccdefgggqfritapp,0,7
hLLAMkccdefggghwvlaaqq,0,7
hLLLQkcdefgggfqruqiwwk,0,7
hLLLQkbdgegffgevqudkgo,0,7
hLLzQkcdegfgfgpoautofs,0,7
hLLLQkbddgfgfgerfmgrgo,0,7
hLvAQkbeffeggglalexibb,0,7
hLLAMkcedeffggqhvaaccs,1,7
hLLMMkccdeffgganvtebaj,0,7
hLLAPkaedefgggndauvpqm,0,7
hLLLQkbcfgeffgtvxxtbnj,0,7
hLLLQkbcgfeffgtvqqtbnj,0,7
hLLLQkcdffeggglclmajkk,0,7
hLLAPkcedefgggpavuhbnr,0,7
hLvAQkbefeggfgadlpaqwn,0,7
hLLAMkbdedfggglfmvpaii,0,7
hLvAQkbeffgefgmexaaxbr,0,7
hLvAQkaefegfggnlqvvffr,1,7
hLvAQkafefgeggnmecogjc,1,7
hLLAMkcddeffggdrvapwar,0,7
hLLAPkacdefgggnkattlov,0,7
hLLLQkacfgefggnkgogsog,1,7
iLLAzQccddeghghhlcvanesei,0,8
iLLLMQcbedeghghhaafmjsogf,0,8
iLvLQQcbdfeghhghtwatwrrcr,0,8
iLLLMQcbcgfggfhhlsdpkvsws,0,8
iLLLMQccedfghghhuufmkgjgf,0,8
iLvLQQcbdeghfhghpfxejcsgo,0,8
iLLvQQccdhegfhghhctagngbo,0,8
ivLLQQccghfehfghwllhbdifn,0,8
iLLLMQccdefgfhhhuruavfcss,0,8
iLLvQQccdfhgfhghasamgsbgv,0,8
iLvLQQcbdefghghhafutrcjgc,0,8
ivLAAQccefeghghhbvanatksf,0,8
iLLPLQccdefghghhlopebgwgr,0,8
iLLvQQccdegfhghhtoilrwjwv,0,8
iLLLMQccdefgfhhhuruajfoww,0,8
iLLLMQccdefhgghhhspasgrob,0,8
