target,source,label
eLPkbcddddjsnr,dLQacccjsjb,Face: 5
eLAkbbcdddhgqw,dLQacccjsjb,Face: 3
eLAkaccddngbxn,dLQacccjsjb,Face: 2
eLAkaccddjgnaj,dLQacccjsjb,Face: 1
fLLQcbcedeednqwmd,eLPkbcddddjsnr,Face: 7
fLLQcbeddeedlbrxd,eLPkbcddddjsnr,Face: 6
fLLQcccddeetnnoun,eLPkbcddddjsnr,Face: 5
fLLQcbcedeetjhfqq,eLPkbcddddjsnr,Face: 3
fLAMcaccdeengbqqn,eLAkbbcdddhgqw,Face: 1
fLLQcaddeeenuahdj,eLAkaccddngbxn,Face: 7
fLLQcaddeeejiaplc,eLAkaccddjgnaj,Face: 7
fLLQcacdedejbqawk,eLAkaccddjgnaj,Face: 3
gLLPQccdfefflbnaqnr,fLLQcbcedeednqwmd,Face: 9
gLLAQbdeefffevdpaln,fLLQcbcedeednqwmd,Face: 7
gLLAQbddeeffxwrxxrj,fLLQcbeddeedlbrxd,Face: 10
eLAkbccddhhsak,fLLQcccddeetnnoun,Edge: 7
gLLAQbcedeffasxfljj,fLLQcccddeetnnoun,Face: 10
gLvQQadefeffjahhsrg,fLLQcccddeetnnoun,Face: 8
gLLPQccdfeffakkaxof,fLLQcbcedeetjhfqq,Face: 9
gLLMQbddeeffasbiisk,fLLQcbcedeetjhfqq,Face: 8
gLLAQbcdeffflrwiabb,fLLQcbcedeetjhfqq,Face: 7
gLLAQacdeeffnkadjlr,fLAMcaccdeengbqqn,Face: 7
gLLAQbdceeffdwrxdfs,fLLQcaddeeenuahdj,Face: 8
gLLPQccdfefflbnaqnr,fLLQcaddeeenuahdj,Face: 6
gLLAQbddeeffxwrxxrj,fLLQcaddeeejiaplc,Face: 10
gLLAQadedeffjulpvok,fLLQcacdedejbqawk,Face: 7
fLLQcaddeeenuahdj,gLLPQccdfefflbnaqnr,Edge: 12
hLLMPkbdedfgggdkafocvv,gLLPQccdfefflbnaqnr,Face: 5
hLLPAkccdeffggpvnedwxj,gLLPQccdfefflbnaqnr,Face: 2
hLLLQkbdffgfggxviiqgbo,gLLAQbdeefffevdpaln,Face: 6
hLLLQkbcegfgfgdfmaerbv,gLLAQbdeefffevdpaln,Face: 5
hLLLQkbdeggfgflrepdwrj,gLLAQbdeefffevdpaln,Face: 1
fLLQcaddeeejiaplc,gLLAQbddeeffxwrxxrj,Edge: 12
hLLPPkcdefffggakedtksw,gLLAQbddeeffxwrxxrj,Face: 7
fLLQcacdeeejsxxkn,eLAkbccddhhsak,Face: 4
fLLQcaddeeejpuplc,eLAkbccddhhsak,Face: 3
hLLAMkbeedffggaaeoawcs,gLLAQbcedeffasxfljj,Face: 5
hLLAAkcddeffgghrrahohj,gLLAQbcedeffasxfljj,Face: 4
hLLLQkbcegfgfgdfmaerbv,gLvQQadefeffjahhsrg,Face: 7
hLvAQkcdegeggfpjauhovr,gLvQQadefeffjahhsrg,Face: 4
hLLMPkbdedfgggdkafocvv,gLLPQccdfeffakkaxof,Face: 7
hLLMPkbdedfgggdkafocvv,gLLPQccdfeffakkaxof,Face: 6
hLLPPkcdefffggakedtksw,gLLMQbddeeffasbiisk,Face: 7
hLLPPkcdefffggakedtksw,gLLMQbddeeffasbiisk,Face: 6
hLLAMkbeedffggaaeoawcs,gLLAQbcdeffflrwiabb,Face: 8
hLLAMkcddefggglcvaxaii,gLLAQbcdeffflrwiabb,Face: 6
hLLAMkbeedfgggaapwxjwg,gLLAQbcdeffflrwiabb,Face: 5
hLLAMkbcedfgggtjhfaaqq,gLLAQbcdeffflrwiabb,Face: 2
hLLPAkccdeffggpvnedwxj,gLLAQbdceeffdwrxdfs,Face: 12
hLLLQkbcegfffgdfqahgkn,gLLAQbdceeffdwrxdfs,Face: 11
hLLAPkbcedfgfgtsxfjojr,gLLAQbdceeffdwrxdfs,Face: 5
hLLAPkbddegffgxvrijjws,gLLAQadedeffjulpvok,Face: 2
gLLPQccdfeffakkaxof,hLLMPkbdedfgggdkafocvv,Edge: 10
iLLMPMcbdedfgghhajpfjjwmw,hLLMPkbdedfgggdkafocvv,Face: 5
iLLALQcbedefhghhaanuvnowo,hLLMPkbdedfgggdkafocvv,Face: 1
gLLAQbdceeffdwrxdfs,hLLPAkccdeffggpvnedwxj,Edge: 14
iLLMPMcbdedfgghhajpfjjwmw,hLLPAkccdeffggpvnedwxj,Face: 7
iLLMPMcbdedfgghhtwarowrej,hLLPAkccdeffggpvnedwxj,Face: 5
iLLLPQccddhgfhghhsgobfjvr,hLLLQkbdffgfggxviiqgbo,Face: 9
iLLLMQccdfgfgfhhpwidorffs,hLLLQkbdffgfggxviiqgbo,Face: 6
gLvQQadefeffjahhsrg,hLLLQkbcegfgfgdfmaerbv,Edge: 10
iLLLPQccddhgfhghhsgobfjvr,hLLLQkbcegfgfgdfmaerbv,Face: 8
iLLLPQcbcfegfhhhdfqdrsrrf,hLLLQkbcegfgfgdfmaerbv,Face: 4
iLLLMQccdfgfgfhhpwidorffs,hLLLQkbdeggfgflrepdwrj,Face: 8
iLvAMQcadfegfhhhjaqcjkuat,hLLLQkbdeggfgflrepdwrj,Face: 7
iLLLMQcbddgfghghtwrpjfqoj,hLLLQkbdeggfgflrepdwrj,Face: 5
gLLMQbddeeffasbiisk,hLLPPkcdefffggakedtksw,Edge: 10
iLLLPQcbedhfhghgaafhjfofk,hLLPPkcdefffggakedtksw,Face: 3
gLLAQbddeffftvnlack,fLLQcacdeeejsxxkn,Face: 10
gLLAQbcdeefflsohhoj,fLLQcacdeeejsxxkn,Face: 7
gLLAQbcedeffajhftsj,fLLQcaddeeejpuplc,Face: 4
gLLAQbcdeffflrwiabb,hLLAMkbeedffggaaeoawcs,Edge: 10
iLLLQMcbedgffghhaanxhjsak,hLLAMkbeedffggaaeoawcs,Face: 4
iLLLMQcbedgffghhaafijjofs,hLLAMkbeedffggaaeoawcs,Face: 1
iLLALQccddefhghhhrranagil,hLLAAkcddeffgghrrahohj,Face: 10
iLLLAQcbcggefhghlspptsavj,hLLAAkcddeffgghrrahohj,Face: 5
gLLAQbcdeefflsohhoj,hLvAQkcdegeggfpjauhovr,Edge: 11
iLLLPQcbcfefghhhebmiobrrk,hLvAQkcdegeggfpjauhovr,Face: 10
iLLLPQcbcfegfhhhdfqdrsrrf,hLvAQkcdegeggfpjauhovr,Face: 9
iLLLAQcbcggefhghlspptsavj,hLvAQkcdegeggfpjauhovr,Face: 7
iLvQLQcadfefgghhnauirambk,hLvAQkcdegeggfpjauhovr,Face: 4
iLLLPQcbedhfhghgaafhjfofk,hLLAMkcddefggglcvaxaii,Face: 8
iLLALQcbedefhghhaanuvnowo,hLLAMkbeedfgggaapwxjwg,Face: 7
iLLAPPccddefghhhtrvarjaqq,hLLAMkbeedfgggaapwxjwg,Face: 5
iLLAMPcbcdefghhhlrwiaaabb,hLLAMkbcedfgggtjhfaaqq,Face: 10
iLLLMQccdgfefhhhafaarffnn,hLLAMkbcedfgggtjhfaaqq,Face: 8
iLLPMPcccdfeghhhhwgaxaakk,hLLAMkbcedfgggtjhfaaqq,Face: 7
iLvQLQcadfeghghhjaexaxdln,hLLLQkbcegfffgdfqahgkn,Face: 14
iLLLAQcacfeehghhnkgcgmvdp,hLLLQkbcegfffgdfqahgkn,Face: 10
iLLLAQcacfeehghhnkgcgmvdp,hLLAPkbcedfgfgtsxfjojr,Face: 14
iLLLAQcacfeehghhnkgcgmvdp,hLLAPkbcedfgfgtsxfjojr,Face: 13
iLLPwQcccdfehgghqffaaahjn,hLLAPkbcedfgfgtsxfjojr,Face: 8
iLLLMQcbedegfghhxxfxorojk,hLLAPkbddegffgxvrijjws,Face: 5
hLLPAkccdeffggpvnedwxj,iLLMPMcbdedfgghhajpfjjwmw,Edge: 11
jLLALQPbedefghhiiaanuvwfwlw,iLLMPMcbdedfgghhajpfjjwmw,Face: 7
jLvAMAQcdegfhghiiaveicrfkun,iLLMPMcbdedfgghhajpfjjwmw,Face: 6
jLLLMMQccfghgihhiakaijkhokj,iLLMPMcbdedfgghhajpfjjwmw,Face: 5
hLLAMkbeedfgggaapwxjwg,iLLALQcbedefhghhaanuvnowo,Edge: 11
jLLALQPbedefghhiiaanuvwfwlw,iLLALQcbedefhghhaanuvnowo,Face: 7
jLLLLQQbedffhihiiaafssnwvfo,iLLALQcbedefhghhaanuvnowo,Face: 2
jLLLLQQacfghihgiinkgkahivmj,iLLMPMcbdedfgghhtwarowrej,Face: 9
hLLLQkbcegfgfgdfmaerbv,iLLLPQccddhgfhghhsgobfjvr,Edge: 11
jLLLPPQcddghhiiihhsgknjalqb,iLLLPQccddhgfhghhsgobfjvr,Face: 10
jLLLwQQbedeihgihixxfxdnfafx,iLLLPQccddhgfhghhsgobfjvr,Face: 7
hLLLQkbdeggfgflrepdwrj,iLLLMQccdfgfgfhhpwidorffs,Edge: 11
jLLvAQQccgefhghiiqfpqrrosqk,iLLLMQccdfgfgfhhpwidorffs,Face: 11
hLvAQkcdegeggfpjauhovr,iLLLPQcbcfegfhhhdfqdrsrrf,Edge: 12
jLLLPPQcddghhiiihhsgknjalqb,iLLLPQcbcfegfhhhdfqdrsrrf,Face: 10
jLvAAMQbeffghiihiedeaariqci,iLLLPQcbcfegfhhhdfqdrsrrf,Face: 9
jLLLPAQbcfehfghiidfqdnsvkhs,iLLLPQcbcfegfhhhdfqdrsrrf,Face: 6
jLLvAQQccgefhghiiqfpqrrosqk,iLvAMQcadfegfhhhjaqcjkuat,Face: 10
jLvQLPQadfeghihiijaqxautofc,iLvAMQcadfegfhhhjaqcjkuat,Face: 9
jLvLAQQaegefhihiijxgckkuolu,iLvAMQcadfegfhhhjaqcjkuat,Face: 8
jLLLPAQbcfehfghiidfqdnsvkhs,iLvAMQcadfegfhhhjaqcjkuat,Face: 4
jLvLAQQaegefhihiijxgckkuolu,iLLLMQcbddgfghghtwrpjfqoj,Face: 9
hLLAMkcddefggglcvaxaii,iLLLPQcbedhfhghgaafhjfofk,Edge: 11
jLLLwQQbedfigiihhaafiaoiufw,iLLLPQcbedhfhghgaafhjfofk,Face: 2
hLLLQkbdefeggglvieqrko,gLLAQbddeffftvnlack,Face: 12
hLLLQkbdfgegfglvmtqrbk,gLLAQbddeffftvnlack,Face: 10
hLLAPkbddegfggxvrijjsj,gLLAQbddeffftvnlack,Face: 2
hLLLQkbdefeggglvieqrko,gLLAQbcdeefflsohhoj,Face: 12
hLLLQkbdfgegfglvmtqrbk,gLLAQbcdeefflsohhoj,Face: 11
hLvAQkbeffgefgdahexpsj,gLLAQbcdeefflsohhoj,Face: 7
hLvAQkcdegeggfpjauhovr,gLLAQbcdeefflsohhoj,Face: 6
hLvPQkafeefgggnqifvkrb,gLLAQbcdeefflsohhoj,Face: 5
hLLMPkaceeffggjshbwbxj,gLLAQbcdeefflsohhoj,Face: 2
hLLLQkbefgfefgaaeletjs,gLLAQbcedeffajhftsj,Face: 8
hLLAPkacdegfggjsxxaakk,gLLAQbcedeffajhftsj,Face: 7
jLLLLQQbegfihhgiiaallojwfgn,iLLLQMcbedgffghhaanxhjsak,Face: 12
jLLLLQQbedghfhiiiaafjrrnwfo,iLLLQMcbedgffghhaanxhjsak,Face: 5
jLLLMAQcdgfefhiiiacaanfoall,iLLLMQcbedgffghhaafijjofs,Face: 7
jLLLzQQbeffgghhiiaaqqssrrww,iLLLMQcbedgffghhaafijjofs,Face: 6
jLLLLQQbcgfifghiilsmkjkvffc,iLLALQccddefhghhhrranagil,Face: 10
jLLLAMQcedfgghiiitafaxsllks,iLLALQccddefhghhhrranagil,Face: 9
jLLALMQcddefghiiihrrancmhbr,iLLALQccddefhghhhrranagil,Face: 2
hLvAQkcdegeggfpjauhovr,iLLLAQcbcggefhghlspptsavj,Edge: 11
jLLLLQQbcgfifghiilsmkjkvffc,iLLLAQcbcggefhghlspptsavj,Face: 12
jLLLAMQcedfgghiiitafaxsllks,iLLLAQcbcggefhghlspptsavj,Face: 11
jLLLLQQbedghfhiiiaafjrrnwfo,iLLLAQcbcggefhghlspptsavj,Face: 5
jLLLLQQacfgigighijsgktkxvjb,iLLLAQcbcggefhghlspptsavj,Face: 2
hLLLQkbdefeggglvieqrko,iLLLPQcbcfefghhhebmiobrrk,Edge: 13
jLLLLQQbcgfifghiilsmkjkvffc,iLLLPQcbcfefghhhebmiobrrk,Face: 12
jLLLPAQbcfefhghiiebmiokvkhw,iLLLPQcbcfefghhhebmiobrrk,Face: 8
jLLLPPQcddghiighihsgsrdavwe,iLLLPQcbcfefghhhebmiobrrk,Face: 2
hLLMPkaceeffggjshbwbxj,iLvQLQcadfefgghhnauirambk,Edge: 13
jLLLPAQbcfefhghiiebmiokvkhw,iLvQLQcadfefgghhnauirambk,Face: 12
jLLLPAQbcfehfghiidfqdnsvkhs,iLvQLQcadfefgghhnauirambk,Face: 11
jLLLLQQacfgigighijsgktkxvjb,iLvQLQcadfefgghhnauirambk,Face: 9
jLLLAPQbegeghhiiiaaidmncxlt,iLLAPPccddefghhhtrvarjaqq,Face: 6
jLLLLQQbegfihhgiiaallojwfgn,iLLAPPccddefghhhtrvarjaqq,Face: 5
jLLAzAQbedeghghiiaanudibmck,iLLAPPccddefghhhtrvarjaqq,Face: 1
jLLLMAQcdgfefhiiiacaanfoall,iLLAMPcbcdefghhhlrwiaaabb,Face: 8
jLLAMzQcddefghiiilcvaxaaaii,iLLAMPcbcdefghhhlrwiaaabb,Face: 6
jLLLAPQbefgfighiiaaqaqarwtt,iLLAMPcbcdefghhhlrwiaaabb,Face: 5
jLLAMzQbcedfghiiitjhfaaaaqq,iLLAMPcbcdefghhhlrwiaaabb,Face: 2
jLLLwQQbedfigiihhaafiaoiufw,iLLLMQccdgfefhhhafaarffnn,Face: 7
jLLLwQQbedfigiihhaafiaoiufw,iLLLMQccdgfefhhhafaarffnn,Face: 6
jLLLLQQbedffhihiiaafssnwvfo,iLLPMPcccdfeghhhhwgaxaakk,Face: 7
jLLLLQQbedffhihiiaafssnwvfo,iLLPMPcccdfeghhhhwgaxaakk,Face: 6
jLLLLQQacfghihgiinkgkahivmj,iLvQLQcadfeghghhjaexaxdln,Face: 15
jLvAMAQcdegfhghiiaveicrfkun,iLvQLQcadfeghghhjaexaxdln,Face: 1
hLLAPkbcedfgfgtsxfjojr,iLLLAQcacfeehghhnkgcgmvdp,Edge: 10
jLLLLQQacfghihgiinkgkahivmj,iLLLAQcacfeehghhnkgcgmvdp,Face: 16
jLLLLQQacfihgggiinkgaafgvgb,iLLLAQcacfeehghhnkgcgmvdp,Face: 13
hLLAPkbcedfgfgtsxfojrj,iLLPwQcccdfehgghqffaaahjn,Edge: 10
jLLLLQQacfihgggiinkgaafgvgb,iLLPwQcccdfehgghqffaaahjn,Face: 16
jLLLLQQacfihgggiinkgaafgvgb,iLLPwQcccdfehgghqffaaahjn,Face: 15
hLLMMkbeefefggxxitxhvn,iLLLMQcbedegfghhxxfxorojk,Edge: 14
iLLALQcbedefhghhaanuvnowo,jLLALQPbedefghhiiaanuvwfwlw,Edge: 12
kLLALMMkbedeghgiijjaanujncaank,jLLALQPbedefghhiiaanuvwfwlw,Face: 4
