id,oriented,tetrahedra
dLQacccjsjb,1,3
eLPkbcddddjsnr,0,4
eLAkbbcdddhgqw,1,4
eLAkaccddngbxn,1,4
eLAkaccddjgnaj,1,4
fLLQcbcedeednqwmd,0,5
fLLQcbeddeedlbrxd,0,5
fLLQcccddeetnnoun,0,5
fLLQcbcedeetjhfqq,0,5
fLAMcaccdeengbqqn,1,5
fLLQcaddeeenuahdj,1,5
fLLQcaddeeejiaplc,1,5
fLLQcacdedejbqawk,1,5
gLLPQccdfefflbnaqnr,0,6
gLLAQbdeefffevdpaln,0,6
gLLAQbddeeffxwrxxrj,0,6
eLAkbccddhhsak,1,4
gLLAQbcedeffasxfljj,0,6
gLvQQadefeffjahhsrg,0,6
gLLPQccdfeffakkaxof,0,6
gLLMQbddeeffasbiisk,0,6
gLLAQbcdeffflrwiabb,0,6
gLLAQacdeeffnkadjlr,1,6
gLLAQbdceeffdwrxdfs,1,6
gLLAQadedeffjulpvok,1,6
hLLMPkbdedfgggdkafocvv,0,7
hLLPAkccdeffggpvnedwxj,0,7
hLLLQkbdffgfggxviiqgbo,0,7
hLLLQkbcegfgfgdfmaerbv,0,7
hLLLQkbdeggfgflrepdwrj,0,7
hLLPPkcdefffggakedtksw,0,7
fLLQcacdeeejsxxkn,1,5
fLLQcaddeeejpuplc,0,5
hLLAMkbeedffggaaeoawcs,0,7
hLLAAkcddeffgghrrahohj,0,7
hLvAQkcdegeggfpjauhovr,0,7
hLLAMkcddefggglcvaxaii,0,7
hLLAMkbeedfgggaapwxjwg,0,7
hLLAMkbcedfgggtjhfaaqq,0,7
hLLLQkbcegfffgdfqahgkn,1,7
hLLAPkbcedfgfgtsxfjojr,1,7
hLLAPkbddegffgxvrijjws,1,7
iLLMPMcbdedfgghhajpfjjwmw,0,8
iLLALQcbedefhghhaanuvnowo,0,8
iLLMPMcbdedfgghhtwarowrej,0,8
iLLLPQccddhgfhghhsgobfjvr,0,8
iLLLMQccdfgfgfhhpwidorffs,0,8
iLLLPQcbcfegfhhhdfqdrsrrf,0,8
iLvAMQcadfegfhhhjaqcjkuat,0,8
iLLLMQcbddgfghghtwrpjfqoj,0,8
iLLLPQcbedhfhghgaafhjfofk,0,8
gLLAQbddeffftvnlack,1,6
gLLAQbcdeefflsohhoj,1,6
gLLAQbcedeffajhftsj,0,6
iLLLQMcbedgffghhaanxhjsak,0,8
