id,oriented,tetrahedra
dLQbcccdero,1,3
eLPkbcddddcwrf,1,4
eLAkbccddhhnqs,1,4
eLPkbcdddmbkgo,1,4
eLPkbcdddhggcv,1,4
fLLQcbcedeetsafqh,0,5
fvPQccdedeeccjwfo,1,5
fLLQcbeddeedqjvap,1,5
fLLQcacdeeejkaicr,0,5
fLLQcaddeeenuaplf,0,5
fLLQcbcdeeepjgpel,1,5
fLLQcbcedeedgmjmd,0,5
fLLQcbcdeeemgoddp,1,5
fLLQcbeddeemqjvae,1,5
fLLQcbcdeeelsfxxh,1,5
gLLMQbcdefffdfblugf,0,6
gLLAQbcedffftsxfavc,0,6
gvLQQcdeffefjvgulbq,1,6
gLLAQbeddfffdqjvpof,1,6
gLLQPcdcdefftgrfmhr,0,6
gLLAQbcedeffasxfaok,0,6
gLLAQccedeffqgifqfr,0,6
gLLAQbdceefftvrmtrs,0,6
gLLAQbcedeffajhfaor,0,6
gLLAQbddefffmkcdhgc,1,6
gLLAQbdeefffmkehptv,1,6
gLLAQbddefffhgfuawb,0,6
gLLPQcdfeeffaklpqtk,0,6
gvLQQcdefeffbokqrqm,1,6
gLLMQbddefffmvjmxbk,1,6
gLLPQcdefeffikdqhtk,1,6
gLLPQcdefeffpgaquuf,1,6
gLLAQbdeefffmkuedun,1,6
gLLAQbeddfffmqjveof,1,6
gLLAQbcdeeffhgjuubr,1,6
fLLQcbcdeeeajkllt,0,5
hLLAMkbcedfgggtsafaxqq,0,7
hLLAMkbeddfgggdqjvpqaq,1,7
fLLQccecddehqrwwj,1,5
hLLAAkccdeefggakvhqvqs,0,7
hLLAMkbeedffggaaekawkr,0,7
fLLQcacdedejsaxjr,1,5
hLLAPkccdegffgakvhkvnw,0,7
fLLQcbcdeeeajgeae,0,5
hLLAMkaddefgggnuapvall,0,7
hLLAPkcddegfgghsvqvwkr,1,7
hLLLQkcdeffggghstelwkv,1,7
hLLAPkbdeegfggmkehqvkv,1,7
hvLAQkcdfegfggggajpuaw,0,7
hLLzQkcdefgfgghsdehgrv,0,7
hLLzQkcdefggfgafmatkfv,0,7
hLLAPkcdeegfgghsiaaoff,0,7
hLLLQkcdeefggglkeetwgw,1,7
hvLAQkcdefgfggffbxdhuf,1,7
hvLAQkcdfgefggwnldbdas,1,7
hLLAPkcddegfgghsvxswsw,1,7
hLLPMkcdfeegggikmhhnsk,1,7
hLLLQkcdeefgggioiimwfr,1,7
hLvAQkbefefgggpapmhlvv,1,7
hLLLQkcdfeeggghsipuncb,1,7
hLLzQkcdegffggdgaliorr,1,7
hvLAQkcedgffggfvjemxlj,1,7
hLLLQkcdeegfggifheqfgo,1,7
hLLLQkbdegffggmvqhtwgo,1,7
hLvAQkbefegfggdadmxmvj,1,7
hLwLQkacefgfggngjgfkfv,1,7
hLLLQkbcfegfggdjuemgjo,1,7
hLvAQkbeffgegghapiadoo,1,7
hLLLQkbcegfgfgxbtaxojv,1,7
hLLAPkbdeegfggmkueqnrb,1,7
hLLAMkbeddfgggmqjveqqa,1,7
hLLLQkcdffgegghslahrww,1,7
hLLAAkbdedffgghravpraw,1,7
gLLPQccdfeffankqqof,0,6
iLLAwQcbedefghhhaarldfllh,0,8
iLLAMPcbcedfghhhtsxfaxavv,0,8
iLLAMPcbeddfghhhdqjvpqqof,1,8
iLLAMMcbeedffghhaapkabchr,0,8
iLLLMQcbedgffghhaafhjjojr,0,8
iLLLMQcbedefhgghaafdbvorw,0,8
gLLAQcddefffhrrqxfo,0,6
iLLLAQcbegefghghaaxdxsvcw,0,8
iLLLMQcbedfgghghaafxsssok,0,8
iLLALQccddehghghhsvqqkeru,1,8
iLLLAQccdgffhghhqfqhdmjmi,1,8
iLLLAQccdgffghhhhshelftex,1,8
iLLALQcbeddhghghhhnshwice,1,8
ivLAAQccefgehghhkvplbeowr,0,8
iLvAMQccdefghghhhjahojknf,0,8
iLLvQQccdfhhfgghagddksfvv,0,8
iLLLAQccdefgghhhagpapgtmh,0,8
iLLLPQccdefghhghafphgbbcg,0,8
iLLLAQcbdfgfhfhhxvhhxacii,0,8
iLLLAQcbedfghghhaafihaotl,0,8
iLvAAQcbfeegfghhhahaacvcw,1,8
iLLLAQcceffgghhhphmaxgroo,1,8
iLLLAQcbcegffhhhlseaesttu,0,8
iLLLMQcbcfghhfghlstabjsck,0,8
ivLAAQcdefeghhghrsafxmrjn,0,8
ivLAPQcdedfhghghsvwpamfco,1,8
ivLAPQcdedfghhghbvcdlqrfg,1,8
ivLLQQccdehfghghjsjhmegjj,1,8
iLLLAQcbdegfhghhmkadxioaq,1,8
iLLLMQccceffghhhdwmprjwsw,1,8
iLLALQccddehhgghhsvxxmswi,1,8
iLLPLQccdfeghhghqoxpojggc,1,8
iLLvQQccegfhghghiqdainfjg,1,8
iLLLAQccdgeehghhqoqihusat,1,8
