target,source,label
eLPkbcddddkwrc,dLQacccjsnk,Face: 5
eLAkaccddjgnqw,dLQacccjsnk,Face: 3
eLAkbbcdddhgxk,dLQacccjsnk,Face: 2
eLAkaccddjgbak,dLQacccjsnk,Face: 1
fLLQcbcdeeepfrede,eLPkbcddddkwrc,Face: 8
fLLQcacdeeejkaiow,eLAkaccddjgnqw,Face: 7
fLLQcacdedejsxarj,eLAkaccddjgnqw,Face: 3
fLAMcaccdeengbqhr,eLAkbbcdddhgxk,Face: 1
dLQacccjnbs,eLAkaccddjgbak,Edge: 6
gLLAQbcdeeffmbraagn,fLLQcbcdeeepfrede,Face: 10
gLLAQbcedffftsafhgn,fLLQcbcdeeepfrede,Face: 7
gLLAQbddefffdwnhacg,fLLQcbcdeeepfrede,Face: 5
gLLAQbddefffmkbqacj,fLLQcbcdeeepfrede,Face: 4
gLLAQbcdeeffmbraagn,fLLQcacdeeejkaiow,Face: 10
gLLAQcedeeffhlvaqqk,fLLQcacdeeejkaiow,Face: 8
gLLQPcdcdeffpgjcmhr,fLLQcacdeeejkaiow,Face: 7
gLLAQbddeeffhgfuecn,fLLQcacdeeejkaiow,Face: 1
gLLAQaeddeffjmadcjr,fLLQcacdedejsxarj,Face: 9
eLPkbcddddjwgk,dLQacccjnbs,Face: 6
eLAkaccddjgbqj,dLQacccjnbs,Face: 2
eLAkaccddjgbxr,dLQacccjnbs,Face: 1
fLLQcacdeeejkaiow,gLLAQbcdeeffmbraagn,Edge: 12
hLLLQkbdeeffggmvmmdbok,gLLAQbcdeeffmbraagn,Face: 10
hLLLQkbdeeggfgmvaapjro,gLLAQbcdeeffmbraagn,Face: 9
hLLAMkbeedffggpqmkajkr,gLLAQbcdeeffmbraagn,Face: 6
hLLMPkbcefegggtsxmufcr,gLLAQbcedffftsafhgn,Face: 10
hLLLQkbdegefggdwiplwro,gLLAQbcedffftsafhgn,Face: 9
hLLAMkbcedfgggtsafhxlx,gLLAQbcedffftsafhgn,Face: 6
hLLLQkbedegfggaifmmgwc,gLLAQbcedffftsafhgn,Face: 1
