id,oriented,tetrahedra
dLQacccjsnk,1,3
eLPkbcddddkwrc,1,4
eLAkaccddjgnqw,1,4
eLAkbbcdddhgxk,1,4
eLAkaccddjgbak,1,4
fLLQcbcdeeepfrede,1,5
fLLQcacdeeejkaiow,1,5
fLLQcacdedejsxarj,1,5
fLAMcaccdeengbqhr,1,5
dLQacccjnbs,1,3
gLLAQbcdeeffmbraagn,1,6
gLLAQbcedffftsafhgn,0,6
gLLAQbddefffdwnhacg,1,6
gLLAQbddefffmkbqacj,1,6
gLLAQcedeeffhlvaqqk,1,6
gLLQPcdcdeffpgjcmhr,1,6
gLLAQbddeeffhgfuecn,1,6
gLLAQaeddeffjmadcjr,1,6
eLPkbcddddjwgk,1,4
eLAkaccddjgbqj,1,4
eLAkaccddjgbxr,1,4
hLLLQkbdeeffggmvmmdbok,1,7
hLLLQkbdeeggfgmvaapjro,1,7
hLLAMkbeedffggpqmkajkr,1,7
hLLMPkbcefegggtsxmufcr,0,7
hLLLQkbdegefggdwiplwro,0,7
hLLAMkbcedfgggtsafhxlx,0,7
hLLLQkbedegfggaifmmgwc,0,7
hvLAQkcdfeggfgjgabahpj,0,7
hLLAPkcdedfgggtrxnrckf,1,7
hvLAQkcdfeggfgffacumlw,0,7
hLLLQkbdfefgggdwtepkno,1,7
hLLLQkbcfgffggdfpaewwk,0,7
hLLAPkbdcefgggevnlgvcg,1,7
hLLAMkbdeeffggevdhagkr,1,7
hLLAPkaedefgggjxahfhld,1,7
hLLAAkccdeefggpwvlqvqs,1,7
hLLAAkbddeefggxsfqlgqj,1,7
hLLAAkccedefggqfiwqfxn,1,7
hLvPQkccgeffgghralxbrb,1,7
hLvAQkadfegfggjaqkfcrw,1,7
hLLAPkaedegfggjlamxkxa,0,7
hLLAPkbddeggfglvkhbnkc,0,7
hLLAPkadedfgfgnmllfewr,1,7
fLLQcbcdeeembraea,1,5
fLLQcbcedeedgdfmd,0,5
fLLQcbcedeedwuvqa,0,5
fLLQcacdeeejkadbj,1,5
fLLQcaddeeejuapdj,0,5
iLLLQMccddegfghhikfqrfwiw,1,8
iLvwQQcadefghghhjaoffrkgj,1,8
iLLLAQcbdeggfghhmkatpwsqj,1,8
iLLLQMccddegfghhikshrfwiw,1,8
iLvwQQcadefghghhjaoffrkro,1,8
iLLLAQcbdeggfghhmvatpwoqj,1,8
iLLAwQcbedefghhhphrldfllh,0,8
iLLAMMcbeedffghhhiukaochr,1,8
iLLALQcbcedfhghhtsxjvijlh,0,8
iLLAPPcbddefghhhmvrqwjata,0,8
iLLLMQcbcgfhgfhhtsmujssrw,0,8
iLLAzQccddeghghhhsvxblvip,0,8
iLLALQcbcedfhghhtsxjkejlh,0,8
iLLAPPcbddefghhhmkbqwjata,0,8
iLvAAQcbefeghghhtaluasnrf,0,8
iLLAzQccddegghhhhsvqgfpul,0,8
iLLLAQcbddgfghhhanktgruaa,0,8
iLLAPPcbedegfhhhmqrpdoaee,0,8
ivLAMQccdfghfghhwgldttlsn,0,8
iLLvQQccdhffghghtoaqrrscv,0,8
