target,source,label
fLLQcbcdeeehgrxux,eLMkbcdddhhhml,Face: 7
fLLQcbcdeeexcrulq,eLMkbcdddhhhml,Face: 2
gLLMQbcdeffflsfiion,fLLQcbcdeeehgrxux,Face: 9
gLLAQbcedeffhgmfubr,fLLQcbcdeeehgrxux,Face: 2
gvLQQcdefeffjfctjmi,fLLQcbcdeeexcrulq,Face: 10
gLLMQbcdeffflsfiion,fLLQcbcdeeexcrulq,Face: 9
gLLPQcdefeffpgaxmdj,fLLQcbcdeeexcrulq,Face: 8
gLLMQbcdeffflsfiion,fLLQcbcdeeexcrulq,Face: 7
gLLAQbcedeffxchkqkw,fLLQcbcdeeexcrulq,Face: 2
fLLQcbcdeeexcrulq,gLLMQbcdeffflsfiion,Edge: 12
hLLAAkbdedffggevtfanej,gLLMQbcdeffflsfiion,Face: 10
hLvAQkbefefggglalmpifn,gLLMQbcdeffflsfiion,Face: 6
hLLAMkbdedfggglfavpiim,gLLMQbcdeffflsfiion,Face: 5
hLLMAkbcdeffgglsjpinhw,gLLMQbcdeffflsfiion,Face: 2
fLLQcacdeeenkamkf,gLLAQbcedeffhgmfubr,Edge: 11
hLLAAkbdedffggevtfanej,gLLAQbcedeffhgmfubr,Face: 11
hLLAAkbdedffggevtfanej,gLLAQbcedeffhgmfubr,Face: 9
hvLAQkcefgefggwvpdoemo,gvLQQcdefeffjfctjmi,Face: 12
hvLAQkcdfegfggffafuimv,gvLQQcdefeffjfctjmi,Face: 11
hvLAQkcedfggfgwvnuiptc,gvLQQcdefeffjfctjmi,Face: 10
hLLLQkcdfeggfgucexujkf,gvLQQcdefeffjfctjmi,Face: 6
hvLAQkcefgefggwvpdoemo,gLLPQcdefeffpgaxmdj,Face: 10
hLLLQkbedgffggmiflenng,gLLPQcdefeffpgaxmdj,Face: 9
hLwLQkacgeffggjgjogkvc,gLLPQcdefeffpgaxmdj,Face: 6
hLLAMkcedefgggqavptwsr,gLLPQcdefeffpgaxmdj,Face: 2
hLvAQkadefggfgjaevvjrj,gLLAQbcedeffxchkqkw,Face: 12
hLLMAkbcdeffgglsjpinhw,gLLAQbcedeffxchkqkw,Face: 11
hLwLQkacgeffggjgjogkvc,gLLAQbcedeffxchkqkw,Face: 10
hLLMAkbcdeffgglsjpinhw,gLLAQbcedeffxchkqkw,Face: 9
hLwLQkacgeffggjgjogkvc,gLLAQbcedeffxchkqkw,Face: 8
hLLLQkbedeffgghqfuxbjj,gLLAQbcedeffxchkqkw,Face: 6
gLLAQbcedeffhgmfubr,hLLAAkbdedffggevtfanej,Edge: 9
iLwLMQcacgehfhghjgjolrqbe,hLLAAkbdedffggevtfanej,Face: 12
iLLLMQcbedehhghgedfdrvogr,hLLAAkbdedffggevtfanej,Face: 11
iLwMLQcacefhfhghngqotwxrf,hLLAAkbdedffggevtfanej,Face: 8
ivLLQQcddehfghghojfxeljro,hLvAQkbefefggglalmpifn,Face: 14
iLwLMQcacgehfhghjgjolrqbe,hLvAQkbefefggglalmpifn,Face: 12
iLLvQQccdhghhfgglkalnkfws,hLvAQkbefefggglalmpifn,Face: 6
iLvLQQcbehfeghghtatutggjo,hLvAQkbefefggglalmpifn,Face: 4
iLLvQQcbeefghghheddaursfb,hLLAMkbdedfggglfavpiim,Face: 14
iLLLMQcbedehhghgedfdrvogr,hLLAMkbdedfggglfavpiim,Face: 12
iLLvQQcbeefghghheddahrwfj,hLLAMkbdedfggglfavpiim,Face: 9
iLLLQPccddfgfghhtfvdgoclj,hLLAMkbdedfggglfavpiim,Face: 6
iLLALQcbdedfhghhlfavnxvhd,hLLAMkbdedfggglfavpiim,Face: 4
gLLAQbcedeffxchkqkw,hLLMAkbcdeffgglsjpinhw,Edge: 14
iLwMLQcacefhfhghngqotwxrf,hLLMAkbcdeffgglsjpinhw,Face: 12
iLLzPQccdeghfgghpgalgfbrr,hLLMAkbcdeffgglsjpinhw,Face: 8
iLLLQPccddfgfghhtfvdgoclj,hLLMAkbcdeffgglsjpinhw,Face: 7
iLLMLQcbcefhfhhglsqmcfskn,hLLMAkbcdeffgglsjpinhw,Face: 6
iLLAPMcbddefgghhevjpofgqw,hLLMAkbcdeffgglsjpinhw,Face: 5
gLLAQbddeeffmkcdtvr,fLLQcacdeeenkamkf,Face: 10
gLLAQcedeeffiivpxtk,fLLQcacdeeenkamkf,Face: 9
gLLAQbddeeffmvndtvr,fLLQcacdeeenkamkf,Face: 7
gLLPQcdefeffpgaxmdj,hvLAQkcefgefggwvpdoemo,Edge: 10
iLvLQQcbdfeghhghlfatwjrfv,hvLAQkcefgefggwvpdoemo,Face: 12
iLvAMQccdfghfghhqvqdwjjos,hvLAQkcefgefggwvpdoemo,Face: 7
ivLLQQccdfggfhhhbredadmog,hvLAQkcefgefggwvpdoemo,Face: 4
iLvLQQcbdeghfghhafplvwjkn,hvLAQkcefgefggwvpdoemo,Face: 3
iLLLMQccdeffghhhhftakkffj,hvLAQkcdfegfggffafuimv,Face: 12
ivLLQQccdfghfghhbcqtmqtgs,hvLAQkcdfegfggffafuimv,Face: 8
ivLLQQcddehfghghojfxeljro,hvLAQkcdfegfggffafuimv,Face: 4
iLLvQQccdehfhgghqgpabrbwb,hvLAQkcedfggfgwvnuiptc,Face: 5
iLvLQQcbdfeghhghlfatwjrfv,hLLLQkcdfeggfgucexujkf,Face: 14
iLLPzQccdefghhghtcaehihou,hLLLQkcdfeggfgucexujkf,Face: 13
iLLLPQccdehghhggqgidssvvo,hLLLQkcdfeggfgucexujkf,Face: 12
iLvAAQcbeffgghhhlalexsnnw,hLLLQkcdfeggfgucexujkf,Face: 10
iLwLMQcacefhghghjgggdrubq,hLLLQkcdfeggfgucexujkf,Face: 5
iLwwPQcacdghfhghjghxivuxg,hLLLQkbedgffggmiflenng,Face: 12
iLLLPQcbddfghghhmknnnkvcw,hLLLQkbedgffggmiflenng,Face: 11
iLLvQQcbeefghghheddaursfb,hLLLQkbedgffggmiflenng,Face: 8
gLLAQbcedeffxchkqkw,hLwLQkacgeffggjgjogkvc,Edge: 10
iLvAMQcadfehghghjaqcqsuoh,hLwLQkacgeffggjgjogkvc,Face: 12
iLwwPQcacdghfhghjghxivuxg,hLwLQkacgeffggjgjogkvc,Face: 11
iLLAMPccedefgghhhavuqwgan,hLwLQkacgeffggjgjogkvc,Face: 9
