id,oriented,tetrahedra
eLMkbcdddhhhml,1,4
fLLQcbcdeeehgrxux,1,5
fLLQcbcdeeexcrulq,1,5
gLLMQbcdeffflsfiion,1,6
gLLAQbcedeffhgmfubr,1,6
gvLQQcdefeffjfctjmi,1,6
gLLPQcdefeffpgaxmdj,0,6
gLLAQbcedeffxchkqkw,1,6
hLLAAkbdedffggevtfanej,1,7
hLvAQkbefefggglalmpifn,1,7
hLLAMkbdedfggglfavpiim,1,7
hLLMAkbcdeffgglsjpinhw,1,7
fLLQcacdeeenkamkf,1,5
hvLAQkcefgefggwvpdoemo,0,7
hvLAQkcdfegfggffafuimv,1,7
hvLAQkcedfggfgwvnuiptc,1,7
hLLLQkcdfeggfgucexujkf,1,7
hLLLQkbedgffggmiflenng,0,7
hLwLQkacgeffggjgjogkvc,0,7
hLLAMkcedefgggqavptwsr,0,7
hLvAQkadefggfgjaevvjrj,1,7
hLLLQkbedeffgghqfuxbjj,1,7
iLwLMQcacgehfhghjgjolrqbe,1,8
iLLLMQcbedehhghgedfdrvogr,1,8
iLwMLQcacefhfhghngqotwxrf,1,8
ivLLQQcddehfghghojfxeljro,1,8
iLLvQQccdhghhfgglkalnkfws,1,8
iLvLQQcbehfeghghtatutggjo,1,8
iLLvQQcbeefghghheddaursfb,0,8
iLLvQQcbeefghghheddahrwfj,0,8
iLLLQPccddfgfghhtfvdgoclj,1,8
iLLALQcbdedfhghhlfavnxvhd,1,8
iLLzPQccdeghfgghpgalgfbrr,1,8
iLLMLQcbcefhfhhglsqmcfskn,1,8
iLLAPMcbddefgghhevjpofgqw,1,8
gLLAQbddeeffmkcdtvr,1,6
gLLAQcedeeffiivpxtk,1,6
gLLAQbddeeffmvndtvr,1,6
iLvLQQcbdfeghhghlfatwjrfv,0,8
iLvAMQccdfghfghhqvqdwjjos,0,8
ivLLQQccdfggfhhhbredadmog,0,8
iLvLQQcbdeghfghhafplvwjkn,0,8
iLLLMQccdeffghhhhftakkffj,1,8
ivLLQQccdfghfghhbcqtmqtgs,1,8
iLLvQQccdehfhgghqgpabrbwb,1,8
iLLPzQccdefghhghtcaehihou,1,8
iLLLPQccdehghhggqgidssvvo,1,8
iLvAAQcbeffgghhhlalexsnnw,1,8
iLwLMQcacefhghghjgggdrubq,1,8
iLwwPQcacdghfhghjghxivuxg,0,8
iLLLPQcbddfghghhmknnnkvcw,0,8
iLvAMQcadfehghghjaqcqsuoh,0,8
iLLAMPccedefgghhhavuqwgan,0,8
iLvAMQcadfehghghnaqcqsaoh,0,8
iLvAMQcadfehghghnaqclkhkd,0,8
gLLPQceeffefhaulahx,0,6
iLLLMQcbceghhhggajpajvwsb,0,8
iLLALQcbdeehgghheveevrkbg,0,8
iLLLAQcbefgfghhhaamlibwoc,0,8
iLvAAQcadefghhghnapvjqijx,1,8
iLvLQQcaeghffhghnxgbfgwbo,1,8
iLvAMQcadfghgfhhnaqfqskah,1,8
iLLLQPccdegfgghhqsudlvjhj,1,8
iLLMLQcacdegghhhnkakqahpv,1,8
iLLMLQcccdffgghhtnkhncvqk,1,8
iLLLMQcacfghghghnkgoiopgu,1,8
hLvAQkbeffgefgmexaaxsr,1,7
jLLwMAQcedfhfghiiqtvawvbgaj,1,9
jLwLwQQacgehghiiijgjbafammo,1,9
hLLAPkaedefgggndaurpqm,1,7
jLMLLPQacdfggiihijgdjaeacwv,1,9
jLLLAPQcedfgghhiiiifapsmhbk,1,9
jLLLAAQcegfghfhiiiimamjsoqs,1,9
jLLLAAQcegfghfhiiiimamjfohs,1,9
jLvAMAQadfegghhiijatcjspasj,1,9
jLLMzAQacdegghhiinkaciaufjs,1,9
jLLMLAQacdefghhiinkacsaufew,1,9
hLvAQkbeffeggglalaxibb,1,7
jLLwPPQcedhfgihiihlvqgolcde,1,9
jvLALQQcedhgighiibvfmifsssf,1,9
jLLLLQQbdghgiihihevtbrvvvov,0,9
jLLLLQQbcfiifhihhlstbjssgfg,0,9
jLLvQAQcdhfhhggiilkatnkwwqj,1,9
jLvLQPQcffehgihiildddlfhwha,0,9
jLLLLQQbdefiighhitfmgjrcsbo,1,9
jLvLAQQbefhgihgiitmapgjnvvw,1,9
jLLvMQQbeefgghiiimiilbovrfg,0,9
jLwMLPQacdfghiihijghjitugnj,0,9
jLLLAPQbddgfihhiimvwhnheein,0,9
jLLAwAQcedefhgiiiuavpapcufw,0,9
jLLPLAQcdefhfgiiitwapwbkppu,0,9
jLwMLPQacdfghiihijghjitevnk,0,9
jLLLAPQbddgfihhiimvwhnteeif,0,9
jLLALPQcedegighiipavubdochm,0,9
jLLLPMQcddhgfhhiitfvsgnfshr,0,9
jLLLPPQcddhggihhitfvsgshfsj,0,9
jLLLPPQbcfegghhiiecxejkwwen,1,9
jLLLPPQcddghiihhitfvgkhifbl,0,9
jLLALPQbdedfihihilfavnhhtdw,1,9
jLvLAQQceghifghhihpaufcnsfr,1,9
jLLLMPQccfehighhitnaxsxggnj,0,9
jLvAMAQbefeghghiilalxxwnnhw,1,9
jLLLLQQcceghhghiitnanbbbjkr,0,9
jLLLPQPcdffhgfhiiufddjwrclj,0,9
jLLLLQQacfihhgiihnkgmamrllq,1,9
jLLLAMQcdfgfghhiiufdudwmukk,0,9
fLAMcbccdeemejdqn,1,5
hLvAQkaefgefggnlqoofww,1,7
hLLLQkbdefffggmkdqasvr,1,7
hLLAMkbdeeffggmvehankk,1,7
hLLAMkbdeeffggmvueanbr,1,7
hLLAPkaedefgggndquread,1,7
hLLLQkbdefffggmvdqajvr,1,7
jLvALQQcdegihghiiuruvowgrnc,0,9
jLwLAPQacgfeihihingjgbihuxr,0,9
