id,oriented,tetrahedra
eLAkbbcdddhwqn,1,4
fLAMcaccdeengbaqw,1,5
fLLQcacedeenkemsr,1,5
eLAkaccddnsnqj,1,4
gLLAQbcedefftsaflow,1,6
gLLAQacdeeffnkairqj,1,6
fLLQcacdeeenkdlco,0,5
fLLQcadedeejulpxv,1,5
hLLMMkbceefgggebhtacsr,1,7
hLLAAkbcedffggtsafhgpn,1,7
hLLMAkacdeffggjkacvkqj,1,7
hLLMPkacdeffggjkacbwmr,1,7
gLLMQbcdefffebbptkj,0,6
gLLAQccdeeffakvhucr,0,6
gLLAQaddeeffjuapfoj,1,6
gLLMQacdfeffjrhccjk,1,6
iLLALQccdedfghhhuchvnjhtd,1,8
iLLLMQccdefgfhghhslarforr,1,8
gLLAQbcedefflsajljj,1,6
iLvAQMccdcefgghhqvjqnvwqj,1,8
iLLAMMcaedeffghhnxahrwqqj,1,8
hLLAPkbddefgggtvnlnvww,0,7
hLLAMkbdedfgggevisleup,0,7
hvLAQkdedfgfggwvkiqiqv,0,7
hLLAMkbeedffggaapwabnk,0,7
hLLAPkbdecfggglvanjrsc,1,7
hLLMMkacdeffggjkacvkqj,1,7
hLLLQkaedfefggnxugwojk,1,7
hLLLQkcddefgggpkrdcvrc,1,7
hLLAMkbcedffggtsafhwik,1,7
jLLALQPcdedfhghiiuchvnmvqon,1,9
jLLAzAQbecdghghiihhrsoajask,1,9
fLLQcbecdeexxwsip,1,5
hLLAAkbddeefggevnmhkqj,1,7
jLLPLAQcdcfhfghiihsrahfodbr,1,9
jLLLMMQbedgghighihhfhvrhjwr,1,9
iLLLPQcccfgfghhhakamjkbwn,0,8
iLLAwQcbdedfhghhdvawxaann,0,8
iLLLMQcbedeghhghaafdsowgw,0,8
gLLMQbeefeffhhaimmx,0,6
iLLAwQcbddefhghhlvkhqpdko,0,8
iLLvQQccdhegfghhpwulwrono,0,8
ivLLQQccdhegfhghfvdbaqgrb,0,8
iLLLMQcbedgffghhaaflssook,0,8
gLLAQbdeeeffxsuxaxk,1,6
iLLLAQcadefeghhhnmxgcoxpe,1,8
gLLMQacdfeffjkaggjg,1,6
iLvAQPccdcefgghhqvjqnvwqj,1,8
iLLvQQccdfhefhghhsaerfkrj,1,8
iLLLMQccddfhfgghhsfahffrw,1,8
iLLAzQccdedgghhhuchvsjixi,1,8
kLLALAMkcdedhghiijjuchvhjepbjn,1,10
kLLAzAAkbecdgghhijjhhrsogitsxk,1,10
gLLQPcdcdeffhssnpqj,1,6
gLLPQaceffefjkakjjj,1,6
iLLAAMcbdedffghhlkawxraqj,1,8
jLLLwQQccfgifhihiakaixssqke,0,9
jLvAMPQcdegfihihiaveicivqkt,0,9
jLLzLQQccdhfgihiiakncfvhrmm,0,9
jLLLMPQbddgghigiihvfhjaajww,0,9
jLLMPLQbdedgfhiiiaspfkviuwf,0,9
jLLvAQQbefgifhihiaaqlssvfjv,0,9
jLLAwAQbdedfhgiiievislipaee,0,9
jLLAPzQbddefghiiitvnlnvaaww,0,9
hLLLQkbdfegfggtvqhmjjn,0,7
hLLAMkbdedfgggevdsamdi,0,7
jLLALAQbddegghiiilvkhjkddvc,0,9
jLLvQMQcdhghgiihipwupffitnd,0,9
jLLLLQQcdfihghgiiqgebgfvfrk,0,9
jLLLMAQcdgffehiiiaraajjoamm,0,9
hLLAAkcdceffggiokmlwiw,1,7
hLLLQkbddgfggfdvflwjrj,1,7
hLvPQkafegefggjqxgjfwn,1,7
hLLAPkaeddfgggntaljede,1,7
jLLLQLQbdegefiihihvxhxcamrn,1,9
jLvAAPQbeffggiihihupiaoqewe,1,9
hLLAAkcdceefgguosxdfqj,1,7
jLLPLQPcdcfhfghiihsrahfodbr,1,9
jLLAzMQcdedghghiiuchvsdvakj,1,9
jLLALPQbecdghghiixxnjoqjqjw,1,9
jLLAzQPccdeghggiihkvafdcohr,1,9
jLLLAAQbedefghihixxfuxjixnk,1,9
hLLPAkbdedefggeveblnxn,1,7
hLvPQkccgfefgghrahlsfw,1,7
hLLzQkaceeffggjkackvqj,1,7
jLLPvQQcdcfghiihihsraoeuuiv,1,9
kLLLwPQkcdfejghjiijqgemmfrahhv,0,10
kLLvAPQkcdfhfhihjjjhsaefkajarr,0,10
kLLLLAQkbedfghjijijaafjsnmftoq,0,10
iLLLMQcccfgfghhhakairkffn,0,8
kLLAvPQkccedgihjjijakxnoxahwbg,0,10
kLLLAPPkbdegeghijjjxsltlomwvbb,0,10
kLLALMPkccedfhijijjakxnceaxvcf,0,10
iLLALQcbddeghghhxrrxblflu,0,8
kLLLMzQkbedegghijjjaafdsofelcs,0,10
kLLvLQQkbeefihihjjjaaisnvnjgjg,0,10
iLLwQPcbeeefghhhhhammuaii,0,8
kLLvzQQkbehffiihjjjaaassnnwvkk,0,10
kLLAwAMkbdedfhgijjjdvawxaaaann,0,10
kLLLvQQkbedjhiijjhiaafawwollcb,0,10
iLLLMQcbdfefhghhtvmhvnksg,0,8
iLLALQcbcdeghghhdfbmkhcmh,0,8
iLLLMQcbcfgfhghhdfpagokww,0,8
iLLLMQcbddgfhhghdvflfdegq,0,8
kLLALPMkbcedfhihjjjebdkkmxuvgw,0,10
kLLLLAQkbcfhigghjjjdfpokkvftmu,0,10
kLLLvQQkcdfgfhjhijjqgebfvpjkhd,0,10
kLLLwMQkbedgigjhhjjaaflaoaokss,0,10
iLLvQQcacegghhhgjkjkjxadv,1,8
iLLMAMcbdedffghhpsabeniqj,1,8
iLLPLQcacffhgfhhjkigmakcw,1,8
iLLvQQccdeffgghhtoilbbbnr,1,8
iLLPLQcacfffghhhjkignaucw,1,8
iLLLMQccddfgfghhprfajffqj,1,8
iLLPLQccbeefhghhtjmqgwovc,1,8
iLLvQQcacefghhghnkcsjuavd,1,8
iLLLAQcceedfghhhulmjqnlum,1,8
kLLLMPPkacfehighjjjjkgjmpvmfwg,1,10
kLLLAAAkbdeefghhijjxrqqxouqoxn,1,10
kLLLLAQkcdegfhjhjjihslsfvacuur,1,10
iLLMMMcbdedffghhtnavpwaxn,1,8
iLLLAQccdffghgghdvlaexwwn,1,8
kLLALwQkcdedhgjhjjiuchvhjpdrkj,1,10
kLLALAAkbecdfghhijjhhrsjgpefxk,1,10
iLLMAMcbdefefghhpfalqltqj,1,8
kLLLMMMkbdgffhigjjjlvxxgrlkqcn,1,10
iLLPAMccdfeefghhuoiiixtxn,1,8
iLLPMMccdefffghhdvalarrqs,1,8
iLvAQPccdcefgghhhvravvwqn,1,8
iLLzPQccdcgfhghhhsrjvovoo,1,8
iLvPMQcccgehfghhqjadwgros,1,8
iLvMQMcbefefgfhhpamtmicxn,1,8
iLLAMMccedeffghhhqvtpkgqj,1,8
iLvPMQcccfehgghhqjdewssrr,1,8
gLLAQbdceeffdonxdon,1,6
kLvzMMQkccfhihjhjijhrhncblvakh,1,10
jLLwPPQbdehfgiihiaspqsohpox,0,9
jLLLLQQbddfhgiihiasfssohlop,0,9
jLLLAMQcddeggihiihsfpgnalkk,0,9
jLLALMQccdegghiiiivvxokxdoo,0,9
jLLLQzQbddgfghiiidvflwjmarr,0,9
jLLMLMQccdfhfhiiiakvidwixdj,0,9
jLLAwAQbdedfghiiievdsadmamm,0,9
jLLLAMQccffgghiiiqfadqfdiov,0,9
jLLAPLQbcdefgihiidfbmwkamro,0,9
jLLLLQQcddifhghiilgfpfvvbux,0,9
jLLAPLQbcdefghiiidfbmbkaljb,0,9
jLLAvQQbcdeihgihidfbmhlotlg,0,9
jLLLzQQcddhfigihitgfsfuvhfm,0,9
jLLPLPQbceffihhiidfmpgmvclh,0,9
jLLLMMQcddefhiihitgfdfihppf,0,9
jLvAAQPbfeegfghiimdqiabscqj,1,9
jLLLwQQcdffghhihidvlajogafn,1,9
jLLLAAQccfegghhiidwaexweurj,1,9
jLLLLQQacfghfgiiijkgjaksdjb,1,9
jLLzMQPccdfgfghiidwkuofbahw,1,9
jLvAMPQcdcfghiihihvrdgpxlin,1,9
jLLPPPPccdffgghiidwotrwfxqj,1,9
jLLzLQQacfhifghiijkitikaofg,1,9
jLLAPLQccedfgiihidwxkortqsw,1,9
jLLvAQQacefhighiijkjcxlgxxv,1,9
jLLzwQQacfehghiiijkichaqckk,1,9
jLLvMQQcdfgfiiihhtohgsrsnnr,1,9
jLLMvQQcdcfghghiiiokaoxchsw,1,9
jLLMPLQbdedfghhiihoafojhusk,1,9
jLLAPLQccedgfiiihdwxvbcuqkj,1,9
jLLLAPQcddeghihiitgfdbatmmn,0,9
jLLMzPQacdffgihiinkxcjpbcof,1,9
jLLwPPQacdfhgiihinkxjaxqjof,1,9
jLLzPPQacefhgiihinkxsaaxvvf,1,9
jLLPzPQcdcfghiihihsrawtaalv,1,9
jLvzMQQccfifghhiihrhwbfbvkr,1,9
jLLLQMPbdefgfghiimvpahknxqj,1,9
jLLLAQPccfgegghiidwatawraxn,1,9
jLLLPMQbedhghighipdfpsgqjbj,1,9
jLLvQQPcdhggffgiitkahgkffhw,1,9
jLvALQQcfeghifhiitqalnbsnfg,1,9
jLvzMQQccfghiighiqjpksckbvo,1,9
jLvPMAQccgefghhiiqjaikfgolw,1,9
jLvPMPQccgehighiiqjadslvfaa,1,9
jLLLPMQbedhhgighipifpfwhcjr,1,9
jLLLMAQbdeffhhihimvpakvcxok,1,9
jLLLMMQbdegghihhimvtavvhfwr,1,9
jLvPMPQccefhigihihruhbhbuka,1,9
jLvPLQQccehgihgiihrucowcbor,1,9
jLvzAQQccfeghihiihrhlfwhvhu,1,9
jLvzMQQccegfhihiihrmvrwcvgv,1,9
jLvPLQQccefhgiihihrecjffgjb,1,9
