id,oriented,tetrahedra
eLAkbccddhhnxr,1,4
fLLQcacdeeenkexbn,0,5
fLLQcadedeejmllpw,0,5
fLLQcbcdeeedfbiha,1,5
gLLMQbcdefffebbmicw,0,6
gLLQPcdcdefftgrfmqn,0,6
gLLAQbcedeffasxfasw,0,6
gLLMQbcdeffflsbhtcr,0,6
gLLAQccedeffqgifqsn,0,6
gLLAQaddeeffnidpcoj,0,6
gLLAQbdedffflvarxok,0,6
gLLAQbcedeffajhfajn,0,6
gLLPQcdefefflgatmxj,1,6
gLLAQbdedfffdwaslkn,1,6
hLLMMkbceefgggasxdabbc,0,7
fLLQccecddehhrwwn,1,5
hLLAAkccdeefggakvhqvxr,0,7
hLLAAkbcdeefgghfreeohs,0,7
hLLAMkbeedffggaaekawnk,0,7
hLLLQkcddegfgglgfdbfgg,0,7
hLLAMkbdedfggglrasllle,0,7
hLvAQkbeffegggdddeemwc,0,7
hLLAPkbcdefgggdfbxoccv,0,7
fLLQcacdedejsaajk,1,5
hLLAPkbdecfgggtvangrsw,0,7
hLLLQkbdeeffggtviipgok,0,7
hLLAPkccdegffgakvhvvnj,0,7
hLvAQkbeffegggtaladmvj,0,7
hvLAQkcedgffggfsfhxxuf,0,7
hLLLQkbdfegfggdvhthgsg,0,7
hLLAMkadedfgggjmllnapp,0,7
hLvAQkbefegfggedelptbc,1,7
hLLLQkbedgffgglmfulgww,1,7
hLLAPkbddegfggevoprgfk,1,7
hLLLQkbdgefgfgevmtmssw,1,7
hLLAPkbcedfgggtsxfjjsj,1,7
iLLAwQcbdedfhghhdwaslaakk,0,8
iLLLMQcbedeghhghaafmjrcgc,0,8
iLLAMMcbeedffghhaapkabcqn,0,8
iLLLMQcbedgffghhaafhjjook,0,8
iLLAzQccddefhghhhrraotghi,0,8
iLLLMQccdefgfhhhacpabfnvo,0,8
iLLLAQcbedefghhhaafmereim,0,8
iLLLMQcbedfghghhdtfhvcojv,0,8
iLLAPPcceddfghhhpqvnnvetd,0,8
iLLAPPcbdedgfghhlrasjvsps,0,8
iLLAzQcbdedfhghhlrascqshx,0,8
iLLLPQcbcfefhghhtsmagsvrk,0,8
iLLvQQccdhgggfhhuwuujnfbf,0,8
ivLLQQcddehfghghrwfedlbrv,0,8
iLLALQcbdedfhghhhoafvmwxm,0,8
iLLAwQcbddefhghhxvrxpltcv,0,8
gLLAQcddefefpfvxmrr,1,6
