target,source,label
fLLQcbcedeehgmftu,eLPkbcddddcwjb,Face: 8
fLLQcbcdeeemgnhdp,eLPkbcddddcwjb,Face: 6
fLLQcbcdeeedfbaxu,eLPkbcddddcwjb,Face: 2
fLLQcbcdeeedowaxu,eLPkbcddddcwjb,Face: 1
gLLPQccdfeffhggaaof,fLLQcbcedeehgmftu,Face: 7
gLLAQbdedfffdwmfarj,fLLQcbcedeehgmftu,Face: 5
gLLAQbdeefffmkueean,fLLQcbcdeeemgnhdp,Face: 9
gLLAQbdeefffmkehman,fLLQcbcdeeemgnhdp,Face: 8
gLLPQcdeffefigpuamc,fLLQcbcdeeemgnhdp,Face: 7
gLLMQbddefffmfnmlbk,fLLQcbcdeeemgnhdp,Face: 6
gLLMQbdedfffmfuklbk,fLLQcbcdeeemgnhdp,Face: 5
eLAkbccddmejdj,fLLQcbcdeeedfbaxu,Edge: 10
gvLQQcdefeffkwfhcmh,fLLQcbcdeeedfbaxu,Face: 8
gLLMQbdeefffmvuxaqr,fLLQcbcdeeedfbaxu,Face: 2
gLvQQbefdfefmexnaxs,fLLQcbcdeeedowaxu,Face: 10
gvLQQcdefeffjffdjuu,fLLQcbcdeeedowaxu,Face: 6
gLLMQbdeefffmkuxaqb,fLLQcbcdeeedowaxu,Face: 2
hLLAPkbcdefggglsfxjjvc,gLLPQccdfeffhggaaof,Face: 10
hLLAPkbcdefggglsfxjjvc,gLLAQbdedfffdwmfarj,Face: 9
hLLMMkcedffgggiivimjro,gLLAQbdedfffdwmfarj,Face: 6
hLLzQkcdegfgfguguldvff,gLLAQbdedfffdwmfarj,Face: 5
hLLMMkbcdeffggtsfiinhj,gLLAQbdedfffdwmfarj,Face: 2
hLLAPkcddegfggusvdsfjn,gLLAQbdeefffmkueean,Face: 12
hLLAPkcddefgggusvufojn,gLLAQbdeefffmkueean,Face: 11
hLLLQkbdffgfggxvuuqsvg,gLLAQbdeefffmkueean,Face: 6
hLLAPkbdeegfggmkueqnno,gLLAQbdeefffmkueean,Face: 1
hLLLQkbdeffgggmkmuibko,gLLAQbdeefffmkehman,Face: 12
hLLLQkcedgefggiifxtsco,gLLAQbdeefffmkehman,Face: 11
hLLAPkcedefgggiikdavgn,gLLAQbdeefffmkehman,Face: 6
hLLAPkbdeegfggmkehqnog,gLLAQbdeefffmkehman,Face: 1
hLLLQkccegffggdweptwos,gLLPQcdeffefigpuamc,Face: 12
hLLLQkccefgfggdwddponn,gLLPQcdeffefigpuamc,Face: 11
hLLzQkcdfgefggdrpdtfoo,gLLPQcdeffefigpuamc,Face: 6
hLLzQkcdegffggdkamtkwk,gLLPQcdeffefigpuamc,Face: 5
hLLAPkcddegfggusvdsfjn,gLLMQbddefffmfnmlbk,Face: 11
hLLLQkbdeffgggmkmuibko,gLLMQbddefffmfnmlbk,Face: 10
hLLLQkccegffggdweptwos,gLLMQbddefffmfnmlbk,Face: 9
hvLPQkcdegfgfggsfllaqf,gLLMQbddefffmfnmlbk,Face: 5
hLLLQkcdfeeggghriuagcb,gLLMQbddefffmfnmlbk,Face: 1
hLLAPkcddefgggusvufojn,gLLMQbdedfffmfuklbk,Face: 11
hLLLQkcedgefggiifxtsco,gLLMQbdedfffmfuklbk,Face: 10
