id,oriented,tetrahedra
eLMkbcddddxqpe,1,4
fLLQcbddeeexnrxad,1,5
fLLQcbcdeeeljklla,1,5
fLLQcbcdeeetsreae,1,5
gLLMQbdeefffevdmpik,1,6
gLLPQccdefffqffetwf,1,6
gvLQQcdeffefffjexru,0,6
gLLAQccdeeffpwvlqkw,1,6
gLLAQbcedefftsxfaor,1,6
hLLLQkbcfggfgflsuaujgs,1,7
hLvAQkbeffgegghaplalsc,1,7
hLLAMkcddeffgghcvahwxj,1,7
fLLQcbcdeeetscllt,1,5
hLLPAkccdfefggqffaanhj,1,7
fvPQcceddeeksfvvf,1,5
hvLAQkcdefgfggjgotaehj,0,7
hLvMQkbfdgegfgadfelkfj,0,7
hLvAQkcdefggfgavxexccr,0,7
fLLQcacdeeenkadwo,1,5
fLLQcacdeeenkaisr,1,5
iLLLPQcbcfehghghlsutcjwff,1,8
iLLLPQcbcefhghghlsxabgcvf,1,8
iLLLPQcbcgeffghhlsptjsvsj,1,8
iLvAQMcceeegfghhhpupuqrin,1,8
iLLLMQccdfghhfghqcedsrfjr,1,8
iLvLQQcbdefghghhxfttvvkko,0,8
gvLQQcdfeeffwolfceu,0,6
gLLPQbdedeffdwdflrr,1,6
gvLQQcdfeeffwjlfjlu,1,6
ivLAMQcceffghghhwvldlmlsr,0,8
iLLLMQcbedgfhhghaaferwknf,0,8
iLvLQQcceghffghhauaudjsok,0,8
gLLPQcefefefahmuamx,0,6
iLvMMQccdfghghhgqvmpckcjk,0,8
gLLAQccedeffqfiwqsj,1,6
gLLQPacedeffnkteftw,1,6
gLvQQaefdeffnhqmbrs,1,6
gLLQPacedeffnkemshr,1,6
gLLAQcedeeffhpvdiqr,0,6
jLLLPAQccefghgiiitnxxkwnlem,1,9
jLLLLQQccefghihiitnxcnccnnv,0,9
jLwMLPQacefghiihingqjmdxwfj,1,9
hLLLQkcdffgfgglcqalrbn,1,7
jLLLAPQbcegfihhiilsxaahhhhf,0,9
jLwwMPQacefghiihingqcaptcjk,1,9
hLvAQkbeffgefgdapehhcj,1,7
jLvAMAQcdfgefhhiihvuuscfglw,1,9
jLLLMMQccfgfgihiiqfaaofafdl,1,9
jLLLMMQbceghfgiiitseajsvhqh,1,9
jLvLAQQbdeghhigiixftmvfdfat,0,9
jLvAAPQbfeeggihiihlleafxcqq,0,9
fLLQcbcedeednarmd,0,5
hLvMQkbfdgegfgaefitvfo,0,7
hLvAQkcdefggfgavetmwgw,0,7
fLLQcaddeeejuapxf,1,5
fLLQcbcdeeehvnmqm,1,5
hvLAQkcdfegfggncqcamig,1,7
jLvLMQQbdeigghihiafesckrbos,0,9
jLLLwQQbedgihgihiaafiafjqcq,0,9
jLLvAQQbefhghgiiiaaqawobofc,0,9
jLLLwQQbedgigihhiaafeakdwrl,0,9
hLLzQkcdfgefggarmepjrr,0,7
jLLLMAQbcfghgfiiilsuaggsupp,0,9
fLLQccecddepqrwwn,1,5
hLLAMkcedefgfgqpvtawnj,1,7
hLLLQkbcfgegfgebpahffc,1,7
hLLAAkcedeffggptvauixj,1,7
fLLQccecddehqrwjn,1,5
hLLMAkacdeffggjkackgqj,1,7
hLLLQkbcfgffggebpaessk,0,7
hLLAAkccdeffgglnnqhodj,0,7
hLLAMkbeedffggeadsmsrj,0,7
kLvAMPAkcdfghgigijjpvhusoljtfj,1,10
kLLLMAPkccfgfghjijjqfaaoffqakj,1,10
kLLLPPPkccfggfhjijjtndlkfklmgn,1,10
kLLLvQQkccegjihjijitnxnxsbdnic,0,10
kLwwLPQkacehhgiijjjngqmxxxcgwg,0,10
kLLLLPQkbcfhgjghijjlsucjhffctt,0,10
iLLLAQcbcgfehhghtsmutitvp,1,8
iLLPPPccdefegghhukuxpojtw,1,8
iLLLPQcbcfgfhhghdfpxgwovv,1,8
kLLLzPQkccfejhijhijtnaaawutkev,0,10
kLwwPwQkacefghijijjngqvllccccv,0,10
kLLLPLQkbdefhihjjijevtpvaollac,0,10
iLvAQPcadffegghhjaqswjvej,1,8
kLLLwPQkcdefjhihjijhclaaoareuv,0,10
kLLzLQMkccdhfgihjjjqffcfvhfakc,1,10
iLLvQQccdehgfghhhrxhggwoo,1,8
kLLvLQQkcdjjfhijhiihrssfwrsosr,0,10
kLLLzAQkcdegfhjhijjhcltfvhklbb,0,10
kLLLLMQkbedgfhjhijjaaffffqoote,0,10
gLLAQbcedfffdnqohck,0,6
gLLMQbcdeffflsbhusk,0,6
gLLPQccdefffljnepwk,0,6
gLLAQbdeefffevdhmtv,0,6
iLLLMQcbedgfhghhaafijjbfc,0,8
iLLLMQcbceghfhghasdaoskvc,0,8
iLLLMQcccfghgfhhakaijkfok,0,8
gLLAQceddefftqvnecr,0,6
gLLAQadedeffjulpvfj,1,6
gvLQQcdefeffbwrpfxd,1,6
gLLPQccdefffhkgmuoj,1,6
gLLAQbcedeffhvdfpvk,1,6
gLLMQbcdeffftkbhisb,0,6
ivLLQQccdhegfhghbkdbaxgwb,0,8
kLLLLPQkbedgjghijijaafwuofnifa,0,10
iLLLQPcbefgfghhhaaqlquadq,0,8
kLLLwAQkbedgihghjjjaafeaknfhrr,0,10
kLLvAPQkbeghjigijjiaalaasooquc,0,10
kLLvAPQkbefhjigjhijaamaafwtbkl,0,10
kLvMPPMkbeffeihiijjaqppppgutlj,0,10
gLALQbcbeeffxxjgbxk,1,6
gLvQQcdcfeefhrnqhrj,1,6
iLLALQcbdcegfghhxvwxvwchk,0,8
iLLLAQcccfeehhghubadhdmkm,1,8
iLLAwQcbdeefgghhxvtxafciw,0,8
iLLAwQcbdeefhgghevdpaucwr,0,8
iLLALQcbdcefgghhlvwqvcrij,0,8
iLLALQccdeefghhhlgpuocvgc,1,8
iLLAwQcbdeefhgghdwalahcwn,0,8
iLLLMQcbdggfgfhhhglhjbkon,1,8
iLLLMQcaeffgfghhjiegjvbmk,1,8
gLALQbcbeeffxxjsbxr,1,6
gLLAQccedfeftnhcqwn,1,6
iLLMLQcacdefghhhjkanwalvg,1,8
iLLLQPccddegfghhlgfmwjfiw,0,8
iLLPMMcaceeffghhjrxwrrqqj,1,8
iLvLQQcbfefghghhxuluxgofn,0,8
iLLALQcbdeehgghhdwpicffoc,0,8
iLLALQccdedfhghhuchvnmvqd,0,8
iLLLAQcbddgfghghanktgrefs,0,8
iLLLAQcbeggfhhfhlaqdujjjr,0,8
jLLLPMQbddfhgiihidwfgwntafm,1,9
jLLLPMQccfgghihiitnaljfajha,1,9
jLLLLQQbcffiggihitspgjbvnsc,1,9
jLLLAPQbcfeghghiidfpqxavhok,1,9
jLvAPMQadfgfhiihinaqvgamtqs,1,9
jLLLLQQbcghifhgiilspsjswvob,1,9
jLLLMAQcbegfhghiipjqpgvowej,1,9
jLLvMQQcdfghfiihihcagwforwg,1,9
jLLLPMQccfgfgihiilnalonacah,1,9
jLvAAPQcdefghihiihvamhaxepk,0,9
hLLAPkbdedgfggevissrgs,0,7
hLLLQkbddgfgfglrfpjkkn,0,7
hLLAPkbcdefggglsbmbkjf,0,7
hLLAAkbdedffggevegajhr,0,7
hLLLQkcddfggfgprfajjff,0,7
hLLLQkbdeefggghoiidvvo,0,7
hLLAPkbdedgfggdvawvvnn,0,7
hLLPAkcefefeggulmmqmfr,0,7
hLLAMkcedefgggluwpiwcn,0,7
hLLAMkbddefgggxrrxaall,0,7
jLLLwQQbedgiihghiaafeapkwfi,0,9
jLLLwQQbedgiihghiaafiaekrft,0,9
hLLAAkbcedffggtsxjhcpk,0,7
hLLAPkceddggfgtavjjrkn,0,7
fLLQcacdedejbqqws,1,5
hLLLQkbcdgfgfgebnasswg,1,7
hLLMMkacdeffggjkackraj,1,7
hvLAQkcedfggfgkvbeiahk,0,7
hvLAQkcefefgggvkaciqxv,1,7
hLLLQkcdfeggfgpceeprkn,1,7
hvLAQkcdegfgfgvrbxmaab,1,7
hLLLQkccegffggqguatjkr,1,7
hLLAPkbcdefggglsbmbjcv,0,7
fLLQcacdeeejsaakn,1,5
hLvAQkadefggfgnaesvgbr,1,7
hLLLQkbdeeffggevqqpkok,0,7
hLvAQkbeffegggedeaumvg,0,7
hvLAQkcedgffggfsfuxxmf,0,7
hLLAPkbdedfgggdvxwcvkk,0,7
jLvLAQQcefhhggiiiapxpbfcsrn,0,9
jLLLPAQcdgefhhiiiarapjvvmmq,0,9
hLLMAkcbedffggpjaruodr,1,7
jLLLAPQadgfeigiihnhtggtgtgn,0,9
jLLAvQQbdceiggihilvrxlcvljb,0,9
jLLLwQQacdehiggiinkwcptvjrj,0,9
jLLAwMQbdecfhghiievdnapssbw,0,9
jLLAwMQbdcefhgiiilvwqaljsfs,0,9
jLLPLPQccdfhihihiujvaeahath,1,9
jLLALPQbdeeggiihievdpnfedwd,0,9
jLLLAPQadgefhgiiinptcnxgifv,0,9
jLLAMLQbdeefghiiixvtxasqafr,0,9
jLLAzPQbdeeggiihievdpafllro,0,9
jLLLAPQadgeghgiiinumvfqohgn,0,9
jLLAzAQbdeeghgihihgalaqfeks,0,9
jLLAvQQbdeeghghiihgalkfvrtk,0,9
jLLzMPQcbefgghihipjddjjfxsk,0,9
jLLALMQbdcegghihilvwqrsahjk,0,9
jLLLLQQbcfhifggiitsisjsvwfc,0,9
jLLzPMQccdghhhgiiubgnbssshk,1,9
jLLALAQcdeegghiiilgpugsfhhp,1,9
jLLLPAQcceehgfhiiqfuqgfwkhw,0,9
jLLLwQQaeegifgihijixstroukb,0,9
jLLAzPQbdeeggiihidwalafllnk,0,9
jLLvMQQcbghfghiiipjukvvkcfo,1,9
jLLLMPQccgehifiihqfqighwdxw,1,9
hLALPkbcbegffghhjrqawk,1,7
hLLAAkacedefggnktxraqj,1,7
hLLPMkcdcfegfghrrqahkk,1,7
jLLLMMQcddefgihiilgfmjoqeoc,0,9
jLLMPMPbceefgghiiebhtiffehr,1,9
jLLALMQcdceghghiiawriwlnerr,0,9
jLLLLQQcdefigihhihftkosfcjg,0,9
