id,oriented,tetrahedra
eLAkbccddhhnxk,1,4
fLLQcacdeeejkexbn,0,5
fLLQcadedeejillxs,0,5
fLLQcbcdeeeebbqmd,0,5
gLLMQbcdefffdfbhisb,0,6
gLLQPcdcdefftgrfmqj,0,6
gLLAQbcedeffasxfasj,0,6
gLLMQbcdeffflsbhtsr,0,6
gLLAQccedeffqgifqsj,0,6
gLLAQaddeeffjidpcoj,0,6
gLLAQbdedffftvarxok,0,6
gLLAQbcedeffajhfajj,0,6
gLLPQcdefefflfmdxdc,0,6
gLLAQbdedfffevdsloj,0,6
gLLAQccdefffakvhqnc,0,6
hLLMMkbceefgggasxdabfc,0,7
hLLLQkbddfggfgajfpgkkr,0,7
fLLQccecddehhrwwr,1,5
hLLAAkccdeefggakvhqvxk,0,7
hLLAMkbeedffggaaekawnj,0,7
hLLLQkcddegfggtgfdbfgg,0,7
hLLAMkbdedfggglrasltth,0,7
hLvAQkbeffegggeeeaamvf,0,7
hLLAPkbdedfgggevlsfvbb,0,7
hLLAPkbcdegfggebblfrcv,0,7
fLLQcacdedejsaajj,1,5
hLLAPkbdecfggglvangrsw,0,7
hLLLQkbdeeffgglviipgok,0,7
hLLAPkccdegffgakvhvvnk,0,7
hLvAQkbeffeggglaladmvj,0,7
hvLAQkcedgffggfsfhxxaf,0,7
hLLAMkadedfgggnmllnapp,0,7
hLvAQkbefegfggdadxpmfb,0,7
hLLLQkbedgffgglifulgww,0,7
fLLQcbededexxjxsx,1,5
hLLAPkbddegfggevoprgrk,0,7
hLLLQkbdgefgfgevitmssw,0,7
hLLAPkbcedfgggajhfsssj,0,7
hLLLQkbedegfggaafdubfs,0,7
iLLALQcbcedghghhajhfjaoax,0,8
iLLAwQcbdedfghhhevdslddww,0,8
iLLLMQcbedeghhghaafmjrsgc,0,8
iLLAzQccddefhghhhwwaopgdi,0,8
iLLLAQcbedefghhhaafdewpeq,0,8
iLLAMMcbeedffghhaapkabcqj,0,8
iLLLMQcbedgffghhaafhjjooj,0,8
iLLALQcbcedghghhasxfsaoah,0,8
iLLAzQccddefhghhhrraotgli,0,8
iLLLMQccdefgfhhhacpabfnbo,0,8
iLLLAQcbedefghhhaafmereia,0,8
iLLLMQcbedfghghheifhsfojv,0,8
iLLAPPcceddfghhhpqvnnvdma,0,8
iLLAwQcbddefhghhlvkhqmdkr,0,8
iLLLPQcbcfefhghhlsmagsvrk,0,8
iLLvQQccdhgggfhhpwppgffvw,0,8
ivLLQQcddehfghghojfxdlbrv,0,8
iLLMwQcbcdefghhhebbuuaaww,0,8
iLvAMQccdfggfhhhavdibcovb,0,8
iLLLMQcbedeghhghaafdsgsgv,0,8
iLLALQcbdedfhghhhoafvmwem,0,8
gLLAQcddefefpgvxmrr,1,6
iLLLAQcccdeghhghubjlfiibt,0,8
iLLMLQcbdedfgghhlrafnbfij,0,8
iLvwQQcadefhgghhjajfjssoj,0,8
iLLLMQccefeggghhutdduckgs,0,8
iLLLMQcbedefhgghaafdbkork,0,8
ivLLQQcddehfghghojfxdlcfv,0,8
iLLLMQcbcgefhhghlsmdgwkvk,0,8
iLLLPQcceffhghghlppptgjjr,0,8
iLLvQQccdfgghfhhpwxpgnrvo,0,8
iLLLAQcbcffehghhebpqeaoll,0,8
iLLLAQcbegefghghaaxdxskck,0,8
iLLLMQcbedfgghghaafxssoos,0,8
ivLAPQcdedfhgghhrvvdaubbg,0,8
iLLzMQccdeggfhhhpfatorgfr,0,8
iLLLMQcbcgefhhghlsmhcwjvg,0,8
iLLLAQcbegfghfhheiquqbcfk,0,8
gLLAQbcdeffflsohqjs,1,6
iLLALQcbcdefghhhlsohsgiee,0,8
iLvLQQcbefghghghetaqekoww,0,8
iLLLPQcbcgefhghhlsetgbfjr,0,8
iLLLQMcbdefegghhevmeejkhs,0,8
ivLAMQcedfdhghghggejulkrc,0,8
iLLLAQcbcgfehhghlsmutmtjp,0,8
iLLLQPccddefgghhukfpcwruw,0,8
iLLLMQcbedefhghhaafmwkooj,0,8
iLLvQQcbeefhgghhaamitjrnf,0,8
iLLLPQcbedhffghhaafhssoos,0,8
jLLLAMQbddgfgihiiasfurraqcc,0,9
jLLLMMQbedefhiihiaafdbneefq,0,9
hLLPMkccdfegggankaaqqa,0,7
jLLAPLQbcedfghiiiasxfjjaass,0,9
jLLLLQQbedffiihhiaafjjbbkbv,0,9
hLLAMkcddeffgghwwahwar,0,7
jLLALPQccdefihihiakvhvxqaqc,0,9
jLLLAAQcedfghgiiiuafauarukk,0,9
jLLLMMQbedghhighiaafhssqjjj,0,9
jLLLMAQcdgffehiiiasaajnoall,0,9
jLLLMMQbedefhiihiaafmwnttfq,0,9
jLLLMPQbedefgihiiaafdbspfaa,0,9
hLLAMkcddefggghrrahqaq,0,7
jLLALMQbcedghhiiiajhfsqqaqj,0,9
jLLLLQQccfggfhiiitnajjfwncr,0,9
jLLLAAQbcggefhiiilspptsuars,0,9
jLLLMMQcdgffhiihiacaakcqanq,0,9
jLLLMPQbedgfighiilifugiwbqq,0,9
jLLwAPQcedgfhihiilavalithar,0,9
jLLLwQQcegfhiihhialaeonnkkn,0,9
jLLAwAQbeedfhgiiiaapwapcijw,0,9
jLLLAAQcedfghgiiilafalabdnn,0,9
hLLwQkcdegfgfglwualccc,0,7
jLLvAQQcdfgifhihiucauafcajh,0,9
jLLLAPQbedfghihiitpfhxitipk,0,9
jLLMLMQccdeghgiiiubsxbtsxcw,0,9
jLLLLQQbdgffiihhievlkfvbsgc,0,9
jLLLzQQbeffgighiidpmikwkjnw,0,9
hLLAPkaedefgggniaewdxe,0,7
jLLAzMQbddegghiiilvkhbkhpww,0,9
jLLMPLQbdedgfhiiiaspfkvitwk,0,9
hLLPPkcdeffggghsaelsco,0,7
jLLPLPQccefhihihianqagaoaje,0,9
jLLLAPQccefggiihitndiagapjb,0,9
jLvAMPQcdegfihhiilvdpwxvjep,0,9
jLLzwQQcdeghghgiipwapovowuk,0,9
hvLAQkcdfegfggffafhdmj,0,7
jLvLMQQbdegfihhiiafdbfcsnbf,0,9
jLvALQQcdeghhgiiiavewvowrkw,0,9
hLLAPkacdegfggnkaaaann,0,7
jLLAPLQccdegfihiiakvhvvaann,0,9
jLLLwQQccfghfihiiakaibflgql,0,9
jLLLLQQbedfighhiiaafjjofjjf,0,9
jLLAwAQbdedfhgiiilraslahatt,0,9
jLLvQPQbeehfgiihiaadaandlbd,0,9
jLLAPzQbdedfghiiievlsfvaabb,0,9
hLLAMkbddefgggxsfxhhqx,0,7
jLLLzQQcddgfihhiiukfwfikvqh,0,9
hLLAPkaedefgggjmaesdil,1,7
hLLAPkadedfgfgjillftjn,1,7
hLLAPkbdceffgghgnxgcrr,1,7
jLLAPLQadedfgihiinmllftnvww,0,9
jLvAMPQcdeghighhiaveijmovgj,0,9
jLLALMQbdecggihiilvanrsaqgg,0,9
jLLPvQQccdffhhhiipvnafetlmj,0,9
jLLLLQQbdefihighitwhgwjojfo,0,9
jLLLLQQccfihfgihipvasjfjsoc,0,9
jLvAwQQcdegfgiiihtvamnniadk,0,9
jLLLMAQcefegghhiipliudgnfqw,0,9
jLLLLQQbefggiigihaadqjvbcgj,0,9
jLLLLQQbedffghihiaafssoffjs,0,9
jLvAMPQcdegfihhiipvaurqvgdp,0,9
hLLzQkcdefgfgghsadugnf,0,7
jLLLPMQccfgghihiitndpgganqq,0,9
jLLvAQQcefhghhiiiuuaacjjovw,0,9
jLLLLQQcefgghigiilpplgfkjgb,0,9
jLLzwQQcdefhhgiiipwaxogvaqu,0,9
jLLLAMQbefgfhihiiaadddsqnmt,0,9
jLLLLQQbefhghigiiaadxjjbcbv,0,9
jLLAMzQadedfghiiinmllnaaapp,0,9
jvLALQQcefghighiijvdpxhccss,0,9
jvLALQQdedhiihgihwvvpiokfwb,0,9
jLLzzQQcdegfhihiiuguasjlsum,0,9
jLLLMMQbcefghgiiilsppnvveht,0,9
jLLLLQQbedfghgiiidpfgwjwfko,0,9
jLLzPMQcdegghhgiiuflabwwfqj,0,9
hLLzQkcdefgfgghgaetsnb,1,7
jLLPLPQccefgihhiianqabaorel,0,9
jLLzPPQcdfehhiihipwmlcoamrl,0,9
jLLLMAQcdffghfiiihstagbflhl,0,9
jLLLAAQbcfgehgiiilshatmfaov,0,9
hLLLQkcdggegffhfhhhffr,1,7
jLLLMMQbedefgihiiaafmwfakup,0,9
jLLPLPQccefhgiihianqavgtuju,0,9
jLLALAQbcedfghhiiasxffvdmjw,0,9
jLLPLAQccefhggiiianqavsgqae,0,9
jLLAzPQbddegighiievoprakxgg,0,9
jLvLMQQcfghhigigitlmljnfnjk,0,9
jvLALQQedfghfihiiwraldlbvgc,0,9
jLwLLQQacghifhiihjgjmpolhau,0,9
jLvALQQbefehighiitaltkwbkok,0,9
jLLLPAQbcfeghgiiilsptnbnueh,0,9
jLLLPAQbcgfgfhhiilsmdkrccdk,0,9
jLLALAQbdedfhghiievlsjeshvn,0,9
jLLLAPQcddfgghhiiukfijkulrw,0,9
jvLLAQQdfeggihihiopfxaxgkcb,0,9
jvLALQQedffghiihiwraipijbsw,0,9
jLvALQQcdeihihghilvanrkffrw,0,9
jLLLLQQbcffiggihilspgjbjnwc,0,9
jLLLLQQbdgfiihghievikrrwwwc,0,9
jLvwMQQadehihighijacjlraoge,0,9
