id,oriented,tetrahedra
eLPkbcddddjwnw,1,4
fLLQcbcedeetsxfda,1,5
fLLQccdcdeelgrfmw,0,5
gLLPQccdfefflnkaaof,1,6
eLPkaccddjnkaj,1,4
gLLMQcededffahvewwj,0,6
gLLAQbcdeeffpfreeok,0,6
gLLMQbdeeffftvtummv,0,6
fLLQcbcedeeljhfat,1,5
hLLAPkccedgfggqfxfccfo,1,7
fLLQccceddetnhcjw,1,5
hLLAPkbecdgfggaanfjgrv,0,7
hLLAAkaedeffggjaaqrvqn,0,7
hLLAMkbddeffggmkbqajqn,0,7
hLLAMkbddeffggmvrqajqn,0,7
hLLMAkbdedffgglsaflolj,0,7
eLPkbcddddkokg,1,4
gLLAQbdeefffdwahaqg,1,6
gLLPQcdcfeffhsratgk,1,6
gLLPQcdcfeefhrrqawk,1,6
iLLMLQcbeddhgghhaabfavbii,0,8
iLLLAQccegfefghhaiaaqrrwk,0,8
iLLAMMcbecdfgghhaanfxamkj,0,8
iLLALQcaedefhghhjaaqwauon,0,8
iLLLMQcaedffhgghjaugsxork,0,8
iLLLPQcacfghhfghjkgjeuknd,0,8
iLLLMQccdfeghgghqcetbcgfw,0,8
iLLLQMcbedgefghhhifhpfrew,0,8
iLLLPQccdefggghhqrumvfcrn,0,8
iLLLQPccddfgfghhqvfacgoqr,0,8
iLLALQcacedfhghhjkemdbobc,0,8
fLLQcccddeepfnour,0,5
fvPQccdedeejkjjfs,0,5
fLLQcbedededtoifu,1,5
fLLQcccddeepgnour,0,5
hLLLQkccfgegfgqfaaigfw,0,7
hLLAAkcedeefgghlvaqqxn,1,7
hLLAAkbddeefgghgfuecxn,1,7
hLLAAkaeddefggjmadcjhw,1,7
jLLALAQccedhfgiiiubacaroajj,0,9
jLLLLQQbedfhfhiiiaafwcjsrfo,0,9
jLLLAAQcedgfhghiiiafatavdsn,0,9
jLLLAAQcedgfhghiiiafimawhwk,0,9
jLLLAMQcegfdfiihiauaawfhhjf,0,9
jLLLMAQaeefgghiiinaxgwriacw,0,9
jLLALMQaedefgihiijaaqwarvsf,0,9
jLLLAMQbcdgfgiihidfravvaiwk,0,9
jLLLMPQacfefhiihijkgkjuqumb,0,9
jLLwPPQacefgihhiijktjledovj,0,9
