target,source,label
fvPQccdedeejokvfs,eLPkbcdddlrkgw,Face: 6
fLLQcbecdeehhrfmu,eLPkbcdddlrkgw,Face: 5
fLLQcbcdeeelsnuel,eLPkbcdddlrkgw,Face: 2
fLLQcbcdeeelsgiat,eLPkbcdddlrkgw,Face: 1
eLPkbcdddhrrcv,fvPQccdedeejokvfs,Edge: 10
gLLAQcedefffhavulmb,fvPQccdedeejokvfs,Face: 9
gvLQQcdefeffkjsxsep,fvPQccdedeejokvfs,Face: 6
gLLPQcdeffefdfamalg,fvPQccdedeejokvfs,Face: 5
gLvQQbefdfefapufquf,fvPQccdedeejokvfs,Face: 3
gLLAQbcedefflsajlsw,fLLQcbecdeehhrfmu,Face: 10
gLLPQbddeeffevsaevw,fLLQcbecdeehhrfmu,Face: 7
gLLAQbcedefflsajlsw,fLLQcbcdeeelsnuel,Face: 7
gLLAQbcedefflsajlsw,fLLQcbcdeeelsnuel,Face: 2
gLLPQcdeffeflkaxals,fLLQcbcdeeelsgiat,Face: 10
gLLPQcdeffefdvalaer,fLLQcbcdeeelsgiat,Face: 8
gLLPQbddeeffevsaevw,fLLQcbcdeeelsgiat,Face: 7
gLLPQbddeeffdroedwj,fLLQcbcdeeelsgiat,Face: 2
fLLQcbcdeeehgjuxu,eLPkbcdddhrrcv,Face: 6
fLLQcbeddeehhowld,eLPkbcdddhrrcv,Face: 3
hLLLQkbedfggfgaafiujvc,gLLAQcedefffhavulmb,Face: 12
hLLAMkbdeefgggeveeavgb,gLLAQcedefffhavulmb,Face: 10
hLLAMkbdeefgggevhqavss,gLLAQcedefffhavulmb,Face: 9
hLLLQkbcfgfggflshahrws,gLLAQcedefffhavulmb,Face: 5
hvLAQkcdefgfggonkxlxtj,gvLQQcdefeffkjsxsep,Face: 11
hvLAQkcdfeggfgjnafattw,gvLQQcdefeffkjsxsep,Face: 10
hvLPQkcdefgfgggvfuuelw,gvLQQcdefeffkjsxsep,Face: 6
hLLLQkbcegfgfgpwmaqcwb,gLLPQcdeffefdfamalg,Face: 11
hLLLQkbdefgfggmvteerrf,gLLPQcdeffefdfamalg,Face: 5
hLLLQkbdegffggmktierrf,gLLPQcdeffefdfamalg,Face: 4
hLLLQkbedfggfgaafiujvc,gLvQQbefdfefapufquf,Face: 11
hLLAMkcedefgggqhviakjj,gLvQQbefdfefapufquf,Face: 9
hLvMQkbefefgggapuuumsb,gLvQQbefdfefapufquf,Face: 7
hLLLQkbedfggfgaafiujvc,gLvQQbefdfefapufquf,Face: 2
