id,oriented,tetrahedra
eLPkbcdddlrkgw,1,4
fvPQccdedeejokvfs,0,5
fLLQcbecdeehhrfmu,1,5
fLLQcbcdeeelsnuel,1,5
fLLQcbcdeeelsgiat,1,5
eLPkbcdddhrrcv,1,4
gLLAQcedefffhavulmb,0,6
gvLQQcdefeffkjsxsep,0,6
gLLPQcdeffefdfamalg,0,6
gLvQQbefdfefapufquf,0,6
gLLAQbcedefflsajlsw,1,6
gLLPQbddeeffevsaevw,1,6
gLLPQcdeffeflkaxals,1,6
gLLPQcdeffefdvalaer,1,6
gLLPQbddeeffdroedwj,1,6
fLLQcbcdeeehgjuxu,1,5
fLLQcbeddeehhowld,1,5
hLLLQkbedfggfgaafiujvc,0,7
hLLAMkbdeefgggeveeavgb,0,7
hLLAMkbdeefgggevhqavss,0,7
hLLLQkbcfgfggflshahrws,0,7
hvLAQkcdefgfggonkxlxtj,0,7
hvLAQkcdfeggfgjnafattw,0,7
hvLPQkcdefgfgggvfuuelw,0,7
hLLLQkbcegfgfgpwmaqcwb,0,7
hLLLQkbdefgfggmvteerrf,0,7
hLLLQkbdegffggmktierrf,0,7
hLLAMkcedefgggqhviakjj,0,7
hLvMQkbefefgggapuuumsb,0,7
hLwMPkacefefggngqgbwaj,1,7
hLwPMkacdfefggjgxrbgan,1,7
hvLAQkcedfgfggovcxlxtj,1,7
hLLLQkbcfgefggtotptgoo,1,7
hvLAQkcdfeggfgjreoaitr,1,7
hLwLQkacegffggngrnjkbb,1,7
hLLAPkcedegfggdlvudbwv,1,7
hLLLQkbdegffggmkpxaknk,1,7
gLLAQbdedffflfavpkf,1,6
gLLAQbdedfffevtsxng,1,6
gLLAQbcedeffhgabxwj,1,6
gLLPQcdeffefhsmaauf,1,6
gLLAQbedeeffxxnhhhj,1,6
iLLLAQcbedgfhghhaafdmacmq,0,8
iLLLAQcbegfghfhhaaptpfvfw,0,8
iLLvQQcbefhgfhghaamauwwvb,0,8
iLLAPPccedegfhhhhqvtakapp,0,8
iLLAwQccedefhghhuavpapchm,0,8
iLLALQcbdeeghghheveevjfno,0,8
iLLLAQcceegffghhahetiggkk,0,8
iLLLPQcbcefhhgghajxqowsbf,0,8
iLLLAQcceegffghhqaixikcsk,0,8
iLvLQQcbdefhgghhafxxwjjro,0,8
iLLLQMcceegefghhaqumlmshk,0,8
ivLLQQccdeghfhghbcoludjfg,0,8
iLvLQQcbdfeghghhtfqtgjorn,0,8
ivLAAQcecfeghghhrkarmdrwg,0,8
iLLvQQccdfhfghghqgdarsjgb,0,8
ivLAMQccdeghfhghncbtqlrwf,0,8
ivLAMQcdcfghgfhhjcaluttjk,0,8
ivLAAQccefgfghhhjvxutmako,0,8
iLLLPQccddhgfghhivfjjffvf,0,8
iLLLPQccddhgfghhicsjjffvf,0,8
iLLLAQcccfeghhghijamqmmrt,0,8
ivLLQQccegfhgfhhofllxqqss,0,8
iLLLMQccdfghfhghafeiwckwo,0,8
iLLLPQcbdehfgghhmvtqrrfcc,0,8
ivLLQQccegfhgfhhofllxaqsj,0,8
iLLLPQcbdehfgghhmktqrrfnc,0,8
iLLLMQcbdeghfhghasmtwjwsf,0,8
iLLPLQccdfehgghhafiiwfvfg,0,8
gLLAQacdeeffnkairaw,1,6
gLLAQaddeeffjuapffw,1,6
gLLAQbdedffflwaougn,1,6
ivLAMQccedfghhghovolalgww,1,8
ivLAPQcdefghghghwvqaxllfn,0,8
ivLAAQcecefghhghrccuqacwo,0,8
iLwMLQcacefghghhjgxjuapmb,1,8
ivLAAQcceegfhghhnvrtdagvr,0,8
iLLLMQcbcefhghghtoaajocnc,1,8
ivLLQQccdfgfghhhfwpteieks,0,8
ivLAAQcdeefghhghofcatqnjv,1,8
gLLAQaedefffntapwbj,1,6
iLLzQPccdegfgghhhsallosxj,1,8
iLLALQccedegghhhduvpkfswc,1,8
iLLLMQccedfgghhhiifasvkwf,1,8
iLLLMQccedfgghhhiifakffkf,1,8
iLLAMPcbdeefghhhxvdxavpph,1,8
ivLAPQcdefghghhgcveuuuurr,0,8
iLLLPQcbdehfghghmkpqknoks,1,8
hLLAPkbddegfggmkfpbsfv,1,7
hLLAPkbddegfggmvopbsfv,1,7
hLLLQkbcegfgfgpwmaqbwk,0,7
hLLAAkbcedffggpgmfpnhw,1,7
hLLAMkbdedffggevdfdnur,1,7
hLvAQkbeffegggdahldxvo,1,7
hLLMMkccdfefggtnnmdjxk,1,7
hvLAQkcdfeggfgjnajdaac,1,7
hLLAMkcedefggglhvaxnkn,1,7
hLLLQkcefdgfgglhdklrrs,1,7
jLLLAAQbedfghgiiiaafiuacenn,0,9
jLLAMzQcedefghiiiqhviakaajj,0,9
jLLvQPQbefhgighiiaapamagvmm,0,9
jLLLLQQbedgfghiiiaafffbfcon,0,9
jLLLLQQbedgfghiiiaajffbjccj,0,9
jLLLMAQccfegfhiiidgaxgfoatt,0,9
jLLLLQQcdghighgiiafaonwvwfg,0,9
jLLLLQQbedfhighiiaafwckcsfo,0,9
jLLvAQQbefgfhihiiaappwwkkww,0,9
jLLAMzQbdeefghiiievhqavaass,0,9
jLLLMMQcegfhfhiiiahaatgneee,0,9
jLLLAAQbcfgfhfiiilsladasaoo,0,9
jLLAvQQbddeghhiiimkfpfdphhg,0,9
jLLAvQQbddeghhiiimvopfdphhg,0,9
jLLwMMQbcegghghiimktarvfbpk,0,9
jLLLAAQcedgehghiiuafdhtrukk,0,9
jLLLAPQceefgihhiiauuaqabsqd,0,9
