id,oriented,tetrahedra
fLMPcbcdeeehhhhvc,1,5
gLLAQbcedffflsajhwb,0,6
gLLAQbcedffflsqsxjo,1,6
hLLLQkbdgfefggtvqxtgro,0,7
hLLLQkbdfgegfgevmpefsk,0,7
hLLLQkbdegefggevmpesko,0,7
hLLAMkbcedfgggajhfxhxh,0,7
hLLLQkcdefggfghshdmvgj,1,7
hLLPPkcdeffggghstelrsv,0,7
hLLLQkcdggegffqsqaqjfr,1,7
gLLAQbcdeeffhgrxxbr,1,6
iLLLAQccddefhghhtgfmjmsqd,0,8
iLLLMQccddegghhhtgfmgoida,0,8
iLLALQcbcdefghhhhgrxbgaxx,0,8
iLLLMQcbcgffghhhlsmegwnjg,0,8
iLLLAQcbcgfehhghlsmuuiujp,0,8
iLLALQcbcedfghhhajhffrimp,0,8
iLLvQQccdehghhgguvqajrngn,0,8
iLLLQMccddefgghhukfprsfln,0,8
iLLLPQcbcfefhghhlsmagvbrk,0,8
iLLLPQcbcgffghhhlsmdgccgc,0,8
iLvAAQcbefgehghhlalheknos,0,8
iLLLQPcbdefegghhevmuevwxj,0,8
iLLAMPcbedefghhhhqrtdsaaa,0,8
ivLAAQccefeghghhfnacpqfkk,1,8
ivLAPQccdfehghghbjtbdlvkc,0,8
ivLAPQccdfehgghhfjxbducjg,1,8
iLLLPQccdfgghhhguceujvckf,1,8
iLLvQQccdehgfhghpvqugfffg,0,8
iLLLQPccdfgffghhhseilcghk,0,8
iLLLAQcbcffehghhlsiithvqx,0,8
iLLzPQccdeggfhghqshlcgnor,1,8
iLLLMQcbedgffghhxqfhrgsfs,1,8
hLLMMkbcdeffgglsfiinak,1,7
hLLAAkbcedefgghgmfubxj,1,7
jLLALMQccdefhiihiakvhvhmtds,0,9
jLLLLQQcddhghigiitgfgcvuspi,0,9
jLLLAPQbedefghiiimifilgumjn,0,9
jLLLAQPcddefghhiitgfmjnidbr,0,9
jLLALPQbdedggihiilvtgffdqok,0,9
jLLLPPQcddghghiiitgfggooith,0,9
jLLLMMQcddeghghiitgfmgicdon,0,9
jLLLMPQbedefgihiiaafdboeoqh,0,9
jLLPvQQccefgihihianqavdoege,0,9
jLvAzQQbefghgihiidadxbvgvro,0,9
jLvALQQbefgihgihilaliwwnkkf,0,9
jLLLMMQccegfhgiiitnudjnshil,0,9
jLLPLAQccefhggiiianqajsgiad,0,9
jLLLMMQbcgfhghgiilsmujsbjew,0,9
jLLLLQQbdgfhhgiiievtkggovgc,0,9
