id,oriented,tetrahedra
fLMPcbcdeeehhhhkn,1,5
gLLAQbcedffflsajhgr,0,6
gLLAQbcedffflsqsxsf,1,6
hLLLQkbdfgegfgxkdhabbc,0,7
hLLAPkbddegfggevjxgfvw,0,7
hLLLQkbdfgefggevmpeojk,0,7
hLLAMkbcedfgggajhfxhaq,0,7
hLLzQkcdefggfghspiqgrj,1,7
hLLLQkcdeegfgghsdpdbvg,0,7
hLLLQkcdggegffqsqxqofr,1,7
gLLMQacdefffnkankkn,1,6
iLLLPQcbdeehhgghtvmtrrowr,0,8
iLLLMQccddehhgghtgfmhukfa,0,8
iLLALQcccdefghhhakvhvnhhq,0,8
iLLLMQcbcgefhhghlsmigocrg,0,8
iLLLAQcccgfehhghtniiitacm,0,8
iLLALQcbcedghhghasxfoltnd,0,8
iLvAMQcbeffghghhdadixwvvf,0,8
iLLAPPcbdedgfghhevusgcflj,0,8
iLLLPQcbcfhfghghlsupgojgw,0,8
iLLLPQcbcgefhghhlsmlgckrw,0,8
iLLALQcbcedgghhhajhforlte,0,8
iLLzMQccdefhfghhpkahcfrco,0,8
iLLLQPccddffgghhukferojuk,0,8
iLLAMPcbedefghhhhqrpdfaaa,0,8
ivLAAQccefeghghhfnanpafkk,1,8
ivLAMQccedgfhhghwwcdaicbw,1,8
ivLAMQccdefhgghhwnkudtcwb,0,8
iLLLPQccdfgghhhguceujnkkf,1,8
iLLvQQccdfhgfhghpgaugggcj,0,8
iLLPMMccdfeegghhhsldpwcmr,0,8
iLLLAQcbcffehghhlsiithvah,0,8
iLLLPQccdeggfhghqsadkgnsr,1,8
iLLLMQcbedgffghhxqfhwbsfs,1,8
hLLAPkacdegfggnkaqllgs,1,7
hLLLQkbdefffggevmudnnr,1,7
hLLAAkccdeefgghwvlqkqn,1,7
jLLAPLQccdegfihiiakvhkvllgs,0,9
jLLLAMQbdefehhiiieslplemdtf,0,9
jLLLPMQbdeefhhiiitvmtgvvmtp,0,9
jLLLPMQbdeehghihitvmtrkvhks,0,9
jLLALPQccdefihhiiakvhvqlelj,0,9
jLLLLQQcddhihggiitgfgdvkfei,0,9
jLLLAPQbcggffihiilspamsdhog,0,9
jLLLMMQcddehghhiitgfmhkedpn,0,9
jLLLMPQbedefgihiiaafdboeoax,0,9
jLLPLPQccefgihihianqacuotgt,0,9
jLvAAMQbeffgghiiieueapnoeqe,0,9
jLLLwQQcdefggihiitgxaccmjtx,0,9
jLLLMAQbcfeghgiiilsticocatm,0,9
jLLPLAQccefghgiiianqaofgiad,0,9
jLLLPPQcdfghfihiilcelwfewte,0,9
jLLLMAQbcgeghhgiilsmmogofiw,0,9
jLLLLQQbcfgighgiilsmnjnnvcr,0,9
jLLAzPQbddegighiievjxgawlff,0,9
jLLALMQbcedgghhiiasxfortejk,0,9
jLvAMAQbefgehhiiidadddorqlx,0,9
jvLALQQcedghhgiiikvcaevkwof,0,9
jLvAAPQbeffgihihidadidtgtsx,0,9
jLLLMAQbcgfgfhhiilsmacnogaw,0,9
jLvLMQQbefgghhgiielatvcbnbn,0,9
jLLMLAQbcefgghhiilsamnvscmw,0,9
jLLALMQbcedghghiilsqjwljmbj,0,9
jLLPvQQccefhihiihanqawuoutg,0,9
jLLLLQQcdeifhihihufhsnvfrnn,0,9
jLLLAPQbcgefghhiilsmxhbthvw,0,9
jLLLLQQbdgfhhgiiievtkggocrc,0,9
jLLPLPQccefhgihiianqafgxspu,0,9
jLvAAPQbeffgghiiieaeamwopte,0,9
jLLLAPQcdfegighiiucequpfurv,0,9
jLLLMPQbedefgihiiaafmwjdgdi,0,9
jLLALMQbcedghghiiajhfolndsw,0,9
jLLvQAQcdhfhgfiiitfpdkgrdxx,0,9
jLLzMPQcdeghgihiipkaucfakle,0,9
jLvLQAQbehgeghgiitmlxtgfjln,0,9
jLLLPMQbcfgfgiiihlsqigvlumn,0,9
jLLMLPQacdehgiihinkachilvbn,0,9
jLLALAQccdefhghiitnnxgintwn,0,9
jLLLPAQbedhffgiiiaafxjjohhx,0,9
jLLLwQQcdefgihihilfuaoxfajx,1,9
jLvAPPQcdfehigihiuvmtsqkewl,1,9
jvLLAQQcgfehiighikqeoiawbwk,0,9
jvLLAQQcdehghgiiivvveqgcknw,1,9
jvLAPPQeddfhigihiwrvtawwvvc,1,9
jLvLAQQbdehfigihixfdibdrqnx,0,9
jLvLAQQbdfehgihiilfatjombue,0,9
jLLvQPQcdhfhfiihihsxlgnxpop,0,9
jLLPLPQcdefhigihitcaendotvu,1,9
jLLPvQQcdefhgihiiucueoktcqu,1,9
jLLLMPQcdeghiihihhsatwdasxk,1,9
jLvAAAQbfeefhghiihahaqoojxk,1,9
jLLLMPQcdefgihihiufhajifeoi,0,9
jLwLMPQacgfhgihiingjrlfdmtf,0,9
jLvAwQQadfehigihijaqcploxms,0,9
jLLLLQQcegfighiihqaqescnkor,0,9
jLvAMPQadfehhiihinaqcqaxeht,0,9
jLLzPMQcdegfhghiiqsdeoscnqj,0,9
hLLLQkbefgfggfhhqhqhff,0,7
jLLLAPQbcffehhiiilsiittttls,0,9
jLLLAAQcedfgghiiiuafaugdqnf,0,9
jLLLAPQcegffhihiiahaednuolx,0,9
jLvAMPQadefgihhiinapvjtaptf,1,9
jLvLMQQaegffhihiinxgfgwuoqm,1,9
