target,source,label
fLAMcaccdeejgnqqn,eLAkbbcdddhwhk,Face: 8
fLAMcaccdeengbaxr,eLAkbbcdddhwhk,Face: 7
fLLQcacedeenkimbj,eLAkbbcdddhwhk,Face: 6
fLAMcbbcdeedhgxhs,eLAkbbcdddhwhk,Face: 5
gLLAQacdeeffjkaiwar,fLAMcaccdeejgnqqn,Face: 10
gLLQPacdedffjsxarxr,fLAMcaccdeejgnqqn,Face: 3
eLAkaccddjnjak,fLAMcaccdeengbaxr,Edge: 9
gLLAQbcedefftsaflsr,fLLQcacedeenkimbj,Face: 10
gLLAQbdedfffdwpgabs,fLLQcacedeenkimbj,Face: 4
gLAMPaccdeffngbqhxj,fLAMcbbcdeedhgxhs,Face: 1
hLLAAkbdedffgglvagiraj,gLLAQacdeeffjkaiwar,Face: 10
hLLPMkacefefggjvxvcnaj,gLLAQacdeeffjkaiwar,Face: 9
hLLAMkcedefgfglhvahnjk,gLLAQacdeeffjkaiwar,Face: 7
hLLAAkacdeefggnkdirqqj,gLLAQacdeeffjkaiwar,Face: 6
hLLLQkaeedffggnliwrrss,gLLQPacdedffjsxarxr,Face: 12
fLLQcaddeeenidplc,eLAkaccddjnjak,Face: 7
fLLQcaddeeejmepxc,eLAkaccddjnjak,Face: 5
fLLQcacdedejbqasj,eLAkaccddjnjak,Face: 1
hLLLQkbdggeffgdwttdjvg,gLLAQbcedefftsaflsr,Face: 11
hLLLQkbdegefggdwmpljog,gLLAQbcedefftsaflsr,Face: 10
hLLAMkbddeffggdwnhagij,gLLAQbcedefftsaflsr,Face: 7
hLLPMkacefefggjvxvcnaj,gLLAQbcedefftsaflsr,Face: 6
hLLAAkbcedffggtsafhgik,gLLAQbcedefftsaflsr,Face: 5
hLLLQkbdegefggdwmpljog,gLLAQbdedfffdwpgabs,Face: 12
iLLLQPcbdeggfghhlvuqmgolj,hLLAAkbdedffgglvagiraj,Face: 14
iLLMAMcbcdeffghhebbhtvlhw,hLLAAkbdedffgglvagiraj,Face: 11
iLLLQPccddffgghhukftfcgtn,hLLAAkbdedffgglvagiraj,Face: 5
gLLAQbcedefftsaflsr,hLLPMkacefefggjvxvcnaj,Edge: 11
iLLMMMcbceefgghhebuaasshr,hLLPMkacefefggjvxvcnaj,Face: 13
iLLLQPcbdeggfghhlvuqmgolj,hLLPMkacefefggjvxvcnaj,Face: 12
iLLwMQcacefhfhghnvpgmguwv,hLLPMkacefefggjvxvcnaj,Face: 6
iLLLQPccdedfgghhhotwrkkik,hLLPMkacefefggjvxvcnaj,Face: 4
iLLLAQcbcfgfehhhdfpaenqqp,hLLAMkcedefgfglhvahnjk,Face: 11
iLLALQcbdcefgghhtvrxvcrts,hLLAMkcedefgfglhvahnjk,Face: 8
iLLAwQcbdeefhgghevdhamkrw,hLLAMkcedefgfglhvahnjk,Face: 6
iLLALQcaedegfhhhjxahhnagb,hLLAMkcedefgfglhvahnjk,Face: 4
iLLMAMcbcdeffghhebbhtvlhw,hLLAAkacdeefggnkdirqqj,Face: 12
iLvAPQcaefhggfghnhqhvnbvw,hLLAAkacdeefggnkdirqqj,Face: 6
iLLPzQccdcfgfghhhsravfohr,hLLAAkacdeefggnkdirqqj,Face: 5
