id,oriented,tetrahedra
eLAkbbcdddhwhk,1,4
fLAMcaccdeejgnqqn,1,5
fLAMcaccdeengbaxr,1,5
fLLQcacedeenkimbj,1,5
fLAMcbbcdeedhgxhs,1,5
gLLAQacdeeffjkaiwar,1,6
gLLQPacdedffjsxarxr,1,6
eLAkaccddjnjak,1,4
gLLAQbcedefftsaflsr,1,6
gLLAQbdedfffdwpgabs,1,6
gLAMPaccdeffngbqhxj,1,6
hLLAAkbdedffgglvagiraj,1,7
hLLPMkacefefggjvxvcnaj,1,7
hLLAMkcedefgfglhvahnjk,1,7
hLLAAkacdeefggnkdirqqj,1,7
hLLLQkaeedffggnliwrrss,1,7
fLLQcaddeeenidplc,0,5
fLLQcaddeeejmepxc,1,5
fLLQcacdedejbqasj,1,5
hLLLQkbdggeffgdwttdjvg,1,7
hLLLQkbdegefggdwmpljog,1,7
hLLAMkbddeffggdwnhagij,1,7
hLLAAkbcedffggtsafhgik,1,7
iLLLQPcbdeggfghhlvuqmgolj,1,8
iLLMAMcbcdeffghhebbhtvlhw,1,8
iLLLQPccddffgghhukftfcgtn,1,8
iLLMMMcbceefgghhebuaasshr,1,8
iLLwMQcacefhfhghnvpgmguwv,1,8
iLLLQPccdedfgghhhotwrkkik,1,8
iLLLAQcbcfgfehhhdfpaenqqp,1,8
iLLALQcbdcefgghhtvrxvcrts,1,8
iLLAwQcbdeefhgghevdhamkrw,1,8
iLLALQcaedegfhhhjxahhnagb,1,8
iLvAPQcaefhggfghnhqhvnbvw,1,8
iLLPzQccdcfgfghhhsravfohr,1,8
iLLPLQccdcfgghghhsrajfaon,1,8
iLLLAQcadeefhhhgjuxvclaar,1,8
iLLLAQcacdfgfhghnkrwfkmwr,1,8
gLLMQccdfeffubwxhgk,0,6
gLLPQccdefffpgopibf,0,6
gLLAQbdcefffhgnxpgo,0,6
gLLAQadedeffnillsfw,0,6
gLLMQbdedeffaspfxjw,0,6
gLLAQbddeffftvkhefv,1,6
gLLMQacdefffjvhwgjg,1,6
gLLAQaddeeffnmapcjn,1,6
gLLAQadedeffjplaooj,1,6
iLLLAQcbdggffhhhmvtttvdme,1,8
iLLLAQcbdgfgfhhhmktptvdme,1,8
iLLALQcceddhgghhtqvnpcfed,1,8
iLLALQcbcedfghhhtsxjggqtu,1,8
iLLLAQcccfeghhghlnammmmgd,1,8
iLLMLQcbdedfhghhlvabnaohd,1,8
iLvLQQcadfhfhgghjabbjbffr,1,8
iLLMPMcbcefegghhtsxmufcxn,1,8
iLLAMPcbcedfgghhtsafhxxsw,1,8
jLLAzAQccedfhghiiublkbicegj,1,9
jLLLAPQbdfgfghhiimkdddomdgn,1,9
jLLLAPQbdffgghhiimvdduomdgn,1,9
jLLAPPPcddefgghiipfvqfvklxk,1,9
jLLPPPPccdefgghiiubkdffnaqs,1,9
jLLALPQcedcfhiihihuvrghpatv,1,9
hLLAMkbedeffggxxrxhsrs,1,7
jLLLPMQbcgffghhiilsmagrccij,1,9
jLLALMQaedefhhiiijlamkajwjj,1,9
jLLLAAQcdeeghghiiloiilmrqgr,1,9
jLLALQPceddfghhiiuqfvfjdxgn,1,9
jLLMLAQbdedfghhiilvabnbtpok,1,9
jLLMzMQacdeghghiijkacdlmvvr,1,9
jLvLPQQadhfhiihgijabjbuhowa,1,9
jLLLAMQcdedfhihiihotwrdtthf,1,9
jLLLMQPcdefgfhgiihstarforhw,1,9
jLLLLQQaefegghiiinlegofmiko,1,9
jLLAzPQbdeefgiihievdhtflawj,1,9
jLLLMPQadgefighiijuxvomcmwb,1,9
jLLLMPQcedgggiiihhhgugomhin,1,9
jLLALPQbdcefgiiihevnlgkdmgj,1,9
jLLALMQbdcegghihitvrxrsqhsk,1,9
jLLLLQQceegihhigiulmdwvbojv,1,9
jLLLLQQacfihfhgiijkgiakxntb,1,9
jLLLAMQacfeehgiiijkgcrtnafj,1,9
jLLALQPcedeggfhiiluvpvsjcqj,1,9
jLLLwQQaeegifgihijmxstwjujb,1,9
jLvAAAQbeffghfihiedxaaobxwn,1,9
jLvLPQQafighgfhhinthgsbbkow,1,9
jLvAAMQcdegegihhiuvuahbxmsn,1,9
jLLPLPQcdcfgiiihhhsraraqqqn,1,9
jLLLLQQccefhigghipvxcwocjns,1,9
jLLLMPQcedgggihhihugusoawnr,1,9
jLvAAPQadfegfhihinaqcvjaqnj,1,9
hLLAPkcddefgggucvuwosc,0,7
hLLAMkbdedffgglvarxktj,0,7
hvLPQkcdefgfggkwfmuper,0,7
hLLAPkbddefgggtvnuvvww,0,7
hLLAPkbdedgfgglrasjvns,0,7
hLLMPkbdedfgggtwarorrn,0,7
hLLPMkccdefgggpvfdtdxi,0,7
hLLAAkbddeffgglvkhqrpw,0,7
fLLQcadddeenhahqw,1,5
hLLLQkbcdgffggdfrakjrg,0,7
hLLAPkbcedfgfgajhfjsnw,0,7
hLLAPkacdegfggnsxxaann,0,7
