target,source,label
fLLQcacdeeejkmxko,eLAkbccddmejlr,Face: 8
fLLQcacdeeejvlxko,eLAkbccddmejlr,Face: 7
fLAMcbccdeehhnqhk,eLAkbccddmejlr,Face: 4
fLLQcbcdeeeebbdmp,eLAkbccddmejlr,Face: 3
gLLAQccdeeffhkvaqcn,fLLQcacdeeejkmxko,Face: 10
gLLMQbcdefffdfbhaon,fLLQcacdeeejkmxko,Face: 9
gLvQQaefdfefjiqegvb,fLLQcacdeeejkmxko,Face: 8
gLLAQccedeffdwxkdjr,fLLQcacdeeejkmxko,Face: 1
gLLAQbcdeeffpjgplwj,fLLQcacdeeejvlxko,Face: 10
gLLAQbddeeffxrrxqbw,fLLQcacdeeejvlxko,Face: 9
gLLMQbcdefffdfgaaon,fLLQcacdeeejvlxko,Face: 7
gLLAQbdeefffpcqplqo,fLLQcacdeeejvlxko,Face: 6
gLLAQccedeffdwxvdkk,fLLQcacdeeejvlxko,Face: 2
gLLPQcdcfeffqsnatnf,fLAMcbccdeehhnqhk,Face: 10
gLLAQbceeefflsaiihj,fLAMcbccdeehhnqhk,Face: 9
gLLMQbcdefffdfbhaon,fLLQcbcdeeeebbdmp,Face: 10
gLLMQbceeffftgaulxo,fLLQcbcdeeeebbdmp,Face: 9
gLLMQbcdefffdfgaaon,fLLQcbcdeeeebbdmp,Face: 8
gLLAQbdedfffevdslbr,fLLQcbcdeeeebbdmp,Face: 5
gLLAQccdefffakvhdfk,fLLQcbcdeeeebbdmp,Face: 3
hLLMAkbdedffggdvaflodr,gLLAQccdeeffhkvaqcn,Face: 6
hLLLQkbedeffggahfdxgsw,gLLAQccdeeffhkvaqcn,Face: 3
fLLQcbcdeeeebbdmp,gLLMQbcdefffdfbhaon,Edge: 12
hLLLQkbdeffgggmkxqarvf,gLLMQbcdefffdfbhaon,Face: 6
hLvAQkbfefeggglidatlwr,gLLMQbcdefffdfbhaon,Face: 5
hLLLQkbddfggfgajfpfnko,gLLMQbcdefffdfbhaon,Face: 3
hLLLQkbcfgegfgdfptdjnj,gLvQQaefdfefjiqegvb,Face: 12
hLvAQkaedgffggjiqfvgrr,gLvQQaefdfefjiqegvb,Face: 6
hLLLQkbdeffgggmkxqarvf,gLLAQccedeffdwxkdjr,Face: 11
hLLAPkbecdgfgghhwsjvsc,gLLAQccedeffdwxkdjr,Face: 2
hLLMPkbcefegggdfqldocj,gLLAQbcdeeffpjgplwj,Face: 12
hLvAQkaedgffggjiqfvgrr,gLLAQbcdeeffpjgplwj,Face: 9
hLLAAkbdedffggmvxgxciw,gLLAQbcdeeffpjgplwj,Face: 7
hLLLQkbddffgggxsflrvrc,gLLAQbddeeffxrrxqbw,Face: 12
hLLAAkccedefggqgifqfxj,gLLAQbddeeffxrrxqbw,Face: 5
hLLPPkcdfeffggaklptkon,gLLAQbddeeffxrrxqbw,Face: 2
fLLQcbcdeeeebbdmp,gLLMQbcdefffdfgaaon,Edge: 12
hLLAPkceddgfgguqfvffwc,gLLMQbcdefffdfgaaon,Face: 10
hLLLQkcdeegfggloiilkwc,gLLMQbcdefffdfgaaon,Face: 5
hLLLQkbddfggfgajftfnco,gLLMQbcdefffdfgaaon,Face: 4
hLLLQkbdffgggfmvddusbg,gLLAQbdeefffpcqplqo,Face: 12
hLLLQkbddffgggxsflrvrc,gLLAQbdeefffpcqplqo,Face: 11
hLLLQkbdfgfggfmkdddsbg,gLLAQbdeefffpcqplqo,Face: 9
hLvAQkbefegfggmeuuamnv,gLLAQbdeefffpcqplqo,Face: 8
hLLAPkccedfgggublkbvwc,gLLAQbdeefffpcqplqo,Face: 6
hLLAAkbdedffggmvxgxciw,gLLAQccedeffdwxvdkk,Face: 12
hLLAPkceddgfgguqfvffwc,gLLAQccedeffdwxvdkk,Face: 9
hLLAPkccedfgggublkbvwc,gLLAQccedeffdwxvdkk,Face: 8
hLLAPkbecdfgggxxnbwjwo,gLLAQccedeffdwxvdkk,Face: 2
hLALPkcbbegfgghqnohmrs,gLLPQcdcfeffqsnatnf,Face: 6
hLLMAkbdedffggdvaflodr,gLLPQcdcfeffqsnatnf,Face: 5
hLLAAkbcedefggasxfaohs,gLLPQcdcfeffqsnatnf,Face: 4
hLLAAkccedefggqgifqfxj,gLLAQbceeefflsaiihj,Face: 8
hLLMMkbcdefgfgebbluqww,gLLAQbceeefflsaiihj,Face: 7
hLLAAkbcedefggajhfaoxj,gLLAQbceeefflsaiihj,Face: 1
hLLAPkbdedgfggdfqckrkg,gLLMQbceeffftgaulxo,Face: 12
hLLAPkbdedgfggdfaccrkg,gLLMQbceeffftgaulxo,Face: 9
hLvAQkbefegfggmeuuamnv,gLLMQbceeffftgaulxo,Face: 7
hLLAPkcddefgggdcbaofjg,gLLMQbceeffftgaulxo,Face: 6
fLLQcbededexxgxbx,gLLAQbdedfffevdslbr,Edge: 8
hLLAPkbdedfgggevtfosrk,gLLAQbdedfffevdslbr,Face: 11
hLLLQkbdfegfggevmperrk,gLLAQbdedfffevdslbr,Face: 10
hLLAPkbcedfgggajhfssgb,gLLAQbdedfffevdslbr,Face: 7
hLLLQkbddfggfgajfpfnko,gLLAQccdefffakvhdfk,Face: 12
hLLLQkbddfggfgajftfnco,gLLAQccdefffakvhdfk,Face: 11
hLLLQkbddfggfgajftfnco,gLLAQccdefffakvhdfk,Face: 10
hLLLQkbddfggfgajfpfnko,gLLAQccdefffakvhdfk,Face: 9
hLLLQkbedegfggaafdebgj,gLLAQccdefffakvhdfk,Face: 7
gLLPQcdcfeffqsnatnf,hLLMAkbdedffggdvaflodr,Edge: 11
gLLAQbcdeeffasreesw,hLLLQkbedeffggahfdxgsw,Edge: 11
iLLLMQcbedeghhghxafigrsgc,hLLLQkbedeffggahfdxgsw,Face: 14
iLLLMQcbedgffghhaafhosjoj,hLLLQkbedeffggahfdxgsw,Face: 2
gLLAQccedeffdwxkdjr,hLLLQkbdeffgggmkxqarvf,Edge: 9
iLLALQccddefhghhhsvtcmguu,hLLLQkbdeffgggmkxqarvf,Face: 9
iLLLAQcbdffehghhlvtethold,hLLLQkbdeffgggmkxqarvf,Face: 2
iLvLQQcbehfgghhgedahakcbn,hLvAQkbfefeggglidatlwr,Face: 10
ivLAMQcdefeghhghojafaqnvc,hLvAQkbfefeggglidatlwr,Face: 6
gLLAQccdefffakvhdfk,hLLLQkbddfggfgajfpfnko,Edge: 14
iLLALQccddefhghhhsvtcmguu,hLLLQkbddfggfgajfpfnko,Face: 8
iLLLMQcccfehgghhakalskbor,hLLLQkbddfggfgajfpfnko,Face: 7
iLLLAQcbedefghhhaafdecphm,hLLLQkbddfggfgajfpfnko,Face: 2
iLLLMQcbcefghghhebtlofnsn,hLLLQkbcfgegfgdfptdjnj,Face: 10
ivLAMQcdefeghhghojafaqnvc,hLLLQkbcfgegfgdfptdjnj,Face: 5
gLLAQbcdeeffpjgplwj,hLvAQkaedgffggjiqfvgrr,Edge: 11
iLLLMQcbcefghghhebtlofnsn,hLvAQkaedgffggjiqfvgrr,Face: 14
iLLLAQcbdffehghhlvtethold,hLLAPkbecdgfgghhwsjvsc,Face: 13
iLLALQcbecdhghghhhwshstcu,hLLAPkbecdgfgghhwsjvsc,Face: 2
iLLLMQcbcefghghhebtlofnsn,hLLMPkbcefegggdfqldocj,Face: 14
iLLLAQccddfghghhigfqwtctq,hLLMPkbcefegggdfqldocj,Face: 12
iLLLMQcbcgfhhfghmsmdjrwvg,hLLMPkbcefegggdfqldocj,Face: 7
iLLLMQcbceffhghhpnmiggggs,hLLMPkbcefegggdfqldocj,Face: 6
gLLAQccedeffdwxvdkk,hLLAAkbdedffggmvxgxciw,Edge: 11
iLLLAQccddfghghhigfqwtctq,hLLAAkbdedffggmvxgxciw,Face: 14
iLLLPQcbdehhfghgmvxqrcofs,hLLAAkbdedffggmvxgxciw,Face: 2
gLLAQbdeefffpcqplqo,hLLLQkbddffgggxsflrvrc,Edge: 10
iLLLPQcbcfegfhhhebpergsrr,hLLLQkbddffgggxsflrvrc,Face: 9
iLLLMQcbdfeghghhhvmxkvkww,hLLLQkbddffgggxsflrvrc,Face: 8
gLLAQbceeefflsaiihj,hLLAAkccedefggqgifqfxj,Edge: 11
gLLAQbcdeeffajgeeor,hLLPPkcdfeffggaklptkon,Edge: 11
iLLLPQcbcfegfhhhebpergsrr,hLLPPkcdfeffggaklptkon,Face: 14
iLLLAQcbcfgehghhebpheaoum,hLLPPkcdfeffggaklptkon,Face: 12
iLLLAQcacgeghhhgnkcckaaan,hLLPPkcdfeffggaklptkon,Face: 2
gLLAQccedeffdwxvdkk,hLLAPkceddgfgguqfvffwc,Edge: 9
iLLLMQcbdfghfghhmkixbvfnn,hLLAPkceddgfgguqfvffwc,Face: 11
iLLALQccddefhghhhsvmjegii,hLLAPkceddgfgguqfvffwc,Face: 10
iLLALQcceddhghghuqfvqwqcq,hLLAPkceddgfgguqfvffwc,Face: 2
iLLLMQcbcgefhhghlsmmvnfvg,hLLLQkcdeegfggloiilkwc,Face: 14
iLLLMQcbdfghfghhmkixbvfnn,hLLLQkcdeegfggloiilkwc,Face: 12
iLvAAQcbefgeghhhdadainkro,hLLLQkcdeegfggloiilkwc,Face: 9
iLLwMQccedfghhghiijmrjobs,hLLLQkcdeegfggloiilkwc,Face: 5
iLvAAQcbefeghhghpaumiggng,hLLLQkcdeegfggloiilkwc,Face: 4
gLLAQccdefffakvhdfk,hLLLQkbddfggfgajftfnco,Edge: 14
iLLALQccddefhghhhsvmjegii,hLLLQkbddfggfgajftfnco,Face: 12
iLLLMQcccfefhghhakamcoknr,hLLLQkbddfggfgajftfnco,Face: 8
iLLLPQcceffhhgghiixxanrrv,hLLLQkbddfggfgajftfnco,Face: 7
iLLLAQcbedefghhhaafdtvphm,hLLLQkbddfggfgajftfnco,Face: 2
iLLLMQcccegfhhghdwtprkkfw,hLLLQkbdffgggfmvddusbg,Face: 14
iLLLMQcbdffhhgghmvddcocnv,hLLLQkbdffgggfmvddusbg,Face: 12
iLLLMQcbcgfhhfghmsmdjrwvg,hLLLQkbdffgggfmvddusbg,Face: 7
iLLLMQcceeehhgghudxqhffcn,hLLLQkbdffgggfmvddusbg,Face: 2
iLLLPQccceghfhghdwdpkfncw,hLLLQkbdfgfggfmkdddsbg,Face: 14
iLLLMQcbdgghhfghmvttwncrr,hLLLQkbdfgfggfmkdddsbg,Face: 12
iLLLMQcbdfgghfhhevtpcfgow,hLLLQkbdfgfggfmkdddsbg,Face: 11
iLvLQQcbdfeghhghtwatgwrbo,hLLLQkbdfgfggfmkdddsbg,Face: 9
iLLwMQccedfghhghiijmrjobs,hLLLQkbdfgfggfmkdddsbg,Face: 7
iLLLAQccefffghhhihdadwswn,hLLLQkbdfgfggfmkdddsbg,Face: 2
gLLMQbceeffftgaulxo,hLvAQkbefegfggmeuuamnv,Edge: 10
iLLLMQcccegfhhghdwtprkkfw,hLvAQkbefegfggmeuuamnv,Face: 14
iLLLPQccceghfhghdwdpkfncw,hLvAQkbefegfggmeuuamnv,Face: 11
iLLzMQccdegfhghhdfaarovfg,hLvAQkbefegfggmeuuamnv,Face: 8
