target,source,label
fLLQcadedeejillib,eLAkaccddjnjqw,Face: 7
fLLQccceddeqfxjjj,eLAkaccddjnjqw,Face: 5
fLLQcacdeeejkexcg,eLAkaccddjnjqw,Face: 4
fLLQcacdedejbxanj,eLAkaccddjnjqw,Face: 3
gLLAQbdedffftvprxbk,fLLQcadedeejillib,Face: 9
gLLAQbdcefffhgsqpgo,fLLQcadedeejillib,Face: 8
gLLAQaddeeffnpupcok,fLLQcadedeejillib,Face: 7
gLLMQacdfeffjbxccnn,fLLQcadedeejillib,Face: 3
gLLPQcdcfeffqsnadrs,fLLQccceddeqfxjjj,Face: 7
gLLAQbdedffftvprxbk,fLLQcacdeeejkexcg,Face: 9
gLLAQbcdeeffxbraaww,fLLQcacdeeejkexcg,Face: 6
gLLAQadedfffjxuhgjg,fLLQcacdeeejkexcg,Face: 5
gLLAQbddeeffxvrdtnj,fLLQcacdeeejkexcg,Face: 1
gLLAQaddeeffnmapcfj,fLLQcacdedejbxanj,Face: 9
gLLAQaeddeffjiadcoj,fLLQcacdedejbxanj,Face: 7
fLLQcacdeeejkexcg,gLLAQbdedffftvprxbk,Edge: 12
hLLLQkbddfggfgajfpjnks,gLLAQbdedffftvprxbk,Face: 11
hLLLQkcdefgfggpwhupnfk,gLLAQbdedffftvprxbk,Face: 10
hLLAPkbdedgfggtvugwfbw,gLLAQbdedffftvprxbk,Face: 1
hLLAMkbeedfgggliagdgrk,gLLAQbdcefffhgsqpgo,Face: 12
hLLAAkbddeffgglvkhqrek,gLLAQbdcefffhgsqpgo,Face: 9
fLLQcadddeenhahak,gLLAQaddeeffnpupcok,Edge: 8
hLLAPkbcedfgfgajhfssww,gLLAQaddeeffnpupcok,Face: 9
hLLLQkbddfggfgajfpjnks,gLLMQacdfeffjbxccnn,Face: 11
hLLPAkccdfefggaknaaohw,gLLMQacdfeffjbxccnn,Face: 10
hLLAMkadedfgggjillnaii,gLLMQacdfeffjbxccnn,Face: 9
hLLLQkbddfggfgajfpjnks,gLLMQacdfeffjbxccnn,Face: 7
hLLMAkbdedffgglkaflodr,gLLPQcdcfeffqsnadrs,Face: 9
hLALPkcbbegfgghqnohenf,gLLPQcdcfeffqsnadrs,Face: 6
hLLAAkccdeefggakvhqkhk,gLLPQcdcfeffqsnadrs,Face: 3
hLLMAkbdedffgglkaflodr,gLLAQbcdeeffxbraaww,Face: 6
hLLLQkbedeffggahfuxwsw,gLLAQbcdeeffxbraaww,Face: 1
hLLAMkcdeefggghrmaicco,gLLAQadedfffjxuhgjg,Face: 11
hLLAPkbdceffgghgsqgogj,gLLAQadedfffjxuhgjg,Face: 6
hLLAPkbdedgfggtvugwfbw,gLLAQbddeeffxvrdtnj,Face: 11
hLLLQkbdffefgglvddtwoj,gLLAQaddeeffnmapcfj,Face: 12
hLLLQkadgfefggnmmgcvwo,gLLAQaddeeffnmapcfj,Face: 10
hLLAAkbddeffgglvkhqrek,gLLAQaddeeffnmapcfj,Face: 6
hLLAPkaddegfggjuahmcau,gLLAQaeddeffjiadcoj,Face: 11
hLLLQkadgfefggnmmgcvwo,gLLAQaeddeffjiadcoj,Face: 10
hLLAPkbdceffgghgsqgogj,gLLAQaeddeffjiadcoj,Face: 8
gLLMQacdfeffjbxccnn,hLLLQkbddfggfgajfpjnks,Edge: 10
iLLLAQcccfgeghhhakaipkqxd,hLLLQkbddfggfgajfpjnks,Face: 5
iLLALQcbddefghhhxvrdnfett,hLLLQkbddfggfgajfpjnks,Face: 4
iLLLAQcbedefghhhaafdenphl,hLLLQkbddfggfgajfpjnks,Face: 2
iLLvQQccdhegfhghhriagkwro,hLLLQkcdefgfggpwhupnfk,Face: 14
iLLLAQccdfefhghhlfdxdesdp,hLLLQkcdefgfggpwhupnfk,Face: 5
gLLAQbddeeffxvrdtnj,hLLAPkbdedgfggtvugwfbw,Edge: 14
iLLALQcbddefghhhxvrdnfett,hLLAPkbdedgfggtvugwfbw,Face: 13
iLLLMQccddefghhhlgfefsxqu,hLLAMkbeedfgggliagdgrk,Face: 14
iLLLAQccdfefhghhlfdxdesdp,hLLAMkbeedfgggliagdgrk,Face: 7
gLLAQaddeeffnmapcfj,hLLAAkbddeffgglvkhqrek,Edge: 11
iLLLMQccddefghhhlgfefsxqu,hLLAAkbddeffgglvkhqrek,Face: 14
iLLALQcbddefghhhlvkhckxue,hLLAAkbddeffgglvkhqrek,Face: 12
iLLMLQcccdfgfghhakvibwgtw,hLLAAkbddeffgglvkhqrek,Face: 4
iLLLMQcbedefhgghaafmwkokj,hLLAPkbcedfgfgajhfssww,Face: 4
iLLAwQccddefghhhpfvalaajj,hLLPAkccdfefggaknaaohw,Face: 14
iLLMLQcccdfgfghhakvibwgtw,hLLPAkccdfefggaknaaohw,Face: 6
iLLMLQcccdfgfghhakvibwgtw,hLLPAkccdfefggaknaaohw,Face: 5
iLLLAQcbedefghhhaafdenphl,hLLAMkadedfgggjillnaii,Face: 12
iLLLMQcbedefhgghaafmwkokj,hLLAMkadedfgggjillnaii,Face: 7
iLLAPPcbdcefghhhhgsqgbapp,hLLAMkadedfgggjillnaii,Face: 5
iLLLMQcbedfgghghaafujjoow,hLLAMkadedfgggjillnaii,Face: 2
gLLAQbcdeeffxbraaww,hLLMAkbdedffgglkaflodr,Edge: 11
gLALQbcbefffxhjsxxa,hLALPkcbbegfgghqnohenf,Edge: 9
iLALLQccbbeghhghqhknannvc,hLALPkcbbegfgghqnohenf,Face: 9
gLLMQbddeeffajriijw,hLLAAkccdeefggakvhqkhk,Edge: 11
iLLAMMcbeedffghhaapkabkxj,hLLAAkccdeefggakvhqkhk,Face: 8
gLLMQbddeeffajriijw,hLLLQkbedeffggahfuxwsw,Edge: 11
iLLLMQcbedeghhghxafebrsgc,hLLLQkbedeffggahfuxwsw,Face: 13
iLLLMQcbedgffghhaafhjfjoj,hLLLQkbedeffggahfuxwsw,Face: 2
iLLLMQcbdegffghhhgmekjrjj,hLLAMkcdeefggghrmaicco,Face: 10
iLLvQQccdhegfhghhriagkwro,hLLAMkcdeefggghrmaicco,Face: 7
gLLAQaeddeffjiadcoj,hLLAPkbdceffgghgsqgogj,Edge: 11
iLLLMQcbdegffghhhgmekjrjj,hLLAPkbdceffgghgsqgogj,Face: 13
iLLLMQcbedgfhfhhdlfigcnbf,hLLLQkbdffefgglvddtwoj,Face: 12
iLLLMQccddefghhhlgfefsxqu,hLLLQkbdffefgglvddtwoj,Face: 10
iLLLMQccefdghhghluqksjknn,hLLLQkbdffefgglvddtwoj,Face: 8
gLLAQaeddeffjiadcoj,hLLLQkadgfefggnmmgcvwo,Edge: 11
iLLALQcbddefghhhlvkhckxue,hLLLQkadgfefggnmmgcvwo,Face: 14
iLLLAQcbedefgghhlufupkwir,hLLLQkadgfefggnmmgcvwo,Face: 9
iLLLMQcbdegffghhhgmekjrjj,hLLAPkaddegfggjuahmcau,Face: 13
iLLLMQccefdghhghluqksjknn,hLLAPkaddegfggjuahmcau,Face: 6
jLLLAPQccfgffhiiiqfahtfeenn,iLLLAQcccfgeghhhakaipkqxd,Face: 8
jLLzMPQcdeghgiihihraicwmmce,iLLLAQcccfgeghhhakaipkqxd,Face: 5
hLLAPkbdedgfggtvugwfbw,iLLALQcbddefghhhxvrdnfett,Edge: 10
jLLLAMQbedefhiihiaafdexhxmb,iLLALQcbddefghhhxvrdnfett,Face: 7
hLLAMkadedfgggjillnaii,iLLLAQcbedefghhhaafdenphl,Edge: 12
jLLvAQQbeehgighiiaadasnwvnn,iLLLAQcbedefghhhaafdenphl,Face: 7
jLLLAMQbedefhiihiaafdexhxmb,iLLLAQcbedefghhhaafdenphl,Face: 6
jLLLAAQcedfghgiiitafapacakk,iLLLAQcbedefghhhaafdenphl,Face: 2
hLLAMkcdeefggghrmaicco,iLLvQQccdhegfhghhriagkwro,Edge: 16
jLLLLQQcefeigihhilhdigsbbjk,iLLvQQccdhegfhghhriagkwro,Face: 8
jLLzMPQcdeghgiihihraicwmmce,iLLvQQccdhegfhghhriagkwro,Face: 4
hLLAMkbeedfgggliagdgrk,iLLLAQccdfefhghhlfdxdesdp,Edge: 11
