id,oriented,tetrahedra
eLAkaccddjnjqw,1,4
fLLQcadedeejillib,0,5
fLLQccceddeqfxjjj,1,5
fLLQcacdeeejkexcg,1,5
fLLQcacdedejbxanj,1,5
gLLAQbdedffftvprxbk,0,6
gLLAQbdcefffhgsqpgo,0,6
gLLAQaddeeffnpupcok,0,6
gLLMQacdfeffjbxccnn,0,6
gLLPQcdcfeffqsnadrs,0,6
gLLAQbcdeeffxbraaww,0,6
gLLAQadedfffjxuhgjg,1,6
gLLAQbddeeffxvrdtnj,1,6
gLLAQaddeeffnmapcfj,1,6
gLLAQaeddeffjiadcoj,1,6
hLLLQkbddfggfgajfpjnks,0,7
hLLLQkcdefgfggpwhupnfk,0,7
hLLAPkbdedgfggtvugwfbw,0,7
hLLAMkbeedfgggliagdgrk,0,7
hLLAAkbddeffgglvkhqrek,0,7
fLLQcadddeenhahak,1,5
hLLAPkbcedfgfgajhfssww,0,7
hLLPAkccdfefggaknaaohw,0,7
hLLAMkadedfgggjillnaii,0,7
hLLMAkbdedffgglkaflodr,0,7
hLALPkcbbegfgghqnohenf,0,7
hLLAAkccdeefggakvhqkhk,0,7
hLLLQkbedeffggahfuxwsw,0,7
hLLAMkcdeefggghrmaicco,1,7
hLLAPkbdceffgghgsqgogj,1,7
hLLLQkbdffefgglvddtwoj,1,7
hLLLQkadgfefggnmmgcvwo,1,7
hLLAPkaddegfggjuahmcau,1,7
iLLLAQcccfgeghhhakaipkqxd,0,8
iLLALQcbddefghhhxvrdnfett,0,8
iLLLAQcbedefghhhaafdenphl,0,8
iLLvQQccdhegfhghhriagkwro,0,8
iLLLAQccdfefhghhlfdxdesdp,0,8
iLLLMQccddefghhhlgfefsxqu,0,8
iLLALQcbddefghhhlvkhckxue,0,8
iLLMLQcccdfgfghhakvibwgtw,0,8
iLLLMQcbedefhgghaafmwkokj,0,8
iLLAwQccddefghhhpfvalaajj,0,8
iLLAPPcbdcefghhhhgsqgbapp,0,8
iLLLMQcbedfgghghaafujjoow,0,8
gLALQbcbefffxhjsxxa,1,6
iLALLQccbbeghhghqhknannvc,0,8
gLLMQbddeeffajriijw,0,6
iLLAMMcbeedffghhaapkabkxj,0,8
iLLLMQcbedeghhghxafebrsgc,0,8
iLLLMQcbedgffghhaafhjfjoj,0,8
iLLLMQcbdegffghhhgmekjrjj,1,8
iLLLMQcbedgfhfhhdlfigcnbf,1,8
iLLLMQccefdghhghluqksjknn,1,8
iLLLAQcbedefgghhlufupkwir,1,8
jLLLAPQccfgffhiiiqfahtfeenn,0,9
jLLzMPQcdeghgiihihraicwmmce,0,9
jLLLAMQbedefhiihiaafdexhxmb,0,9
jLLvAQQbeehgighiiaadasnwvnn,0,9
jLLLAAQcedfghgiiitafapacakk,0,9
jLLLLQQcefeigihhilhdigsbbjk,0,9
jLLLMAQcddeghgiiilgfececarr,0,9
jLLLLQQcefgghigiiluqlskongo,0,9
jLLAzMQcdedghihiipwioflpquo,0,9
jLLALPQcdedfhhiiipwiowethus,0,9
jLLLMPQcddefghiiilgfqfnalcc,0,9
jLLLMPQbedegghhiiaafdsogfpw,0,9
jLLLLQQbedffghihiaafjjoffww,0,9
jLLLwQQccfghiihhiakaibiiwga,0,9
jLLLMPQbdeehihiihlvmmjavttn,0,9
jLLAMzQadedfghiiijillnaaaii,0,9
jLLvQAQbeghfffhiiaaaaassbxn,0,9
hLALPkbcbfgfgghxjelxtg,0,7
jLALzPQcbbeggihiihqnohsasll,0,9
hLLAPkbddegfggajruorfv,0,7
jLLAwAQbedefghhiiaarudfuxoj,0,9
jLLLMMQbedghhgihiaafhssoxjj,0,9
jLLLAMQbddgfgihiiasfugraqjs,0,9
jLLLwQQbedgigfhiiaafhasnjpi,0,9
jLLLPAQccfgehhiiiqfalnkkxth,1,9
jLLALPQccdefighiilnvqvlsdkf,1,9
kLLLPwQkccgehfihjjjqfdugfektnn,0,10
kLLLLAQkbedfigjijijaafjjkaftoe,0,10
kLLALAMkbddefghijjjxvrdnfeaatt,0,10
kLLLAPMkcdfefgihjjjlfdxdsepaee,0,10
kLLvAQMkbeghffiijjjaatassbbqhh,0,10
kLLLAAMkcedgfhgijjjtafmxashamm,0,10
kLLLPAPkccghhgfjijjqfdtcffudog,0,10
kLLLLPQkbddfgijjijiasfsohxppxa,0,10
kLLLwMQkcddfgjjhiijpkrtwuamnnk,0,10
kLLLMMMkcddefgihjjjlgfefshuaxx,0,10
kLLALPMkccdefihijjjlnvqvltagfn,0,10
kLLLAPMkcddfgiihjjjpkrtrdatwwk,0,10
kLLLMLQkbedegijhjijaafdsuafhiv,0,10
kLLLLMQkbedggihhijjaafjjbfvolr,0,10
kLLLvQQkbedjfghihjjaafarorfjii,0,10
kLLAPzMkbdcefghijjjhgsqgbaaapp,0,10
kLLLwQMkbedfihggjjjaafmaggkass,0,10
kLLAwAMkcddefghijjjpfvalaaaajj,0,10
iLALLQcbcbehghghxhjsdosfr,0,8
iLALLQcbcbefhghhxhjsaofss,0,8
kLALLPMkcbbegighjjjqhknaavcann,0,10
iLLAwQcbdedfghhhevdslmmkk,0,8
iLLAzQcccdeghhghakvhceenh,0,8
iLLLMQccdgffehhhasaajjskk,0,8
kLLLwMQkbedgijghiijaafhaqjfttn,0,10
kLLLAMPkbedgehihjjjaafltaauorb,0,10
kLLLvQQkbedjihghhjjhafaggcjkdd,0,10
kLLLMAMkcdgffehijjjhsaajjoaaoo,0,10
kLLPLAPkbecefghjijjlunugjjaafo,1,10
jLALLAQbcbffghiiixhjteejadd,0,9
hLLPMkccdfegggaknqqqaq,0,7
jLLAPLQbcedfghiiiasxfjjhhnn,0,9
jLLAzMQbdedggihiiaspkobapkk,0,9
jLLLLQQcdggighihiasanbnvggv,0,9
jLLALAQbcedgfhiiitsxfjkpeov,1,9
kLALvMQkcbbeijjhjiiqhknkainicv,0,10
kLALLAMkbcbefhgijjjxhjsaofaass,0,10
kLLLMAPkbedefhgijjjaafmwkommkk,0,10
kLLLAMMkcddggfihjjjaskinfalaxx,0,10
kLLAwAMkbdedfghijjjevdslmmaakk,0,10
kLLAzPMkccdegighjjjakvhcanhaee,0,10
iLLALQcbdedhhhggdwasllqor,1,8
iLLALQcbdedhgfhhdwasijjlx,1,8
kLLALLQkbcedghjjiijtsxfjuaervs,0,10
jLLvQAQbeghfffiiiaahhasshah,0,9
jLLALMQbdedhgihiidwaslvtlto,0,9
jLLALAQbdedhhgiiidwasiineqb,0,9
kLLALMMkbdedhhgijjjdwaslloisjj,0,10
kLLALwQkbdedhghjijjdwasijlxsjj,0,10
