target,source,label
gLALQbcbeeffxxjgbaj,fLAMcbbcdeedhwqqw,Face: 9
gLLPQcdcefffhsnelwn,fLAMcbbcdeedhwqqw,Face: 8
fLAMcaccdeensnqhn,gLALQbcbeeffxxjgbaj,Edge: 11
hLLAAkbcedefggtsafloqn,gLLPQcdcefffhsnelwn,Face: 12
hLLPAkcdcfefgghsnatnhw,gLLPQcdcefffhsnelwn,Face: 10
gLLQPacdeeffnkdlcpw,fLAMcaccdeensnqhn,Face: 8
gLLAQcceeefflniqmxj,fLAMcaccdeensnqhn,Face: 5
iLLMLQcaceffghhhnktcrahks,hLLAAkbcedefggtsafloqn,Face: 12
iLLAAMcbcedffghhtsafhgphj,hLLAAkbcedefggtsafloqn,Face: 5
iLLMAMcacdeffghhjkacvkqhn,hLLPAkcdcfefgghsnatnhw,Face: 6
iLLMPMcacdeffghhjkacbwmxj,hLLPAkcdcfefgghsnatnhw,Face: 5
hLLMMkbcdeffggebbptjpn,gLLQPacdeeffnkdlcpw,Face: 8
hLLMMkbcdeffggebbptjpn,gLLAQcceeefflniqmxj,Face: 9
hLLAMkbdedfgfgdvawxqkw,gLLAQcceeefflniqmxj,Face: 6
hLLPAkbddeefggdwsilwqn,gLLAQcceeefflniqmxj,Face: 5
jLLAzMQbdedfghiiilvagcoltsw,iLLMLQcaceffghhhnktcrahks,Face: 16
jLLALAQceddfghhiitqvnjfedgj,iLLMLQcaceffghhhnktcrahks,Face: 8
jLLALAQceddfghhiitqvnjfedgj,iLLAAMcbcedffghhtsafhgphj,Face: 14
jLLAzMQcedcgghhiihqknjgeifj,iLLAAMcbcedffghhtsafhgphj,Face: 6
hLLMAkacdeffggnkankgxn,iLLMAMcacdeffghhjkacvkqhn,Edge: 13
jLvAQMPcdcefgghiiqvjqnvwqxr,iLLMAMcacdeffghhjkacvkqhn,Face: 4
jLLAzMQcedcgghhiihqknjgeifj,iLLMPMcacdeffghhjkacbwmxj,Face: 8
jLLPMMPcecfegghiihqnaxnkhhr,iLLMPMcacdeffghhjkacbwmxj,Face: 6
gLLAQcceeefflniqmxj,hLLMMkbcdeffggebbptjpn,Edge: 11
iLLAwQcbdedfhhhgevislixnn,hLLMMkbcdeffggebbptjpn,Face: 9
iLvLQQcaehefgghhjxvcrborr,hLLMMkbcdeffggebbptjpn,Face: 5
iLLMwQcacedfghhhnktrkuxgn,hLLAMkbdedfgfgdvawxqkw,Face: 11
iLLMMMcacdeffghhjkacvkqhn,hLLAMkbdedfgfgdvawxqkw,Face: 6
iLLLMQcbddfhfgghxrfxqojkw,hLLAMkbdedfgfgdvawxqkw,Face: 5
iLLLQMccddefgghhpkrdcvrmk,hLLPAkbddeefggdwsilwqn,Face: 11
iLLALQccedcfhghhhqknslklx,hLLPAkbddeefggdwsilwqn,Face: 4
kLLALPPkceddfhhijjjtqvnjeaaffb,jLLAzMQbdedfghiiilvagcoltsw,Face: 13
iLLAAMcbcedffghhtsafhgphj,jLLALAQceddfghhiitqvnjfedgj,Edge: 11
kLLALPPkceddfhhijjjtqvnjeaaffb,jLLALAQceddfghhiitqvnjfedgj,Face: 18
kLLPLMMkacdehhgiijjnkmvqumfsln,jLLALAQceddfghhiitqvnjfedgj,Face: 11
iLLMPMcacdeffghhjkacbwmxj,jLLAzMQcedcgghhiihqknjgeifj,Edge: 13
kLLPLMMkacdehhgiijjnkmvqumfsln,jLLAzMQcedcgghhiihqknjgeifj,Face: 16
kLLALLQkcedchgihijjhqknqkaxcnj,jLLAzMQcedcgghhiihqknjgeifj,Face: 6
iLLLQPccddegfghhtgfmgjfpj,hLLMAkacdeffggnkankgxn,Face: 14
iLLMMMcacdfefghhnkarrsxxn,hLLMAkacdeffggnkankgxn,Face: 6
iLLMMMcacdfefghhnkarrsxxn,jLvAQMPcdcefgghiiqvjqnvwqxr,Edge: 15
kLLAzAAkcedcfhghijjhqvnjmcloqs,jLvAQMPcdcefgghiiqvjqnvwqxr,Face: 5
kLLAzAAkcedcfhghijjhqvnjmcloqs,jLLPMMPcecfegghiihqnaxnkhhr,Face: 7
kLLLLQAkcegfehghijjhqhmnvrfwqj,jLLPMMPcecfegghiihqnaxnkhhr,Face: 5
hLLMAkbeefefgghhaimmsk,iLLAwQcbdedfhhhgevislixnn,Edge: 10
jLLAvQQbdedihgiihevisepsptn,iLLAwQcbdedfhhhgevislixnn,Face: 11
jLLLLQQccfihfggiipvacbfcjsc,iLLAwQcbdedfhhhgevislixnn,Face: 10
jLLLLQQadeifhghiijuxpcxrlev,iLLAwQcbdedfhhhgevislixnn,Face: 9
jLvLAQQaefhhgigiijxorrbiopq,iLvLQQcaehefgghhjxvcrborr,Face: 13
jLLLLQQadeifhghiijuxpcxrlev,iLvLQQcaehefgghhjxvcrborr,Face: 11
hLLAPkbddefgfgxrrxgbrs,iLLMwQcacedfghhhnktrkuxgn,Edge: 12
jLLLAPQbdeefgihhihoiidotern,iLLMwQcacedfghhhnktrkuxgn,Face: 8
jLLLLQQccfihfggiipvacbfcjsc,iLLMwQcacedfghhhnktrkuxgn,Face: 5
hLLMMkacdfefggjkagggxr,iLLMMMcacdeffghhjkacvkqhn,Edge: 13
jLvAQPPcdcefgghiihvnhwwwqqs,iLLMMMcacdeffghhjkacvkqhn,Face: 6
jLLLAPQbdeefgihhihoiidotern,iLLLMQcbddfhfgghxrfxqojkw,Face: 13
jLLALQPcedcfghhiihqknsgtpoj,iLLLMQcbddfhfgghxrfxqojkw,Face: 7
jLLLMAQcddfhfgihihsfahffxwj,iLLLMQcbddfhfgghxrfxqojkw,Face: 6
jLLAzPQbdedfhhiiilvagcilmeb,iLLLQMccddefgghhpkrdcvrmk,Face: 14
jLLAzAQceddghghiitqvnfmferj,iLLLQMccddefgghhpkrdcvrmk,Face: 7
jLvLAQQaefhhgigiijxorrbiopq,iLLLQMccddefgghhpkrdcvrmk,Face: 4
jLLAzAQceddghghiitqvnfmferj,iLLALQccedcfhghhhqknslklx,Face: 13
jLLALQPcedcfghhiihqknsgtpoj,iLLALQccedcfhghhhqknslklx,Face: 6
jLLALAQceddfghhiitqvnjfedgj,kLLALPPkceddfhhijjjtqvnjeaaffb,Edge: 12
jLLAzMQcedcgghhiihqknjgeifj,kLLPLMMkacdehhgiijjnkmvqumfsln,Edge: 15
hLLAAkbcedffgglsajhvej,iLLLQPccddegfghhtgfmgjfpj,Edge: 11
jLLLQMPcddefgghiitgfmnskpqs,iLLLQPccddegfghhtgfmgjfpj,Face: 11
jLLALQPccdefghhiiakvhvnhlcn,iLLLQPccddegfghhtgfmgjfpj,Face: 3
