id,oriented,tetrahedra
fLAMcbbcdeedhwqqw,1,5
gLALQbcbeeffxxjgbaj,1,6
gLLPQcdcefffhsnelwn,1,6
fLAMcaccdeensnqhn,1,5
hLLAAkbcedefggtsafloqn,1,7
hLLPAkcdcfefgghsnatnhw,1,7
gLLQPacdeeffnkdlcpw,1,6
gLLAQcceeefflniqmxj,1,6
iLLMLQcaceffghhhnktcrahks,1,8
iLLAAMcbcedffghhtsafhgphj,1,8
iLLMAMcacdeffghhjkacvkqhn,1,8
iLLMPMcacdeffghhjkacbwmxj,1,8
hLLMMkbcdeffggebbptjpn,1,7
hLLAMkbdedfgfgdvawxqkw,1,7
hLLPAkbddeefggdwsilwqn,1,7
jLLAzMQbdedfghiiilvagcoltsw,1,9
jLLALAQceddfghhiitqvnjfedgj,1,9
jLLAzMQcedcgghhiihqknjgeifj,1,9
hLLMAkacdeffggnkankgxn,1,7
jLvAQMPcdcefgghiiqvjqnvwqxr,1,9
jLLPMMPcecfegghiihqnaxnkhhr,1,9
iLLAwQcbdedfhhhgevislixnn,1,8
iLvLQQcaehefgghhjxvcrborr,1,8
iLLMwQcacedfghhhnktrkuxgn,1,8
iLLMMMcacdeffghhjkacvkqhn,1,8
iLLLMQcbddfhfgghxrfxqojkw,1,8
iLLLQMccddefgghhpkrdcvrmk,1,8
iLLALQccedcfhghhhqknslklx,1,8
kLLALPPkceddfhhijjjtqvnjeaaffb,1,10
kLLPLMMkacdehhgiijjnkmvqumfsln,1,10
kLLALLQkcedchgihijjhqknqkaxcnj,1,10
iLLLQPccddegfghhtgfmgjfpj,0,8
iLLMMMcacdfefghhnkarrsxxn,1,8
kLLAzAAkcedcfhghijjhqvnjmcloqs,1,10
kLLLLQAkcegfehghijjhqhmnvrfwqj,1,10
hLLMAkbeefefgghhaimmsk,1,7
jLLAvQQbdedihgiihevisepsptn,1,9
jLLLLQQccfihfggiipvacbfcjsc,1,9
jLLLLQQadeifhghiijuxpcxrlev,1,9
jLvLAQQaefhhgigiijxorrbiopq,1,9
hLLAPkbddefgfgxrrxgbrs,1,7
jLLLAPQbdeefgihhihoiidotern,1,9
hLLMMkacdfefggjkagggxr,1,7
jLvAQPPcdcefgghiihvnhwwwqqs,1,9
jLLALQPcedcfghhiihqknsgtpoj,1,9
jLLLMAQcddfhfgihihsfahffxwj,1,9
jLLAzPQbdedfhhiiilvagcilmeb,1,9
jLLAzAQceddghghiitqvnfmferj,1,9
hLLAAkbcedffgglsajhvej,0,7
jLLLQMPcddefgghiitgfmnskpqs,0,9
jLLALQPccdefghhiiakvhvnhlcn,0,9
jLLMPPPaceefgghiinkeskhukxn,1,9
iLLLAQcbegegfghhhhqmqgojk,1,8
iLLLAQcbcgdfhhghebhjkhuvh,1,8
iLLLAQcbcdgfhhghtsjxgqhvi,1,8
iLLAMMcbdedfgghhevdsamdnr,1,8
kLLLvQQkcddfhgijhjjhsgfkvatnjv,1,10
kLLLMzQkccfgehjiijjqfaansuiits,1,10
kLLLAPMkbdegehihijjxsltltitrnw,1,10
kLLLLAQkccdgfhijjijlnknfkamdmj,1,10
kLLLALQkcbegfhhijjjpnqupllesck,1,10
kLLLvQQkcdfhghgjjijqgegfvfxiwe,1,10
iLLALQcccdeggfhhivvxokjdr,1,8
iLLLMQcacdfhgghhnkrwpvfad,1,8
iLvLQQcaedghfhghjxwrrbcwf,1,8
iLLLAQcacdgffhhhnkrksbedx,1,8
kLLLMMPkacdefhihjjjnkrnkqhxvvk,1,10
kLvAAzQkbeffggjhjijhupiaopwpjk,1,10
iLLLQPcbdegefghhtvmqtgwak,0,8
