target,source,label
gLALQbcbeeffhhjcras,fLAMcbbcdeedhrxxr,Face: 10
gLALQbcbeeffxxjnkqj,fLAMcbbcdeedhrxxr,Face: 9
gLLPQcdcefffhsnmlkj,fLAMcbbcdeedhrxxr,Face: 8
gLAMPbbcdeffdhgqqqw,fLAMcbbcdeedhrxxr,Face: 7
hLLAAkaedeefggnmaekkqw,gLALQbcbeeffhhjcras,Face: 11
hLALPkbcbefgfgxxjgaqnw,gLALQbcbeeffhhjcras,Face: 3
hLLMAkaddeefggnuadjnqn,gLALQbcbeeffxxjnkqj,Face: 11
hLLAAkcddeefgglcvatnhj,gLLPQcdcefffhsnmlkj,Face: 12
hLLAAkcedefeggthvaxaxr,gLLPQcdcefffhsnmlkj,Face: 11
hLLPAkcdcfefgghsnaislk,gLLPQcdcefffhsnmlkj,Face: 10
hLAMzkaccdefggngbqqqqn,gLAMPbbcdeffdhgqqqw,Face: 1
iLLMzQcaceefhhghnktfkdewc,hLLAAkaedeefggnmaekkqw,Face: 12
iLLLAQccddfgfhghugwasfmkw,hLLAAkaedeefggnmaekkqw,Face: 11
iLLMLQcccdffhgghqvvakhcsk,hLLAAkaedeefggnmaekkqw,Face: 9
iLLMLQcaceeghgghnktfaphpk,hLLMAkaddeefggnuadjnqn,Face: 11
iLLLAQcbcfgehgghdfmauxjvr,hLLMAkaddeefggnuadjnqn,Face: 9
iLLzAQccdcegfghhhsnqsnklj,hLLMAkaddeefggnuadjnqn,Face: 5
iLLLQMccdefefghhtruaifcqw,hLLAAkcddeefgglcvatnhj,Face: 7
iLLMLQcccdffhgghqvvakhcsk,hLLAAkcddeefgglcvatnhj,Face: 6
iLLPwQcceeffhhghthadabonn,hLLAAkcedefeggthvaxaxr,Face: 12
iLLLAQcbcfgehgghdfmauxjvr,hLLAAkcedefeggthvaxaxr,Face: 6
iLLAAMcbdeeffghhevdpaluxj,hLLAAkcedefeggthvaxaxr,Face: 5
iLLMAMcacdeffghhnsacvkqhn,hLLPAkcdcfefgghsnaislk,Face: 6
iLvAQMcadeeffghhjahsrggqw,hLLPAkcdcfefgghsnaislk,Face: 5
jLLALPQcdcegghihihsjhboutrn,iLLLAQccddfgfhghugwasfmkw,Face: 13
hLLAAkcddeefgglcvatnhj,iLLMLQcccdffhgghqvvakhcsk,Edge: 12
jLLALPQcdcegghihihsjhboutrn,iLLMLQcccdffhgghqvvakhcsk,Face: 13
jLvPLQQccegfhghiihnurcsrncs,iLLMLQcccdffhgghqvvakhcsk,Face: 4
jLLLMPQcddffiiihhtgfagamtmj,iLLMLQcaceeghgghnktfaphpk,Face: 14
jLLLLQQbdeghgfiiitvisnsjssc,iLLMLQcaceeghgghnktfaphpk,Face: 13
jLLMwMQaceefhghiinktfspkovk,iLLMLQcaceeghgghnktfaphpk,Face: 9
hLLAAkcedefeggthvaxaxr,iLLLAQcbcfgehgghdfmauxjvr,Edge: 12
jLLLLQQbdeghgfiiitvisnsjssc,iLLLAQcbcfgehgghdfmauxjvr,Face: 13
jLLLAAQbcgfehgihidfpuuxrqrk,iLLLAQcbcfgehgghdfmauxjvr,Face: 9
jLLMwMQaceefhghiinktfspkovk,iLLzAQccdcegfghhhsnqsnklj,Face: 13
jLLLAAQbcgfehgihidfpuuxrqrk,iLLzAQccdcegfghhhsnqsnklj,Face: 11
jLLLAQPbcegffhgiidfqahkanqw,iLLzAQccdcegfghhhsnqsnklj,Face: 10
jLLzQLQcdcegfihhiqsnqffahks,iLLzAQccdcegfghhhsnqsnklj,Face: 5
jLvPLQQccegfhghiihnurcsrncs,iLLLQMccdefefghhtruaifcqw,Face: 10
jLLLMPQcddfhihiihtgfaeahhae,iLLPwQcceeffhhghthadabonn,Face: 16
jLLLLQQbdeghgfiiitvisnsjssc,iLLPwQcceeffhhghthadabonn,Face: 9
jLLALPQbdeegghhiievdpnfswaj,iLLPwQcceeffhhghthadabonn,Face: 8
jLLALPQbdeegghhiievdpnfswaj,iLLAAMcbdeeffghhevdpaluxj,Face: 14
jLLALPQcedegighhituvpvxjcsr,iLLAAMcbdeeffghhevdpaluxj,Face: 6
jLLLMQPbdfffgghiixviigbowxr,iLLAAMcbdeeffghhevdpaluxj,Face: 5
jLLLMQPcdefhhfhiilruqkjkkqw,iLLAAMcbdeeffghhevdpaluxj,Face: 1
hLLMAkacdeffggnkankkxr,iLLMAMcacdeffghhnsacvkqhn,Edge: 13
jLLwMQPacdggfghiijsxxxkxqqn,iLLMAMcacdeffghhnsacvkqhn,Face: 6
jLLwLQQaceghfihiinktlajmnjn,iLvAQMcadeeffghhjahsrggqw,Face: 14
jLLALPQcedegighhituvpvxjcsr,iLvAQMcadeeffghhjahsrggqw,Face: 7
jLvAAAQbeffghfihiedxaxfbxkr,iLvAQMcadeeffghhjahsrggqw,Face: 6
iLLMLQcccdffhgghqvvakhcsk,jLLALPQcdcegghihihsjhboutrn,Edge: 11
kLLwzPQkaceffijhjijnktkkfwcwvv,jLLALPQcdcegghihihsjhboutrn,Face: 9
iLLLQMccdefefghhtruaifcqw,jLvPLQQccegfhghiihnurcsrncs,Edge: 14
kLLwzPQkaceffijhjijnktkkfwcwvv,jLvPLQQccegfhghiihnurcsrncs,Face: 15
