target,source,label
fLAMcaccdeengbaqj,eLAkbbcdddhwqj,Face: 7
fLLQcacedeejkemsr,eLAkbbcdddhwqj,Face: 6
eLAkaccddnsnqw,fLAMcaccdeengbaqj,Edge: 9
gLLAQbcedefftsafloj,fLLQcacedeejkemsr,Face: 10
gLLAQacdeeffjkairqj,fLLQcacedeejkemsr,Face: 8
fLLQcacdeeenkdlcg,eLAkaccddnsnqw,Face: 7
fLLQcadedeejmelds,eLAkaccddnsnqw,Face: 5
hLLMMkbceefgggdftmabsr,gLLAQbcedefftsafloj,Face: 11
hLLAAkbcedffggtsafhgpr,gLLAQbcedefftsafloj,Face: 5
hLLMAkacdeffggjkacvkqw,gLLAQacdeeffjkairqj,Face: 6
hLLMPkacdeffggjkacbwmn,gLLAQacdeeffjkairqj,Face: 5
gLLMQbcdefffebbptgj,fLLQcacdeeenkdlcg,Face: 9
gLLAQcedeeffhtvaqqr,fLLQcacdeeenkdlcg,Face: 6
gLLMQbcdefffebbptgj,fLLQcadedeejmelds,Face: 8
gLLAQaddeeffnuapfoj,fLLQcadedeejmelds,Face: 6
gLLMQacdfeffnrhccjk,fLLQcadedeejmelds,Face: 5
iLLALQccdedfhghhpchoftwtd,hLLMMkbceefgggdftmabsr,Face: 9
iLLLAQccddeghhghhsgxgutvd,hLLMMkbceefgggdftmabsr,Face: 1
iLLALQccdedfhghhpchoftwtd,hLLAAkbcedffggtsafhgpr,Face: 13
iLLLMQccdefgfhghhslarfokr,hLLAAkbcedffggtsafhgpr,Face: 6
iLLAMPcbcedfgghhtsafhxxon,hLLAAkbcedffggtsafhgpr,Face: 5
gLLAQbcedefftsajljj,hLLMAkacdeffggjkacvkqw,Edge: 12
iLvAQMccdcefgghhqvjqnvwqn,hLLMAkacdeffggjkacvkqw,Face: 4
iLLLPQcacfgghghhjkgkbawim,hLLMPkacdeffggjkacbwmn,Face: 13
iLLLMQccdefgfhghhslarfokr,hLLMPkacdeffggjkacbwmn,Face: 8
iLLAMMcaedeffghhjxahrwqqj,hLLMPkacdeffggjkacbwmn,Face: 6
fLLQcadedeejmelds,gLLMQbcdefffebbptgj,Edge: 12
hLLAMkbdedfgggevisldql,gLLMQbcdefffebbptgj,Face: 10
hvLAQkdedfgfggwvkhqhqo,gLLMQbcdefffebbptgj,Face: 5
hLLLQkbcfgffggebpaevjr,gLLAQcedeeffhtvaqqr,Face: 11
hLLAPkbdecfgggtvanjrsc,gLLAQaddeeffnuapfoj,Face: 10
hLLMMkacdeffggjkacvkqw,gLLAQaddeeffnuapfoj,Face: 6
hLLLQkaedfefggjxugwojk,gLLAQaddeeffnuapfoj,Face: 5
hLLLQkcddefgggpkrdcvrs,gLLMQacdfeffnrhccjk,Face: 10
hLLAMkbcedffggtsafhwir,gLLMQacdfeffnrhccjk,Face: 4
hLLAAkbcedffggtsafhgpr,iLLALQccdedfhghhpchoftwtd,Edge: 10
jLLALQPcdedfghhiipchofohqon,iLLALQccdedfhghhpchoftwtd,Face: 12
jLLALMQbcedhghiiidftshguexk,iLLALQccdedfhghhpchoftwtd,Face: 10
jLLLLQQcdeifhihihhfdvrvfcww,iLLALQccdedfhghhpchoftwtd,Face: 5
jLLALMQceddfhiihitqvnjmdmmf,iLLALQccdedfhghhpchoftwtd,Face: 4
jLLLLQQbdegiihhihdwxjcngrgf,iLLLAQccddeghhghhsgxgutvd,Face: 13
jLLALMQceddfhiihitqvnjmdmmf,iLLLAQccddeghhghhsgxgutvd,Face: 11
jLLMLAQcdedfhgiiipklrcerqof,iLLLAQccddeghhghhsgxgutvd,Face: 5
hLLMPkacdeffggjkacbwmn,iLLLMQccdefgfhghhslarfokr,Edge: 12
jLLALQPcdedfghhiipchofohqon,iLLLMQccdefgfhghhslarfokr,Face: 15
jLLAzAQbecdghghiihhnsoajask,iLLLMQccdefgfhghhslarfokr,Face: 6
jLLALMQbcedhghiiidftshguexk,iLLAMPcbcedfgghhtsafhxxon,Face: 15
jLLAMLQbcedfgiihitsxjhxwgjn,iLLAMPcbcedfgghhtsafhxxon,Face: 6
hLLAAkbddeefggdwnhtgqj,gLLAQbcedefftsajljj,Face: 7
hLLAPkacdegfggjkaahhgb,gLLAQbcedefftsajljj,Face: 1
hLLAAkbddeefggdwnhtgqj,iLvAQMccdcefgghhqvjqnvwqn,Edge: 14
jLLPLAQcdcfhfghiihsrahfodbn,iLvAQMccdcefgghhqvjqnvwqn,Face: 5
jLvALQQadfhifiihhjaqexbaalm,iLLLPQcacfgghghhjkgkbawim,Face: 12
jLLLPQPbcgeffghiiebppkcvsxk,iLLLPQcacfgghghhjkgkbawim,Face: 10
jLLLPQPbcgeffghiiebppkcvsxk,iLLAMMcaedeffghhjxahrwqqj,Face: 15
jLLPLAQcdcfhfghiihsrahfodbn,iLLAMMcaedeffghhjxahrwqqj,Face: 7
jLLLMMQbedgghighihhfhvrhjsr,iLLAMMcaedeffghhjxahrwqqj,Face: 5
gLLMQbeefeffhhaimme,hLLAMkbdedfgggevisldql,Edge: 9
iLLAPPcbdedgfghhevisvrsps,hLLAMkbdedfgggevisldql,Face: 14
iLLAzQcbdedfhghhevisgespt,hLLAMkbdedfgggevisldql,Face: 12
iLLvQQccdfgfghhhtwxlkcbjv,hLLAMkbdedfgggevisldql,Face: 9
iLLvQQccdfgfghhhtwxlkcbjv,hvLAQkdedfgfggwvkhqhqo,Face: 12
