id,oriented,tetrahedra
eLAkbbcdddhwqj,1,4
fLAMcaccdeengbaqj,1,5
fLLQcacedeejkemsr,1,5
eLAkaccddnsnqw,1,4
gLLAQbcedefftsafloj,1,6
gLLAQacdeeffjkairqj,1,6
fLLQcacdeeenkdlcg,1,5
fLLQcadedeejmelds,1,5
hLLMMkbceefgggdftmabsr,1,7
hLLAAkbcedffggtsafhgpr,1,7
hLLMAkacdeffggjkacvkqw,1,7
hLLMPkacdeffggjkacbwmn,1,7
gLLMQbcdefffebbptgj,1,6
gLLAQcedeeffhtvaqqr,1,6
gLLAQaddeeffnuapfoj,1,6
gLLMQacdfeffnrhccjk,1,6
iLLALQccdedfhghhpchoftwtd,1,8
iLLLAQccddeghhghhsgxgutvd,1,8
iLLLMQccdefgfhghhslarfokr,1,8
iLLAMPcbcedfgghhtsafhxxon,1,8
gLLAQbcedefftsajljj,1,6
iLvAQMccdcefgghhqvjqnvwqn,1,8
iLLLPQcacfgghghhjkgkbawim,1,8
iLLAMMcaedeffghhjxahrwqqj,1,8
hLLAMkbdedfgggevisldql,1,7
hvLAQkdedfgfggwvkhqhqo,1,7
hLLLQkbcfgffggebpaevjr,1,7
hLLAPkbdecfgggtvanjrsc,1,7
hLLMMkacdeffggjkacvkqw,1,7
hLLLQkaedfefggjxugwojk,1,7
hLLLQkcddefgggpkrdcvrs,1,7
hLLAMkbcedffggtsafhwir,1,7
jLLALQPcdedfghhiipchofohqon,1,9
jLLALMQbcedhghiiidftshguexk,1,9
jLLLLQQcdeifhihihhfdvrvfcww,1,9
jLLALMQceddfhiihitqvnjmdmmf,1,9
jLLLLQQbdegiihhihdwxjcngrgf,1,9
jLLMLAQcdedfhgiiipklrcerqof,1,9
jLLAzAQbecdghghiihhnsoajask,1,9
jLLAMLQbcedfgiihitsxjhxwgjn,1,9
hLLAAkbddeefggdwnhtgqj,1,7
hLLAPkacdegfggjkaahhgb,1,7
jLLPLAQcdcfhfghiihsrahfodbn,1,9
jLvALQQadfhifiihhjaqexbaalm,1,9
jLLLPQPbcgeffghiiebppkcvsxk,1,9
jLLLMMQbedgghighihhfhvrhjsr,1,9
gLLMQbeefeffhhaimme,1,6
iLLAPPcbdedgfghhevisvrsps,1,8
iLLAzQcbdedfhghhevisgespt,1,8
iLLvQQccdfgfghhhtwxlkcbjv,1,8
iLLvQQccdeggfhhhtcqlgrjcv,1,8
ivLLQQccdehgfghhfvvaahogo,1,8
iLvLQQcbdfeghghhdfeqjovfo,1,8
iLLLMQcbdgffghhhdwiawsccc,1,8
iLvLQQcbfefhhgghxuauhvkkr,1,8
gLLAQbdeeeffxstxaxk,1,6
iLLLAQcadefeghhhnixgcoxpe,1,8
gLLMQacdfeffjkaggkg,1,6
iLvAQPccdcefgghhqvjqnvwqn,1,8
iLLvQQccdfhefhghhsaerfkkj,1,8
iLLLMQccddfhfgghhsfahffkw,1,8
iLLAzQccdedghhghpchosidwi,1,8
iLLLMQccddefhghhhsgxoevau,1,8
iLLAMMcbcedfgghhtsafhxqsk,1,8
kLLLLQPkcdeifgihijjhfdvrsfjgtw,1,10
kLLLMLQkcddehghjjjihsgxhvaivgn,1,10
kLLALPMkcdedhhgiijjpchohlwavwn,1,10
kLLMvQMkcdedhgiijjjpkhrdreisnn,1,10
kLLMvPQkcdedgihjijjpkhrrdhufcc,1,10
kLLALzQkbcedhihjijjtsafxhxhlog,1,10
kLLALPMkccdehigijjjpvktxtkarbv,1,10
kLLLMzQkcdefhijhijjhfdavumwmdj,1,10
kLLLvQQkbddfjgijiijdwfwpniltid,1,10
kLLALAPkceddhhgjijjtqvnpxfhsjf,1,10
kLLLLAQkbceihihjhjjtsubobblfdl,1,10
kLLLLAQkccfghijhhjjdwajffqvrqa,1,10
kLLLLAQkccfgihjhhjjlnagssqwcqa,1,10
kLLAwMAkbecdfgihijjhhnsxurnrdw,1,10
kLLAzAAkbecdgghhijjhhnsogitsxk,1,10
kLLAMzMkbcedfghiijjtsafhxhxloj,1,10
iLLAAMcbdedffghhtkawxraqj,1,8
iLLPAMcccdeffghhqffmunhhr,1,8
gLLPQaceffefjkagjjj,1,6
kLLLAzQkacfegiijijjjkgcktipngr,1,10
iLLPAMccdeffeghhtrahalahw,1,8
