id,oriented,tetrahedra
fLLQcbcedeetsasud,1,5
gvLQQcdefeffjgotjhx,1,6
gLLAQbcedffftsxfhkv,1,6
gLLPQcdefeffpfqxddj,1,6
gLLMQbcdefffdfbiuon,1,6
hLLLQkcdfegfggpclxpcrw,1,7
hvLAQkcdegfgfgffjhieqf,1,7
hvLPQkcdefggfgkjfpmmif,1,7
hvLAQkcdfeggfgkwpfhuik,1,7
fLLQcbcedeetsajqa,1,5
hLLAPkbddefgggevjxrvsv,1,7
hLLLQkbddgfgfgdwfuknbn,1,7
hvLAQkcedgfgfgkjkhhahr,1,7
hvLAQkcdfegfggwnlgtuqo,1,7
hLLLQkcdeegfggtwhhlfwr,1,7
fLLQcacdeeejkadko,1,5
hLLAPkcddegfggpcvajckg,1,7
hLLAMkbdedffggtvdgaktj,1,7
iLvAMQccdefghghhuruqvjbvk,1,8
iLvAMQccdegfhhghlvearjsrc,1,8
iLvLQQcbdefghhghlfxxgbknk,1,8
iLLLMQcccfeghhghqfaxjcnos,1,8
iLvLQQcbdefghghhhfuhgkwkr,1,8
ivLAPQcdedfhgghhsvwpmpfnj,1,8
iLvLQQcbdfeghhghtfetgcnbs,1,8
iLvAMQccdegfhghhtvdawfjvv,1,8
iLLvQQccdfhghfghugaajwnwb,1,8
gLLPQccdeffftnkumro,1,6
gLLMQbdeefffdwehpig,1,6
gLLAQccdeeffhwvlqks,1,6
gLLPQccdfeffhwrqqof,1,6
iLLLMQcbceghfhghtspassgjc,1,8
iLLLAQcbcegfghhhtsxaawpup,0,8
iLvAMQccdfghfghhuvqafcjcc,1,8
iLLMPMcbceefgghhtsxpiffes,1,8
iLLLPQcccehfgghhlnxpcnwfn,0,8
iLLLPQcccfgfghhhlnaajnjfr,1,8
iLLLQPcbddggfghhdwfugbrak,1,8
iLvAMQccdefghghhuvuqvjbbr,1,8
iLvLQQcbdfeghghhtfqlggrgn,1,8
iLLwMQccedfhghghhlvecwbwg,1,8
iLvAMQccdefghghhpjaqoovno,1,8
ivLAMQccefeghhghwvhgtqnvv,1,8
iLLLMQcbdgfghhhgxviekkvbo,1,8
gLLAQccedeffqfmnqjw,1,6
gLvQQaefdeffjhqibrs,1,6
gLLQPacedeffjkteftj,1,6
iLLLMQcbcfggfghhdfphrswvk,1,8
iLvwQQcadeghfghhjacngnvvc,1,8
hLLLQkcdffgggflcqalwsk,1,7
jLvAMMQcdegfhgiiiuvumrokqld,1,9
jLvAPPQcdefhigihipvaqktglrt,1,9
jLLLMMQccfghghiiiqfaagvnupd,1,9
hLLLQkbcefgfggebhqqkbc,1,7
jLLLzQQccfehigihiqfadveouku,1,9
jLvALQQcdehiggihipvaknfkvrj,1,9
jLvAMAQcdeghfgiiipvaukgsdeu,1,9
jLLLAPQccfeghiihiqfaxlpthxr,1,9
jLvAAPQbfefggihiithhaaopcpq,1,9
jvLALQQecdfhighiigrcmiorbrv,1,9
jLvAzQQbefgghihiihauawksncc,1,9
jLLLLQQbcfhifghiilshcjsvfos,1,9
jLLLAPQbcfgeihhiilshatxhhlj,1,9
hLvAQkbeffgegghaplmlwn,1,7
jvLAAPQdcegfhihiioccapbofjc,0,9
jLvAMPQcdeghhgiiilvauncspei,1,9
jLvAzQQbefgghhiiidahakbwgcf,1,9
jLwLAPQacgfeihihijgjgkdeeeo,1,9
jLLLLQQbdefhgiihitvpnvvbboc,1,9
jLLvPQQcdhfhgigiiugaowrvvff,1,9
hLLPAkccdfefgguffaanhw,1,7
hLLLQkbcfgegfgtjdatnon,1,7
hLLAPkccedgfggqfhfwwwf,1,7
hLLAPkbdedfgggendosrrc,1,7
hLLPAkccdeffgglnclmoar,1,7
hLLAMkcddeffgghrvahwxk,1,7
hLLLQkbcfggfgflsupukgs,1,7
hLLAMkcddeffggqrjpurtk,1,7
jLLLMAQcdefhggiiitgxajccaxu,1,9
jvLALQQcedhfighiikwcqpokbrv,1,9
jLLLMMQbcefhggiiitspesvcaae,1,9
jLvAPPQcdegfhgiiiuvulcofdlh,0,9
jLLLMMQbceghghgiitsxavwobis,0,9
jLLLLQQbcfghgigiilsmnnngvsr,0,9
jLvALQQcfegghhiiiptahookbrw,1,9
jLwLLQQacgigfihhijgjlgbqdur,1,9
jLLLMAQbcfghfghiitsmasnvcms,1,9
jLvLMQQcfgheiighillamsffbcv,1,9
jLLALAQbcedfghhiitsxsbgxawr,1,9
jLLAzQPceddfghhiithvngnitwk,1,9
jLvLAQQbegfgiihhileipvwbsog,0,9
jLLLAAQccfgefhhiilnaipvlurn,0,9
jLLLLQQbddgihghiidwfnmvovah,0,9
jLvAMPQcdegfihhiiuvuucivktp,1,9
jLLLAPQcdfeghgiiiucequmfajr,1,9
jLLLPPQccefggiiihlnemnoxien,1,9
