id,oriented,tetrahedra
eLAkbbcdddhwhr,1,4
fLAMcaccdeejgnqqj,1,5
fLAMcaccdeengbaxk,1,5
fLLQcacedeejkimbj,1,5
fLAMcbbcdeedhgxhw,1,5
gLLAQacdeeffjkaiwak,1,6
gLLQPacdedffjsxarxk,1,6
eLAkaccddnnjak,1,4
gLLAQbcedefftsaflsk,1,6
gLLAQbdedfffdwpgabk,0,6
gLAMPaccdeffngbqhxn,1,6
hLLAAkbdedffggtvpgarlr,1,7
hLLAAkbdedffggtvagiraj,1,7
hLLPMkacefefggnvxvcnaj,1,7
hLLAMkcedefgfglhvahnwk,1,7
hLLAAkacdeefggjkdirqqj,1,7
hLLLQkaeedffggnliwrrsw,1,7
fLLQcaddeeenmdplc,1,5
fLLQcaddeeenmepxc,1,5
fLLQcacdedenbqasj,1,5
hLLLQkbdggeffgdwlldjvf,1,7
hLLLQkbdegefggdwmpljoc,0,7
hLLAMkbddeffggdwnhagin,0,7
hLLAAkbcedffggtsafhgij,1,7
hLLLQkbddfgfggajfpjrgo,0,7
iLvAMQcadfgghfhhjaqggxbaa,0,8
iLLPLQcaedefghhhnqaxcamfv,1,8
iLLMAMcbcdeffghhdfblqgihw,1,8
iLLLQPccddfgfghhpkrtskotj,1,8
iLLLQPcbdeggfghhtvuqmgolj,1,8
iLLMMMcbcdeffghhdfbttwxxk,1,8
iLLLQPccddffgghhpkrtfskmn,1,8
iLLAPMcbddegfghhxvrxcrjpr,1,8
iLLMMMcbceefgghhdfqeavshr,0,8
iLLwMQcacefhfhghjvpgmguwv,0,8
iLLLQPccdedfgghhhotjrkkik,1,8
iLLALQcbdcefgghhtvnxvcrts,1,8
iLLAwQcbdeefhgghevdhamkrs,1,8
iLLALQcaedegfhhhjxahhragb,0,8
iLvAPQcaefhggfghjhqhvnbvw,1,8
iLLPzQccdcfgfghhhsravfohk,1,8
iLLPLQccdcfgghghhsrajfaoj,1,8
iLLLAQcacdfgfhghjkrwfkmwr,1,8
gLLAQbddeffflvkhlko,0,6
gLLPQccdefffpfomicf,1,6
gLLAQbdcefffhgnxpgc,1,6
gLLAQadedeffnmllsfw,1,6
gLLAQbddeffflvkhefv,0,6
gLLMQacdefffnvhwgjg,1,6
gLLAQaddeeffniapcjn,1,6
gLLAQadedeffnplaooj,1,6
iLLLAQcbdggffhhhmvlltvdmx,1,8
iLLLAQcbdgfgfhhhmklplvdmx,1,8
iLLALQcceddhgghhtqvnpbfed,1,8
iLLMLQccdedfhghhpklrcpbaq,1,8
iLLALQcbcedfghhhtsxjggqxu,0,8
iLLLAQcccfeghhghlnammimgd,0,8
iLvAAQcbefeghghhtalxawnkk,0,8
iLLALQcbcedfhghhtsafslnll,0,8
iLLMLQcbdedfhghhtvabnaohd,0,8
iLvLQQcadfhfhgghnabbjbffr,0,8
iLLMPMcbcefegghhtsxmufcxj,0,8
iLLAzQcbdedfgghhdweswoolj,0,8
