id,oriented,tetrahedra
fLLQccceddehwhwws,1,5
gLLPQcdcfeffhsndqgf,0,6
gLLAQcbdeefftjbmtbn,1,6
hLLMAkbddeffgglvkumvqk,0,7
hLALPkcbbegfgghhkodxwf,0,7
hLLAAkccdeefggakvhqcxj,0,7
hLLPMkacefdfggnkxgnkmn,1,7
hLLLQkcddfegggtgfasjov,1,7
iLLLMQcbdfehghghtvmhjwnow,0,8
iLLMLQcaceffghhhnktbjaunn,0,8
gLALQbcbefffxxjnhah,1,6
iLALLQcbcbeghhghxxjnannvc,0,8
iLLAMMcbeedffghhaapkabnqw,0,8
iLLMLQcbcdefghghebbmwbpkr,1,8
iLLzMQcaceefghghjkxccaank,1,8
jLLLMPQcddfgighiitgfajavxss,0,9
jLLPLAQccdfgfhhiiaknacfpqvk,0,9
jLLLMMQbedeghghiiaafdsrgcmk,0,9
hLALPkbcbffgggxxjpttls,0,7
jLALLAQcbbefhgiiihhkoxjsatt,0,9
jLLLMAQbedghhgihiaafhsssqjw,0,9
jLLMMLQbceefgihhiebdxasaajs,1,9
kLLMLAPkbcdefghijjjebbmwbpookk,0,10
kLLLMLQkbedeggjjiijaafdsgaiixg,0,10
kLLPwMPkccdfehihijjaknaaakvcar,0,10
kLLLLAQkbedhhigihjjaafjjrgcclk,0,10
iLALLQcbcbehhgghxxjntrcvk,0,8
iLALzQcbcbefhghhxxjnacvnn,0,8
kLALLPMkbcbegighjjjxxjnaavcann,0,10
kLLLMPPkcdgffihjjjiasaajxoammr,0,10
kLLAwAPkbdedfhgijijdwaslaaaank,1,10
jLALLAQbcbfgfhiiihhjpdqfaee,0,9
kLALvMQkbcbeijjhjiixxjnkainicv,0,10
kLALzAMkbcbefhgijjjxxjnacvaann,0,10
