id,oriented,tetrahedra
fLAMcbccdeehhnxxj,1,5
gLLPQcdcfeffhsneqcs,0,6
gLLAQcceeeffljiadhj,0,6
gLLAQbcdeeffhvbmtbn,1,6
hLLMAkbcdfefgglskmqraw,0,7
hLALPkcbbegfgghhkomxgf,0,7
hLLAAkbcedefggasxfasqn,0,7
hLLMMkbcdeffgglsbhtraw,0,7
hLLAAkccedefggqgifqsqw,0,7
hLLMMkbcdefgfgebbuuhwk,0,7
hLLMMkbcdeffggtkbhxker,0,7
hLLAAkbcedefggajhfajqw,0,7
hLLLQkacefggfgnkbrwgks,1,7
hLLMMkccdfefggqjvhintw,1,7
hLLLQkbdfgefggtvhltvfs,1,7
iLLLMQcbddgfhhghevkpoimgm,0,8
iLLMLQcaceffghhhnktbjaukk,0,8
gLAPPbcbeeffhhjwraw,1,6
iLALLQcbcbeghhghxxjnakkvc,0,8
iLLAMMcbeedffghhaaekawnqw,0,8
iLLLAQccddfghghhtgfavtbpu,0,8
iLLPLQcacdeghhghnkmbtttmv,0,8
iLLAwQcbdedfhhghlraslauww,0,8
iLLLPQcacfggfhhhnkkkjjtxt,0,8
iLLMLQcaceefghhhnktjjimoj,0,8
gLLQPacdedffjsaajqw,1,6
iLLPLQcccdegfghhpvnejnjdw,0,8
iLLMMPcaceefgghhnktjwqmos,0,8
iLLAPMcccdegffhhakvhvvnxr,0,8
iLLLPQcacfgghfhhnkskjtkut,0,8
iLLLAQccddefhghhpgcqbajmt,0,8
iLvLQQcaefehghghjxkcvckcn,0,8
iLLLQMcbefgfefhhaadudtvqw,0,8
iLLLPQcacgfghfhhnkocjlkua,1,8
iLLPLQcacfeghghhnkibaqqir,1,8
iLLLPQccddgfhhghtgfovbvfb,1,8
iLLAPPcbddegfghhevoprgkan,1,8
iLLvQQcbdefgfghhevtmsswwr,1,8
iLLMLQcbcdefghhhebbmwbpdl,1,8
iLLPzQcccdfgfghhqjsasfoaw,1,8
jLLLMPQcddfgighiitgfajavxjj,0,9
jLLPLAQccdfgfhhiiankacfpqvk,0,9
jLLLMMQbedeghghiiaafmjrgcmk,0,9
jLALLAQcbbefhgiiihhkoxjsapp,0,9
jLLLMAQbedghhgihiaafhjjsqjw,0,9
jLLLMPQcddfhigihitgfaaavhaj,0,9
jLLAwMQbdedfghiiilrasllfbnb,0,9
jLLLPPQcddghhigiitgfvvvpvmd,0,9
jLLAzAQcddefhghiihrraotgijr,0,9
jLLLMAQcdefgfhhiiacpabfnotn,0,9
jLLLAAQbedgeghhiiaaflinmlnr,0,9
jLLvMQQcdfgifiihhtcagjfornn,0,9
jLLAPLQceddfgiihipqvnnvherw,0,9
jLLALPQbdedfgihhilrasvsptws,0,9
jLLAvQQbdedihgiihlrasqashxw,0,9
jLLPLPQacefhhgiiinkxkuqxjrr,0,9
jLLLAPQacfegiihhinkkjktauxg,0,9
jLvPLQQafefhighiinqxfetfdan,0,9
jLLLMPQcddffghiiitgfarvadwb,0,9
jLLALAQbdedfhghiihoafvmwmvw,0,9
hLLLQkaeefdfggjtxgjcss,1,7
jLLLAPQcddfghigiitgfagtijvb,0,9
jLLMLQPbdedgfhhiiajpfjjdevj,0,9
jLLMLPQbdedfgihhilrafnfiijn,0,9
jLLLMQPcddffghhiitgfarohacs,0,9
jLvLMQQaefgigighijxkkacxckx,0,9
jLLLzQQacegfhhhiinkvkruqtqj,0,9
jLLLMQPbedefhggiiaafdbkorxr,0,9
jLLLzQQcddghhigiitgfgsvuvxq,0,9
jLvPLQQafefhigihinqxfetfldw,0,9
jLLPLPQacefhgihiinkxsuutcrr,0,9
jLLLAPQacfegiihhinksrkatixv,0,9
jvLALQQcedfihgihibwbqavgbck,0,9
jLLLMPQcddffihhiipgcdslupps,0,9
jLLLLQQadeifghihijmxacnplto,0,9
jLLLwQQbcfgghihiiebpajfdvxq,0,9
jLLLPPQcdghgfhihiacalkfvurr,0,9
jLLLAQPbegefghgiiaaxdxskcxr,0,9
jLLLMQPbedfgghgiiaafxssooqn,0,9
jLLLPPQcddhghigiitgfkcvmvee,1,9
jLLLPPQacfeghgiiinkrojtstwj,1,9
jLLzMPQacefhigihinkxvudenvr,1,9
jLLAvQQbcdegihihiebbtfataev,1,9
jLvLMQQaefghigiihjxbwrxwxak,1,9
jLLLLQQccfgeihhiiqfaonrboob,1,9
jLLzPPQacfegighiinkiohqdocv,1,9
jLLAzAQbddeghgiiievoprtftgk,1,9
jLLALQPbcdefghhiilsohsgiesn,1,9
jLvLMQQaegiifhghijxglabkjji,1,9
jLLPLPQacefhighiinkxgitpsng,1,9
jLLzAQPacefehghiinkxbnidoiw,1,9
jLLMLMQbcdefhhiiiebbmweqhmw,1,9
jLLPLMQacefhgiihinkxgulmvbc,0,9
jLLzLQQaceifigihhnkxmkpijor,1,9
jLLMMLQbceefgihiiebdxasaasj,1,9
kLLMLAPkbcdefghijjjebbmwbpoonn,0,10
kLLLMLQkbedeggjjiijaafmjgaiixg,0,10
kLLPwMPkccdfehihijjankaaakvcar,0,10
kLLLLAQkbedhhigihjjaafssrgcclk,0,10
kLALLPMkbcbegighjjjxxjnaavcakk,0,10
kLLLMPPkcdgffihjjjiasaajxoallr,0,10
kLLAzPPkcddefghijjjhrraoghfnvj,0,10
kLLLLAQkcddifhhjijjtgfafvbpauv,0,10
kLLLALQkbedgejihjijaaflimelgoc,0,10
kLLAvPQkbcdeghjiijjebbtctqecgg,0,10
kLLAPLPkceddfghjijjpqvnnvtbcbf,0,10
kLLAzMMkbdedghgijjjlrasjasplai,0,10
kLLMvAQkbcdegijijjiebbmfmmekjf,0,10
kLLLLAQkcddhihjhjijtgfvdvpbuav,0,10
kLLLLMQkbcffgjhijijdfpgflckewm,0,10
kLLAwMAkcddefgihijjhrrahagbran,0,10
kLLLLQMkccfggfhiijjtnajjfwnrhr,0,10
kLLLAAMkbcggefhiijjlspptsuasmr,0,10
kLLLLPQkbedghfjiijjaafjonhfoax,0,10
kLLzALQkacfegihjijjnkicatbnrrr,0,10
kLLvPAQkacgghijgjijnkkjetavkwv,0,10
kLLvPAQkacgghijiijjnkkjetaxtkk,0,10
kLLAwAMkbeedfhgiijjaapwapciwij,0,10
kLLLMAPkbedghhgjjijaafujjvleww,0,10
iLLLAQccbegfhghhtnqatdcuu,1,8
kLvLLQQkaegiffjhjijjxcxbkeotav,0,10
kLLLLPQkccfigfhjjijqfqwjkketce,0,10
kLLLLMQkadeifjjhiijjmxacaexxfo,0,10
kLLzMwQkacfeghijjijnkichqkccnr,0,10
kLLAzPMkceddfhhijijpqvnniltfrw,0,10
kLLAzLQkceddfhjjijipqvnnldunkr,0,10
kLLLMAPkcedfgfhiijjtuwasfopxrw,0,10
kLLLzPQkccfghhhjjijtnaljjneqjj,0,10
kLLAPvQkbdedgfihjjjlrasjvlsvwv,0,10
kLLzLAQkacehfgihjjjjkxacesocsc,0,10
kLLPLAMkacefhghiijjnkxkutqjvew,0,10
kLvAMzQkcdegfihijijlvdpwxjeepj,0,10
kLLLMPPkacfegiihijjnkkjjtambgr,0,10
kLLLLMQkbcffgjihjijdfpgflgkmwd,0,10
