target,source,label
fLAMcaccdeejgnaqj,eLAkbbcdddhrhw,Face: 8
fLAMcaccdeengbxxn,eLAkbbcdddhrhw,Face: 7
fLLQcacedeejklmbn,eLAkbbcdddhrhw,Face: 6
fLAMcbbcdeedhgqhr,eLAkbbcdddhrhw,Face: 5
gLLAQaedeeffnmaeknr,fLAMcaccdeejgnaqj,Face: 9
gLLPQcdcfeefhcrhasn,fLAMcaccdeejgnaqj,Face: 3
gLLMQaceefefjktfonj,fLAMcaccdeengbxxn,Face: 9
gLLAQcddeefflcvatkj,fLLQcacedeejklmbn,Face: 10
gLLAQaedefffjtqpbwo,fLLQcacedeejklmbn,Face: 9
gLLAQacdeeffjkdxnij,fLLQcacedeejklmbn,Face: 8
gLLAQbdedffferxgacj,fLLQcacedeejklmbn,Face: 4
gLAMPaccdeffngbqqxk,fLAMcbbcdeedhgqhr,Face: 1
hLLLQkaeeffgggjligfvog,gLLAQaedeeffnmaeknr,Face: 12
hLLAPkbdedffggtvagksfr,gLLAQaedeeffnmaeknr,Face: 10
hLLMPkbdedfgfghfafoorj,gLLAQaedeeffnmaeknr,Face: 9
hLLAPkbdcegfgglvnxbvcr,gLLMQaceefefjktfonj,Face: 9
hLLMPkacdefgfgjkanfijk,gLLMQaceefefjktfonj,Face: 5
hLLLQkcedegfggthfdlgjk,gLLAQcddeefflcvatkj,Face: 10
hLLLQkadefggfgnpxvvbcr,gLLAQcddeefflcvatkj,Face: 7
hLLMPkbdedfgfghfafoorj,gLLAQcddeefflcvatkj,Face: 6
hLLAPkccdefgggqvvhsfsw,gLLAQaedefffjtqpbwo,Face: 10
hLLAPkbdcegfgglvnxbvcr,gLLAQaedefffjtqpbwo,Face: 6
hLLAAkbdeeffggevdpalms,gLLAQaedefffjtqpbwo,Face: 5
hLLMAkbcdeffggdfbhqslk,gLLAQacdeeffjkdxnij,Face: 10
hLLMAkacdeffggnsacvkak,gLLAQacdeeffjkdxnij,Face: 6
hLvAQkadeeffggjahsrgrr,gLLAQacdeeffjkdxnij,Face: 5
hLLLQkcedegfggthfdlgjk,gLLAQbdedffferxgacj,Face: 12
hLLAPkccdefgggqvvhsfsw,gLLAQbdedffferxgacj,Face: 11
hLLMAkbcdeffggdfbhqslk,gLLAQbdedffferxgacj,Face: 10
hLLLQkbddfgfggajfpksgo,gLLAQbdedffferxgacj,Face: 1
iLvwQQcadeghfhghjarggbrgg,hLLLQkaeeffgggjligfvog,Face: 14
iLLLPQcaeefhghghnmxnibaoe,hLLLQkaeeffgggjligfvog,Face: 6
iLLLMQcbcfghfhhgdfpakrcvr,hLLAPkbdedffggtvagksfr,Face: 14
iLLAwQcaedefhghhjlxmcipgn,hLLAPkbdedffggtvagksfr,Face: 5
gLLAQcddeefflcvatkj,hLLMPkbdedfgfghfafoorj,Edge: 11
iLLLMQcbcfggfghhdfpacrkvr,hLLMPkbdedfgfghfafoorj,Face: 14
iLLLMQcbcfghfhhgdfpakrcvr,hLLMPkbdedfgfghfafoorj,Face: 12
iLvLQQcadeffhhghjewfrfkko,hLLMPkbdedfgfghfafoorj,Face: 4
gLLAQaedefffjtqpbwo,hLLAPkbdcegfgglvnxbvcr,Edge: 11
iLLPwQcccdfeghhhlbnaddlov,hLLAPkbdcegfgglvnxbvcr,Face: 14
iLLAPMcbdcefgghhlvnxjrshk,hLLAPkbdcegfgglvnxbvcr,Face: 9
iLLAPMcbdcefgghhlvnxjrshk,hLLMPkacdefgfgjkanfijk,Face: 11
iLLLAQcbcegffhghdfqahkxnr,hLLMPkacdefgfgjkanfijk,Face: 10
iLvAMQcadfdgfghhjxxrgbraj,hLLMPkacdefgfgjkanfijk,Face: 5
gLLAQbdedffferxgacj,hLLLQkcedegfggthfdlgjk,Edge: 9
iLLLMQcbcfggfghhdfpacrkvr,hLLLQkcedegfggthfdlgjk,Face: 13
iLLALQccddefhghhlcvaktstt,hLLLQkcedegfggthfdlgjk,Face: 1
iLvLQQcadeffhhghjewfrfkko,hLLLQkadefggfgnpxvvbcr,Face: 10
gLLAQbdedffferxgacj,hLLAPkccdefgggqvvhsfsw,Edge: 10
iLLPwQcccdfeghhhlbnaddlov,hLLAPkccdefgggqvvhsfsw,Face: 14
iLLAwQccddefghhhtrvaltpns,hLLAPkccdefgggqvvhsfsw,Face: 12
iLLMLQcbdedghghhhfafslkll,hLLAPkccdefgggqvvhsfsw,Face: 1
iLLAwQccddefghhhtrvaltpns,hLLAAkbdeeffggevdpalms,Face: 12
iLLALQccedeggfhhtuvpvswcs,hLLAAkbdeeffggevdpalms,Face: 6
iLLLMQcbdfffgghhxviigbogw,hLLAAkbdeeffggevdpalms,Face: 5
iLLLMQccdefhhfghlruqkjkrn,hLLAAkbdeeffggevdpalms,Face: 1
gLLAQbdedffferxgacj,hLLMAkbcdeffggdfbhqslk,Edge: 9
iLLMLQcacdefghhhnsacbapjb,hLLMAkbcdeffggdfbhqslk,Face: 13
iLLLMQcbcgefgghhebdukkcws,hLLMAkbcdeffggdfbhqslk,Face: 11
iLLLAQcbddgfghghasfurrtfr,hLLMAkbcdeffggdfbhqslk,Face: 1
iLLMLQcacdefghhhnsacbapjb,hLLMAkacdeffggnsacvkak,Face: 14
iLLMLQcacdefghhhnsacbapjb,hLLMAkacdeffggnsacvkak,Face: 12
iLLwMQcacdggfghhjsxxxkxxk,hLLMAkacdeffggnsacvkak,Face: 6
iLLLMQcbcgefgghhebdukkcws,hLvAQkadeeffggjahsrgrr,Face: 12
iLLALQccedeggfhhtuvpvswcs,hLvAQkadeeffggjahsrgrr,Face: 7
iLvAAQcbeffghfghedxahfbwk,hLvAQkadeeffggjahsrgrr,Face: 6
gLLAQbdeefffajpqaqs,hLLLQkbddfgfggajfpksgo,Edge: 11
iLLALQccddefhghhlcvaktstt,hLLLQkbddfgfggajfpksgo,Face: 14
iLLMLQcbdedghghhhfafslkll,hLLLQkbddfgfggajfpksgo,Face: 13
iLLLAQcbddgfghghasfurrtfr,hLLLQkbddfgfggajfpksgo,Face: 12
iLLLAQcbdfegghhhesahmwxxm,hLLLQkbddfgfggajfpksgo,Face: 2
jLvvQQQagehfghiiijgcvrskvrb,iLvwQQcadeghfhghjarggbrgg,Face: 11
jLvLAQQcffehihgiihdixgfrnfv,iLvwQQcadeghfhghjarggbrgg,Face: 7
jLvAMPQcdfgehihiiavdirnugpx,iLvwQQcadeghfhghjarggbrgg,Face: 3
jLvvQQQagehfghiiijgcvrskvrb,iLLLPQcaeefhghghnmxnibaoe,Face: 16
jLLALMQaedefgihiijlxmnxsovo,iLLLPQcaeefhghghnmxnibaoe,Face: 4
hLLMPkbdedfgfghfafoorj,iLLLMQcbcfghfhhgdfpakrcvr,Edge: 11
