id,oriented,tetrahedra
eLAkbbcdddhrhw,1,4
fLAMcaccdeejgnaqj,1,5
fLAMcaccdeengbxxn,1,5
fLLQcacedeejklmbn,1,5
fLAMcbbcdeedhgqhr,1,5
gLLAQaedeeffnmaeknr,1,6
gLLPQcdcfeefhcrhasn,1,6
gLLMQaceefefjktfonj,1,6
gLLAQcddeefflcvatkj,1,6
gLLAQaedefffjtqpbwo,1,6
gLLAQacdeeffjkdxnij,1,6
gLLAQbdedffferxgacj,0,6
gLAMPaccdeffngbqqxk,1,6
hLLLQkaeeffgggjligfvog,1,7
hLLAPkbdedffggtvagksfr,1,7
hLLMPkbdedfgfghfafoorj,1,7
hLLAPkbdcegfgglvnxbvcr,1,7
hLLMPkacdefgfgjkanfijk,1,7
hLLLQkcedegfggthfdlgjk,0,7
hLLLQkadefggfgnpxvvbcr,1,7
hLLAPkccdefgggqvvhsfsw,0,7
hLLAAkbdeeffggevdpalms,1,7
hLLMAkbcdeffggdfbhqslk,0,7
hLLMAkacdeffggnsacvkak,1,7
hLvAQkadeeffggjahsrgrr,1,7
hLLLQkbddfgfggajfpksgo,0,7
iLvwQQcadeghfhghjarggbrgg,0,8
iLLLPQcaeefhghghnmxnibaoe,1,8
iLLLMQcbcfghfhhgdfpakrcvr,1,8
iLLAwQcaedefhghhjlxmcipgn,1,8
iLLLMQcbcfggfghhdfpacrkvr,0,8
iLvLQQcadeffhhghjewfrfkko,1,8
iLLPwQcccdfeghhhlbnaddlov,0,8
iLLAPMcbdcefgghhlvnxjrshk,1,8
iLLLAQcbcegffhghdfqahkxnr,1,8
iLvAMQcadfdgfghhjxxrgbraj,1,8
iLLALQccddefhghhlcvaktstt,0,8
iLLAwQccddefghhhtrvaltpns,0,8
iLLMLQcbdedghghhhfafslkll,0,8
iLLALQccedeggfhhtuvpvswcs,1,8
iLLLMQcbdfffgghhxviigbogw,1,8
iLLLMQccdefhhfghlruqkjkrn,1,8
iLLMLQcacdefghhhnsacbapjb,0,8
iLLLMQcbcgefgghhebdukkcws,0,8
iLLLAQcbddgfghghasfurrtfr,0,8
iLLwMQcacdggfghhjsxxxkxxk,1,8
iLvAAQcbeffghfghedxahfbwk,1,8
gLLAQbdeefffajpqaqs,0,6
iLLLAQcbdfegghhhesahmwxxm,0,8
jLvvQQQagehfghiiijgcvrskvrb,0,9
jLvLAQQcffehihgiihdixgfrnfv,0,9
jLvAMPQcdfgehihiiavdirnugpx,0,9
jLLALMQaedefgihiijlxmnxsovo,1,9
jLLLLQQccfihgfhiipvasbcwccb,1,9
jLLLPQPceffgghhiithddlgfklw,1,9
jLLLMMQbcgefhhhiitsmigfvvmk,1,9
jLLLPQPceffghghiithddlsbklw,0,9
jLLLAAQbdfegfhhiiashxhshafn,0,9
jLLPwAQccdfeghhiiunvammiwpr,0,9
jLLMPLQbdedgfihiiajpfvvainf,0,9
jLLALPQaedehghihijtaplaqrbr,1,9
jLLLAQPacfeehghiinkgcgmvdfw,1,9
hLLAPkbcedgffgtsajsjnw,1,7
jLLLAAQbedgehhiiiaafltetilj,0,9
jLLvPQQcdhgffghiiufajgffbgj,0,9
jLLLAPQbdgfgghiiihgmmmndmnw,0,9
jLLALPQcddeghgiiitrvajushgg,0,9
jLLLPPQccfghiihhiuneuwttkja,0,9
jLLLAPQcdefgfihiilruqlkpijw,0,9
jLLALMQbeedfhihiiaapwbnxcqx,0,9
jLLvAQQaeghhgfgiijtskjwrotk,1,9
jLLMLPQbdefhghgiixvatrnnwir,1,9
jLLwPMQcbefghhhiipjadnbskmj,1,9
jLLvQAQadfghgfhiinugfjfsnqj,1,9
jLLAwQPaedefghhiijtapwxpodw,1,9
jLLMLPQbcdehghihiebbmhrhmmk,0,9
jLLAzAQccdeghghiiakvhcicxvk,0,9
jLLALMQacdefhhiiinsaaagvtle,0,9
jLLLPAQbcfgfhhihiebpxkrjhvn,0,9
jLLLLQQbddfgghhiiajfsowosxk,0,9
jLvALQQadfghfhiiinaqbawpmen,0,9
jLLLAAQbedefghhiiaafdekpqor,0,9
jLLLMPQccfghfgihiqfaawfwikr,1,9
jLLLAPQbcggehighitsqataqvnw,1,9
jLvALQQadfgehghiijaijrmfibj,1,9
hLLLQkbdeffgfgasiudssk,0,7
hLLAPkccedgfggakxkvcgb,0,7
jLLLAMQbdfgegihiiesallsadjj,0,9
kLvAMLQkcdfgfijijhjavdisaimdrb,0,10
kLvvPQQkaeihfigjhjjnknornnawhh,0,10
kLvLwQQkcggejhigjijqdasbvfbbsc,0,10
iLLLMQcccfgfghghakaircrsr,0,8
kLLLLAQkbedhgfjiijjaafssrafshq,0,10
kLLLPPPkbddfhigiijjdwfrwhntxij,1,10
kLLALAPkaedefghjijjjlxmnxxaavc,1,10
kLvLLQQkcfejhjgihjipudcfkbvrcw,1,10
kLvLMMQkbefghjhhjijdiepshfsxri,1,10
kLLvPQMkcdeifghiijjhsaofjjjjar,0,10
kLvALMQkbefehghjjijlamtkfkuanu,1,10
kLLLLAQkbceigihhjijtsubgbbbmok,1,10
kLvALMQkaedghihjijjnlljtatttkj,0,10
kLvAALQkbeffgjijihjdqdeapmqxrw,0,10
kLLvPAQkcdigifhhjijhsagcfroton,0,10
kLLLLQMkbefeiihihjjaahignnscdn,0,10
kLLMzAPkacdefghjijjnkackaqetjr,0,10
kLLMPLAkbdedgfhiijjajpfvvedwxj,0,10
iLLMwQcbdedfghhhdkafmaqjj,0,8
kLLALAPkbedefhgijjjaanuvnwadvj,0,10
kLLwLPQkacdghighijjnkaaapibjvw,1,10
iLLLAQcacfeeghhhnkgcgshhp,1,8
iLLPwQcccdfeghghqffqqaxrj,1,8
kLLALAMkcddefhgijjjlcvaktsaatt,0,10
kLLMvQPkbdedigihjijajpfmsqurvn,0,10
kLLLzPQkccfgfhhiijjuneufkjaqor,0,10
kLLzPLQkccdghhgjiijpvnnbsshajr,0,10
kLLLMPPkbdfffghjijjxviigogaxbb,0,10
kLLLzPQkccfgjihhjijuneuxxkjtqc,0,10
kLLvAPQkccfgfhjihjjqfdqfkldnvo,0,10
kLLLwQMkcdefhfihjjjlruqjkanirr,0,10
kLLALMPkbeedfhiijjjaapwbnutamb,0,10
kLLLLPQkbdefihiihjjlvpbkjkgkmk,0,10
kLLMLwQkacdegghjijjnkachakojsw,0,10
kLLLLAQkbedffhhijjjaafssnoomml,0,10
kLvAALQkadffghhjiijjaqgvexegjr,1,10
kLvAAMPkadfegfhjiijjaqcvkxvvnw,1,10
kLLvPMQkccgefiijjhjqfqrffrxqnq,1,10
kLLvAPQkccgefjjhijiqfpqradsqhk,1,10
kLLLALQkacfegghjjjijkgcsvxoccj,1,10
kLvQPLAkadfefgihijjjaqxwaffjxk,1,10
kLvLAAQkaegefhhiijjjxgckkolusn,1,10
kLLwPAPkacdfghhiijjnkajatagolj,1,10
kLLAzLQkccdeghjjjiiakvhcuaxvcr,0,10
kLLAMLMkbdedfghiijjevdslhssbxr,0,10
kLLLLAQkccfihfjhjjiqfawgfefxxk,0,10
kLLLMMPkbedefhihijjaafdbndfqor,0,10
iLLAPPcacdegfhhhnsaaaahah,1,8
kLLAPLAkbcedfgihijjajhfssaawas,0,10
kLLLLAQkbddfhiiihjjasfrstxuoik,0,10
kLLLALQkbdefghjhiijlvpxmptdbkn,0,10
kLLLwMQkbedehgihijjaafdnfdntws,0,10
kLLLMMAkbedgffihijjaafissanirj,0,10
kLLzPwQkccdhhfjhiijqffvcfqohrj,1,10
kLvALPQkcdffgjhihijhvesvhgwnwr,1,10
kLvAwPQkadfegihihjjnaqcjeqxjvj,1,10
iLLAMPccddefghhhhcrahaarr,0,8
kLLLAMMkbdfeggihjjjesahmwamaxx,0,10
jLLzPPQcdegfhghiiakemkrfopk,0,9
jLLALAQbcedghhhiitsxfjidlhj,1,9
jLLALAQbdedgghhiitwaowwpark,0,9
jLLPLPQccdfghghiiakkavijivj,0,9
jLLwLQQacdghigihinkaathhpbn,1,9
jLLLAPQacfgeihhiinkgsjtpper,0,9
jLLLLQQacfihgggiinkghhfgvgb,1,9
hLLAPkbcedgffgtsajjswk,1,7
jLLLzQQbcfeigihhidnhdtjmbrx,0,9
jLLLAPQbcgfehihhidnuddxaxaj,0,9
jLLAzAQbdedfhghiitwaogagugj,0,9
jLLLLQQceegihgiihpqlpcnwkck,1,9
jLLLPPQcddghhighiucjjcvxorj,1,9
jLvAAAQbfefghgihitqqaajsajn,1,9
jLLPzQPcdefehghiitkaxlajajj,1,9
jLLAwAQacdefghiiijsxxxvvqqa,1,9
jLLALPQacdefghiiinsaaabviup,0,9
jLLLLQQbeggffiiihaaqissgogn,0,9
jLLAPzQccedgfhiiihwxgvcaakk,0,9
kLLzzPQkcdegijhihijakemhxoenhk,0,10
iLLALQcaedehghghjlxmqxttr,1,8
iLLAzQcbdedfgghhdwassjkdn,1,8
kLLLLPQkbddhijghiijdwfwaenjmer,1,10
kLLwzPQkacdhigjihjjnkaedhucbjf,0,10
kLLzLPQkccdhgjihiijakkvvhhgmuj,0,10
kLLLPMAkccfgfhihijjakamrjaoqfk,0,10
kLLLMLQkccfghjghjjiqfhaweochrr,1,10
kLLLPPMkacfehighjjjnkgjatvhnff,0,10
iLLLAQcbdggefhghdwipdjaoj,1,8
iLvAAQcadfdgfghhnqqwgbwan,1,8
kLLLLQMkbdgfihghjjjlrigjsoctpt,0,10
kLLzPwQkcdeghfjiiijhsphjfudmik,0,10
kLvAvQQkbefjihjgiijxaxrsvkjjgr,0,10
kLLLLQPkbcffigihijjesmkfvrkcxn,0,10
kLvLAPQkaegehjjihijjxgcktmagaj,0,10
kLLwPLQkacdfhgijjijnkajihnjvgv,0,10
kLLLMPMkacfefiihjjjnkgkjppifkb,0,10
kLLLLPQkceegijgjhijpqlprprukwe,1,10
kLvQwLQkadfeehijijjnaqxrnfjbsc,1,10
kLLLMzQkbdggfhhjjijhgxhgbraxkw,1,10
kLLLLPQkcddhgihhijjucjcvikvukj,1,10
kLLLMPPkacfegghijjjnkgcjgljggk,1,10
kLvQwLQkadfeehijjijnaqxrcfrson,1,10
kLLAvQAkcddeghihijjqcvhvahxahs,1,10
kLLLLPQkbdeihhihijjlvpjwjwfgek,0,10
kLvQLLQkadfegiijhjjjaqxamrjkjo,1,10
kLLvAPQkccgeijgihijqfmqxaserqn,1,10
kLvLQMPkcffghhgjjijupxhujfiiwc,1,10
kLLLLMQkacfghhijijjnkgjaulltsg,1,10
kLLLMMAkccfghfgiijjqfhawkothwr,1,10
kLLAwMPkacdefgiijjjjsxxxvpapuj,0,10
iLLMMPcbceefgghhdfapavraj,0,8
kLLAPLAkbcedfghiijjasxfjjaanaj,0,10
kLLvAQAkbehgffiihjjaahlssbbnmk,0,10
kLLMwAMkbdedfghijjjdkafmaqaajj,0,10
jLLLLQQbcgfihgiihtsmgjckwgr,1,9
jLLLPMQccfghgihhiakamrkhwnj,0,9
jLLLPPQbcfehhggiiebpesskkiw,1,9
hLLMPkacdefgfgjkanjtnw,1,7
jLLALMQacdefgihiijsxxartcdt,0,9
hLLAMkaedefgggnmaefhed,0,7
hLLzQkaceeffggnkxcscan,1,7
jLLAzPQccdegghhiiakvhccexvn,0,9
kLLLvQQkbcfihjgjihjtsujbagmvst,1,10
iLLMLQcbceehfhhgdfaqcnnkj,1,8
iLLAPPcacdegfghhjsxxaakxn,1,8
kLLAPLMkccdegfihijjakvhccaaoxj,0,10
gLLAQbdceefferrlegr,1,6
iLLLAQccedfggghhatnahwwdj,0,8
