id,oriented,tetrahedra
fLLQccceddehwxwwj,1,5
gLLPQcdcfeffqsndqgf,0,6
gLLAQcbdeefftjbmtwn,1,6
hLLMAkbddeffgglvkumvhn,0,7
hLALPkcbbegfgghqnodxwf,0,7
hLLAAkccdeefggakvhqchj,0,7
hLLMPkacdefgfgnkanjink,1,7
iLLMPPcbdedfgghhaspfwskir,0,8
gLALQbcbefffhxjnhah,1,6
iLALLQcbcbeghhghhxjnannvc,0,8
iLLAMMcbeedffghhaapkabnxr,0,8
iLvAQPcadfeggfhhnaacvkkqj,1,8
jLLMPLQacdefghiiinkanjivvnn,0,9
jLLLMMQbedeghghiiaafdsrgclk,0,9
hLALPkbcbffggghxjpttls,0,7
jLALLAQcbbefhgiiihqnoxjsatt,0,9
jLLLMAQbedghhgihiaafhsssxjr,0,9
hLLAPkbcedgffglsajjjnk,1,7
kLLPwMPkccdfehihijjaknaaakvchw,0,10
kLLLLAQkbedhhigihjjaafjjrgccmk,0,10
iLALLQcbcbehhgghhxjntrcvk,0,8
iLALzQcbcbefhghhhxjnacvnn,0,8
kLALLPMkbcbegighjjjhxjnaavcann,0,10
kLLLMPPkcdgffihjjjiasaajqoammw,0,10
gLLMQbecfdffxxsajvc,1,6
jLLAPLQbcedgfihiilsajjjaann,0,9
jLALLAQbcbfgfhiiixhjpdqfaee,0,9
iLLPMPcccdfeghhhaknaaqqfo,0,8
kLALvMQkbcbeijjhjiihxjnkainicv,0,10
kLALzAMkbcbefhgijjjhxjnacvaann,0,10
