target,source,label
gLLPQcdcfeffqsneqcs,fLAMcbccdeehhnxhs,Face: 10
gLLAQcceeeffljiadxj,fLAMcbccdeehhnxhs,Face: 8
gLLAQbcdeeffhvbmtwn,fLAMcbccdeehhnxhs,Face: 6
hLLMAkbcdfefgglskmqrhr,gLLPQcdcfeffqsneqcs,Face: 12
hLALPkcbbegfgghqnomxgf,gLLPQcdcfeffqsneqcs,Face: 11
hLLAAkbcedefggasxfashn,gLLPQcdcfeffqsneqcs,Face: 1
hLLMMkbcdeffgglsbhtrhr,gLLAQcceeeffljiadxj,Face: 12
hLLAAkccedefggqgifqsxr,gLLAQcceeeffljiadxj,Face: 10
hLLMMkbcdefgfgebbuuqwn,gLLAQcceeeffljiadxj,Face: 9
hLLMMkbcdeffggtkbhxkiw,gLLAQcceeeffljiadxj,Face: 6
hLLAAkbcedefggajhfajxr,gLLAQcceeeffljiadxj,Face: 4
hLLMAkbcdfefgglskmqrhr,gLLAQbcdeeffhvbmtwn,Face: 12
hLLMMkbcdeffgglsbhtrhr,gLLAQbcdeeffhvbmtwn,Face: 10
hLLLQkacefggfgnkfjkofw,gLLAQbcdeeffhvbmtwn,Face: 9
hLLMMkccdfefggqjvhinpr,gLLAQbcdeeffhvbmtwn,Face: 8
gLLAQbcdeeffhvbmtwn,hLLMAkbcdfefgglskmqrhr,Edge: 11
iLLMMPcbceefgghhasxdabclj,hLLMAkbcdfefgglskmqrhr,Face: 7
gLAPPbcbeeffhxjknak,hLALPkcbbegfgghqnomxgf,Edge: 9
iLALLQcbcbeghhghhxjnakkvc,hLALPkcbbegfgghqnomxgf,Face: 5
iLLMMPcbceefgghhasxdabclj,hLLAAkbcedefggasxfashn,Face: 14
iLLAMMcbeedffghhaaekawnxr,hLLAAkbcedefggasxfashn,Face: 13
iLLMMPcbceefgghhasxdabclj,hLLAAkbcedefggasxfashn,Face: 8
gLLAQbcdeeffhvbmtwn,hLLMMkbcdeffgglsbhtrhr,Edge: 11
iLLMLQcaceehhgghnktfpdmmb,hLLMMkbcdeffgglsbhtrhr,Face: 11
iLLAwQcbdedfhhhglraslaurr,hLLMMkbcdeffgglsbhtrhr,Face: 8
iLLLMQcacfgghfhhnkggkpkxp,hLLMMkbcdeffgglsbhtrhr,Face: 4
iLLMLQcaceefghhhnktfoemgb,hLLAAkccedefggqgifqsxr,Face: 11
gLLQPacdedffjsaajxr,hLLMMkbcdefgfgebbuuqwn,Edge: 9
iLLMwQcacedfghhhnktrkumjn,hLLMMkbcdefgfgebbuuqwn,Face: 13
iLLwMQcacefhfhghnktopomwv,hLLMMkbcdefgfgebbuuqwn,Face: 11
iLLAPMcccdegffhhakvhvvnqw,hLLMMkbcdefgfgebbuuqwn,Face: 5
iLLLPQcacfgghfhhnkgkbpkxl,hLLMMkbcdeffggtkbhxkiw,Face: 14
iLLMLQcaceefghhhnktfoemgb,hLLMMkbcdeffggtkbhxkiw,Face: 12
iLLwMQcacefhfhghnktopomwv,hLLMMkbcdeffggtkbhxkiw,Face: 11
iLLALQcbdedfhghhlvagshfui,hLLMMkbcdeffggtkbhxkiw,Face: 10
iLvLQQcaegfhhfghjxgrrrbwr,hLLMMkbcdeffggtkbhxkiw,Face: 7
iLLMLQcaceehhgghnktfpdmmb,hLLAAkbcedefggajhfajxr,Face: 14
iLLLQMcbefgfefhhaadudtvxr,hLLAAkbcedefggajhfajxr,Face: 11
iLLMLQcaceehhgghnktfpdmmb,hLLAAkbcedefggajhfajxr,Face: 8
iLLLPQcacfgfhghhnkgkruvmh,hLLLQkacefggfgnkfjkofw,Face: 13
iLLPLQcacfeghhghnkefahpmf,hLLLQkacefggfgnkfjkofw,Face: 12
iLvLQQcaegfhhfghjxgrrrbwr,hLLLQkacefggfgnkfjkofw,Face: 5
iLvLQQcaeefhgghhjxgrncoor,hLLLQkacefggfgnkfjkofw,Face: 4
iLLAPPcbddegfghhevoprgkxn,hLLMMkccdfefggqjvhinpr,Face: 12
iLLMzQcacdeghghhnkaneepan,hLLMMkccdfefggqjvhinpr,Face: 11
iLLPzQcccdfgfghhqjsasfohr,hLLMMkccdfefggqjvhinpr,Face: 4
hLLAAkbcedefggasxfashn,iLLMMPcbceefgghhasxdabclj,Edge: 10
jLLMPLQacdefghiiinkanjivvkk,iLLMMPcbceefgghhasxdabclj,Face: 7
jLLLMMQbedeghghiiaafmjrgclk,iLLMMPcbceefgghhasxdabclj,Face: 2
jLALLAQcbbefhgiiihqnoxjsapp,iLALLQcbcbeghhghhxjnakkvc,Face: 7
jLLLMMQbedeghghiiaafmjrgclk,iLLAMMcbeedffghhaaekawnxr,Face: 13
jLALLAQcbbefhgiiihqnoxjsapp,iLLAMMcbeedffghhaaekawnxr,Face: 7
jLLLMAQbedghhgihiaafhjjsxjr,iLLAMMcbeedffghhaaekawnxr,Face: 1
hLLAAkbcedefggajhfajxr,iLLMLQcaceehhgghnktfpdmmb,Edge: 10
jLLAzAQcddefhghiihrraotgifw,iLLMLQcaceehhgghnktfpdmmb,Face: 7
jLLLMAQcdefgfhhiiacpabfnoen,iLLMLQcaceehhgghnktfpdmmb,Face: 6
jLLLAAQbedgeghhiiaaflinmlvw,iLLMLQcaceehhgghnktfpdmmb,Face: 2
jLLvMQQcdfgifiihhtcagjforkk,iLLAwQcbdedfhhhglraslaurr,Face: 9
jLLAPLQceddfgiihipqvnnvhewr,iLLAwQcbdedfhhhglraslaurr,Face: 8
jLLALPQbdedfgihhilrasvspprs,iLLAwQcbdedfhhhglraslaurr,Face: 7
jLLAvQQbdedihgiihlrasqhshxr,iLLAwQcbdedfhhhglraslaurr,Face: 5
jLLwzQQacdfgighiinkaklambsw,iLLLMQcacfgghfhhnkggkpkxp,Face: 13
jLLvPQQacegfhhiiinkwkkaixmo,iLLLMQcacfgghfhhnkggkpkxp,Face: 10
jLvALQQadfhifgihinaqepbwelj,iLLLMQcacfgghfhhnkggkpkxp,Face: 4
hLLMMkbcdeffggtkbhxkiw,iLLMLQcaceefghhhnktfoemgb,Edge: 10
jLLAPLQbdedgfhiiilvaggsuajo,iLLMLQcaceefghhhnktfoemgb,Face: 16
jLLALAQbdedfhghiihoafvmwmnr,iLLMLQcaceefghhhnktfoemgb,Face: 4
hLLLQkaeefdfggjtxgjcjj,gLLQPacdedffjsaajxr,Face: 11
hLLLQkaeefdfggjtxgjcjj,iLLMwQcacedfghhhnktrkumjn,Edge: 11
jLLMLQPbdedgfhhiiajpfjjdekj,iLLMwQcacedfghhhnktrkumjn,Face: 9
jLLLwQQacdgfgihiinkrkknmpks,iLLMwQcacedfghhhnktrkumjn,Face: 8
jLLALPQbdedfgihhilrasvspprs,iLLMwQcacedfghhhnktrkumjn,Face: 4
hLLMMkbcdeffggtkbhxkiw,iLLwMQcacefhfhghnktopomwv,Edge: 10
jLLALAQbdedfghhiilvagscqqwk,iLLwMQcacefhfhghnktopomwv,Face: 16
jLvLMQQaedifghihijxwabwgqrx,iLLwMQcacefhfhghnktopomwv,Face: 5
jLLvAQQacgefhiiihnkovkqmiqw,iLLwMQcacefhfhghnktopomwv,Face: 4
jLLMLQPbdedgfhhiiajpfjjdekj,iLLAPMcccdegffhhakvhvvnqw,Face: 15
jLLMLQPbdedgfhhiiajpfjjdekj,iLLAPMcccdegffhhakvhvvnqw,Face: 13
jLLLMQPbedefhggiiaafdbkorqw,iLLAPMcccdegffhhakvhvvnqw,Face: 4
jLLLPPQcddghhgiiitgfggvjmld,iLLLPQcacfgghfhhnkgkbpkxl,Face: 16
jLvALQQadfhifghiinaqepbwlmb,iLLLPQcacfgghfhhnkgkbpkxl,Face: 13
jLLwLQQacdfgihihinkabllmwbw,iLLLPQcacfgghfhhnkgkbpkxl,Face: 11
jLLvAQQachggihiginkdkbmaxjv,iLLLPQcacfgghfhhnkgkbpkxl,Face: 10
jLvALQQadfhifgihinaqepbwelj,iLLLPQcacfgghfhhnkgkbpkxl,Face: 5
jLLLPPQcddghhgiiitgfggvjmld,iLLALQcbdedfhghhlvagshfui,Face: 16
jLLAPLQbdedgfhiiilvaggsuajo,iLLALQcbdedfhghhlvagshfui,Face: 14
jLLALAQbdedfghhiilvagscqqwk,iLLALQcbdedfhghhlvagshfui,Face: 13
hLLLQkacefggfgnkfjkofw,iLvLQQcaegfhhfghjxgrrrbwr,Edge: 11
jLvALQQadfhifghiinaqepbwlmb,iLvLQQcaegfhhfghjxgrrrbwr,Face: 16
jLLLLQQadeghhgiiijuxruareiv,iLvLQQcaegfhhfghjxgrrrbwr,Face: 13
jLLLMAQcdefgfhhiiacpabfnoen,iLvLQQcaegfhhfghjxgrrrbwr,Face: 6
jLLLPPQcdghgfhihiacalkfvmrw,iLLLQMcbefgfefhhaadudtvxr,Face: 15
jLLLAAQbedgeghhiiaaflinmlvw,iLLLQMcbefgfefhhaadudtvxr,Face: 13
jLLLMQPbedefhggiiaafdbkorqw,iLLLQMcbefgfefhhaadudtvxr,Face: 7
jLLLAQPbegefghgiiaaxdxskcqw,iLLLQMcbefgfefhhaadudtvxr,Face: 5
jLLLMQPbedfgghgiiaafxssoohk,iLLLQMcbefgfefhhaadudtvxr,Face: 3
jLvALQQadfhifghiinaqepbwlmb,iLLLPQcacfgfhghhnkgkruvmh,Face: 10
jLvALQQaeffhigihintqflaompn,iLLLPQcacfgfhghhnkgkruvmh,Face: 9
jLLLPPQacfegghiiinkggowmmwj,iLLLPQcacfgfhghhnkgkruvmh,Face: 6
jLLwLQQacdfgihihinkacllpfbn,iLLLPQcacfgfhghhnkgkruvmh,Face: 5
jLvLAQQaedehgihiijxwcccavxq,iLLPLQcacfeghhghnkefahpmf,Face: 13
jLLLLQQccfegihhiiqfansrboob,iLLPLQcacfeghhghnkefahpmf,Face: 11
